[2026-01-17 09:09:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-16
正在获取论文...
[IEEE] 2026-1-16 | Resilient Control Design for EV Fast Charging Unit Consisting of Multiple SAB Converter Modules
[IEEE] 2026-1-16 | Enhanced CT Saturation Detection Based on Fault Current Decomposition and Digital Filtering
[IEEE] 2026-1-16 | Spatio-Semantic Enhanced Cascade Swin Detection Network for Infrared Maritime Targets
[IEEE] 2026-1-16 | Improving Skin Cancer Classification with Dilated Convolutional VGG16 Networks
[IEEE] 2026-1-16 | Robust Point Cloud Registration via High-Dimensional Complex Kernel
[IEEE] 2026-1-16 | Detecting Unknown Cyberattacks on Traffic Management Center in C-ITS
[IEEE] 2026-1-16 | Hybrid Statistical and Machine Learning Approach for Forecasting the Global Food Price Index Based on Oil Prices
[IEEE] 2026-1-16 | IEEE Networking Letters Publication Information
[IEEE] 2026-1-16 | Transient Response Analysis and System Fault Ride-through Capability Optimization of HVDC Based on Hybrid Commutated Converter
[IEEE] 2026-1-16 | Numerical Experiments on Adaptive Step-Size Coordinate Descent in Online Convex Optimization
[IEEE] 2026-1-16 | A Tracking Mode Selection Scheme for Multiple Target Tracking in Multiple Radar Systems
[IEEE] 2026-1-16 | User-to-User Clustering, Channel Estimation &amp; Cross-Link Interference Mitigation for Dynamic TDD Systems
[IEEE] 2026-1-16 | Dual Perception Detector for Ship Detection in SAR Images
[IEEE] 2026-1-16 | Driving Behaviour Classification and Risk Quantification via Multi-Sensor Machine Learning: From Simulation to Reality
[IEEE] 2026-1-16 | Robust Beamforming for RIS Assisted Wireless Networked Control Systems
[IEEE] 2026-1-16 | Non-Gradient Hash Factor Learning for High-Dimensional and Incomplete Data Representation Learning
[IEEE] 2026-1-16 | A Review of High-Power Medium Frequency Transformers in Medium Voltage Power Electronics: State of the Art, Challenges, and Solutions
[IEEE] 2026-1-16 | Robust Beamforming for Pinching-Antenna Systems
[IEEE] 2026-1-16 | Modeling and Simulation of an Off-Grid Hybrid Microgrid System: A Case Study of a Kavalur Rural Social Community
[IEEE] 2026-1-16 | Dual Self-Supervised Deep Graph Clustering
[IEEE] 2026-1-16 | Scheduling Techniques of AI Models on Modern Heterogeneous Edge GPU—A Critical Review
[IEEE] 2026-1-16 | Power Source Allocation for RIS-aided Integrating Sensing, Communication, and Power Transfer Communication Systems Based on NOMA
[IEEE] 2026-1-16 | HANS-Net: Hyperbolic Convolution and Adaptive Temporal Attention for Accurate and Generalizable Liver and Tumor Segmentation in CT Imaging
[IEEE] 2026-1-16 | <i>MR</i>
                    <sup>2</sup>
                    SLAM: Multi-Robot Monocular Resilient SLAM for Ill-conditioned Problems
[IEEE] 2026-1-16 | Monitoring Intelligent Connected Vehicles: Embedding Trust Levels in Status Within Zero-Trust Network Architecture
[IEEE] 2026-1-16 | FL in Motion: Accelerating FL via Mobility-Aware Vehicle Selection and Sparse Training
[IEEE] 2026-1-16 | Few-shot Rotating Machinery Bearing Fault Diagnosis with Denoising Diffusion based Data Augmentation
[IEEE] 2026-1-16 | Robust Formation Tracking of ASVs With Nonconservative Collision Avoidance: A Control Barrier Function-Based Approach
[IEEE] 2026-1-16 | Decoder-Based Anomaly Detection with Concentration Filtering for Distinguishing Wildfire Smoke from Clouds
[IEEE] 2026-1-16 | Table of Contents
[IEEE] 2026-1-16 | Metamorphic Testing for Vision-Based Autonomous Driving With Road Traffic Risk Exposure Extrapolation
[IEEE] 2026-1-16 | A Comparative Analysis of Web Automation Testing Tools: Selenium Webdriver, Playwright, and Webdriverio Using an AHP-TOPSIS Approach
[IEEE] 2026-1-16 | Unshielded Magnetorelaxometry of Nanogram-Scale Magnetic Particles with an YIG-Based Gradientometer System
[IEEE] 2026-1-16 | MLSMOTE for Multi-Label Text Classification in Toxic Comment
[IEEE] 2026-1-16 | Flexible MIMO for Future Wireless Communications: Which Flexibilities Are Possible?
[IEEE] 2026-1-16 | Robust Stability of Boolean Networks With Multiple Disturbances: An Eigenvalue-Based Approach
[IEEE] 2026-1-16 | A Method for Coal Flow Foreign Object Detection and Mineral Semantic Segmentation Based on the Lightweight Multitask Model PVDNet
[IEEE] 2026-1-16 | Simplifying Automated Testing: A Codeless, Interaction-Recording Script Builder Approach to Accelerate Automated Testing Method
[IEEE] 2026-1-16 | SLChain: A Stochastic Lightweight Blockchain with Selfish Mining Attack Mitigation
[IEEE] 2026-1-16 | Crisis-Aware Dual-Path Modeling for Depression Severity Assessment on Facial Signals Imbalanced Clinical Data
[IEEE] 2026-1-16 | Dual DC Bus Rectifier with Embedded Power Decoupling for Airborne Pulsed Load Application
[IEEE] 2026-1-16 | Front Cover
[IEEE] 2026-1-16 | Anatomically-informed Multi-Resonant RF Sensor for Personalized Fingertip-Based Glucose Monitoring
[IEEE] 2026-1-16 | Amalgamated CHIRP and OFDM for ISAC
[IEEE] 2026-1-16 | Efficient and Unbounded Public-key Encryption with Keyword Search Based on Arithmetic Span Programs in Cloud Storage
[IEEE] 2026-1-16 | NearSense: Exploring NearLink for New-Generation Wireless Sensing
[IEEE] 2026-1-16 | Autonomous Power Ripple Suppression Scheme for Grid-Connected Multiport Converters Under Unbalanced Grid Conditions
[IEEE] 2026-1-16 | Time-series Data-driven Three Dimensional Shape Control of Deformable Linear Objects using a Dual-arm Robot with Dynamic Model Updating
[IEEE] 2026-1-16 | GeoTexDensifier: Geometry-Texture-Aware Densification for High-Quality Photorealistic 3D Gaussian Splatting_supp1-3644697.mp4
[IEEE] 2026-1-16 | Deep Learning for Marine Fish Classification via CNN-Based Computer Vision
[IEEE] 2026-1-16 | Adaptive Gridless Covariance-Matching DOA Estimation for Coprime Array under Impulsive Noise
[IEEE] 2026-1-16 | Cybertwin-Enhanced Distributed Authentication with Lightweight Cryptography for Secure Internet of Vehicles
[IEEE] 2026-1-16 | Multi-UAV Deployment and Resource Allocation: A federated deep reinforcement learning approach
共写入 538 条记录，保存到 papers/paper2026-01-16.json。
论文获取成功，文件路径: papers/paper2026-01-16.json
正在筛选、翻译并发送邮件...
[NO] 1/538 | Resilient Control Design for EV Fast Charging Unit Consisting of Multiple SAB Converter Modules
[NO] 2/538 | Discriminant Analysis of Organizational and Personal Factors Affecting Employee Well-Being in the Hospitality Industry
[NO] 3/538 | Multi Channel Fusion Framework for Tomato Leaf Disease Classification Using Modified Cnn Backbones and Preprocessing Aware Input Design
[NO] 4/538 | LASFNet: A Lightweight Attention-Guided Self-Modulation Feature Fusion Network for Multimodal Object Detection
[NO] 5/538 | Table of Contents
[NO] 6/538 | Evaluating NB-IoT and Sigfox for Energy-Efficient Data Loggers in Sewer Infrastructure
[NO] 7/538 | RF-3DGS: Wireless Channel Modeling With Radio Radiance Field and 3D Gaussian Splatting
[NO] 8/538 | Real-Time Radar Pulse Parameter Extraction on FPGA Platforms
[NO] 9/538 | Sensor Placement Strategies for 3-D AOA Localization under General Convex Deployment Constraints
[NO] 10/538 | Robust Image Semantic Communication via Wavelet-Attentive JSCC Under Adversarial and Channel Perturbations
[NO] 11/538 | A Hybrid LBM-FVM Solver for Simulating Multiphase Multi-Component Fluids_supp2-3644004.mp4
[NO] 12/538 | Characterizing the Dynamic Hosting Capacity of Distribution Networks Integrated with Distributed GAI Data Center
[NO] 13/538 | Order-Aware Deep Learning for Drug Combination Benefit Prediction in Cancer Cell Lines
[NO] 14/538 | Outliers Adaptation Exploration and Centroids Matching Label Refinement for Unsupervised Person Re-identification
[NO] 15/538 | Grid Frequency Stability Support Potential of Data Center: A Quantitative Assessment of Flexibility
[NO] 16/538 | Survey of AI-enabled IoT for Wildfire Prediction, Detection, and Post-Operations
[NO] 17/538 | From Edge to Edge: A Flow-Inspired Scheduling Planner for Multi-Robot Systems
[NO] 18/538 | Weather-Driven Machine Learning Approach for Predicting Rice Production in East Java
[NO] 19/538 | Like Human Rethinking: Contour Transformer AutoRegression for Referring Remote Sensing Interpretation
[NO] 20/538 | Clustering of Regencies/Cities in Java Island Based on Decent Housing Indicators in 2024 Using K-Medoids and DBSCAN
[NO] 21/538 | Extending the Technology Acceptance Model (TAM) in Mobile Language Learning: The Role of Information Quality and Autonomy
[NO] 22/538 | IBKA-CEEMDAN-SPMF Algorithm for Denoising Electromagnetic Radiation in Loaded Coal-Rock
[NO] 23/538 | Unveiling Consumer Behaviour Insights via KMeans Customer Segmentation
[NO] 24/538 | Diagnosis of Benign Positional Vertigo: A Systematic Review of Machine Learning and Deep Learning within Videonystagmography
[NO] 25/538 | Development of an IoT-Based Wearable Device for Real-Time Posture Monitoring and Correction
[NO] 26/538 | A Comparative Study of Machine Learning Models for Identification of Antiviral Peptides Using Various Encoded Features_supp1-3654071.pdf
[NO] 27/538 | Vision Enhancing LLMs: Empowering Multimodal Knowledge Storage and Sharing in LLMs
[NO] 28/538 | M2PP: Effective Path Planning Based on Multi-Phase Particle Swarm Optimization and Multi-Scenario Adaptative DWA_supp2-3654174.mp4
[NO] 29/538 | Multi-Label Feature Selection by Maximum Affinity-Relevance, Maximum Affinity-Interaction and Minimum Affinity-Redundancy
[NO] 30/538 | High-Refractive-Index Metasurface Integrated Circularly Polarized Wireless Power Transfer System with Extended Range and Misalignment Tolerance
[NO] 31/538 | GFZTD: A Multimodal Fusion-Driven 3-D Tropospheric Delay Prediction Model Coupling Self-Attention and ConvLSTM
[NO] 32/538 | Fault-Tolerant Independent Pole Control Scheme of Zigzag MMC for Bipolar MVDC Distribution Systems
[NO] 33/538 | DPD-DEMD: Denoising Prior Guided Weakly Supervised Image Domain Dual-Energy Material Decomposition
[NO] 34/538 | Game-Based Driver–Automation Cooperative Control Considering Driver Neuromuscular Delay
[NO] 35/538 | R-VoxelMap: Accurate Voxel Mapping With Recursive Plane Fitting for Online LiDAR Odometry_supp1-3653337.mp4
[NO] 36/538 | Highly Undersampled MRI Reconstruction via a Single Posterior Sampling of Diffusion Models
[NO] 37/538 | Enhanced BER-Analysis-Based Adaptive Resource Allocation in SDN-Controlled Multi-User NOMA-OFDM VLC Systems
[NO] 38/538 | Downlink Rate Splitting Opportunistic Multiple Access for Satellite-Terrestrial Integrated Networks
[NO] 39/538 | A Sub-Threshold Oscillator-Based High-Accuracy Temperature Sensor With Tolerance to Supply Fluctuation and Device Aging
[NO] 40/538 | Securing Symmetric Encryption Based on Substitution-Permutation Network Against White-Box Attacks
[NO] 41/538 | Corrigendum: Life Cycle Assessment of Edge Data Centers: Case Study in Presence of Renewable Energy and Refurbished Servers
[NO] 42/538 | Editor’s Note: January 2026
[NO] 43/538 | Invisible, Yet Trusted: Blockchain-Empowered Privacy-Preserving Spatio-Temporal Task Matching in Crowdsourcing with Efficient Public Verification
[NO] 44/538 | ESGA: Efficient and Secure Geo-Aware Certificate Revocation for Blockchain-based Multi-Domain VANETs
[NO] 45/538 | An Ultra-Wideband Comb-Slot-Fed Symmetrical Comb-Groove-Dielectric Resonator Antenna for B5G/6G Millimeter-Wave Applications
[NO] 46/538 | Closed-Loop Haptic Feedback System Enabled by Synergistic Integration of Tattoo-Style Flexible Strain Sensors_supp1-3652555.docx
[NO] 47/538 | A Resolution Enhanced Coherent Doppler Wind Lidar Enabled by Spectrum Deconvolution
[NO] 48/538 | Leader Rotation Is Not Enough: Scrutinizing Leadership Democracy of Chained BFT Consensus
[NO] 49/538 | High-Efficiency, Coupler-Based D-Band InP PA Stages With Output Power Above 16.4 dBm
[NO] 50/538 | A Complementary Self-Injection-Locked Radar for Low-Power Micrometer-Level THz Sensing and Imaging
[NO] 51/538 | Capturing Market Shocks and Volatility in Aneka Tambang Tbk (ANTM) Stock: A Bates Model Approach
[NO] 52/538 | Exploration of Stacking Ensemble Learner (SEL) Modeling with XGBoost and SVM algorithms on Predicting Stock Price
[NO] 53/538 | LatentZoom: Seamless Scaling in Generative Latent Space for Visual Exploration of Local Performance in Deep Neural Networks_supp1-3654030.mp4
[NO] 54/538 | Transparent Objects Pose Estimation via RGB-D Enhancement and Depth-Directed Feature Fusion
[NO] 55/538 | The Chosen-Object Attack: Exploiting the Hungarian Matching Loss in Detection Transformers for Fun and Profit
[NO] 56/538 | GRASP: Accelerating Hash-based PQC Performance on GPU Parallel Architecture
[NO] 57/538 | Controllable Reference-Guided Diffusion with Local-Global Fusion for Real-World Remote Sensing Super-Resolution
[NO] 58/538 | Ensuring Reliable Communication for UAV-Assisted Low-Power Wireless Network in Harsh Environments with Interference
[NO] 59/538 | Lessons from Formally Verified Deployed Software Systems
[NO] 60/538 | Implementation of Distributed Generation and Passive Islanding Detection by ROCOF Method using Power Flow Solutions
[NO] 61/538 | Decision Boundary-aware Counterfactual Learning against Model Extraction Attacks on Graph Neural Networks_supp1-3654865.pdf
[NO] 62/538 | A Hybrid Absorber Design Framework for Antenna Testing in Compact Anechoic Chamber
[NO] 63/538 | SPORTS: Simultaneous Panoptic Odometry, Rendering, Tracking and Segmentation for Urban Scenes Understanding
[NO] 64/538 | Skin Cancer Classification Using Convolutional Neural Network With Fine-Tuning Implementation on the ResNet50V2 Architecture
[NO] 65/538 | Cover
[NO] 66/538 | Privacy-aware Hierarchical Energy Dispatch of Data Centers with Demand Response in Water-energy Nexus System
[NO] 67/538 | NGC-GeoLoc: Neural GeoCoordinate Regression for GPS-Denied UAV Geo-Localization
[NO] 68/538 | Stealthy Cyber Attacks on Wide-Area Control Systems for Inducing Broadband Oscillations in Wind Farms
[NO] 69/538 | Derivative-Free Optimization-Empowered Wireless Channel Reconfiguration for 6G
[NO] 70/538 | SLM Printed Roll-Off Enhanced Wideband Millimeter-Wave ALTSA Array Based on Waveguide Mode Converter and Metallic Split Ring Resonator
[NO] 71/538 | Identity Clue Refinement and Enhancement for Visible-Infrared Person Re-Identification
[NO] 72/538 | Establishing the Criteria for an Agile Inclusive Learning Environment (AILE) in Higher Education
[NO] 73/538 | Cost Efficient Operation of a Hydrogen Enabled Zero-Carbon Multi-Energy System
[NO] 74/538 | Analysis and Experimental Verification of Load Current Switch based on Molded Case Circuit Breaker (MCCB) for MVDC System
[NO] 75/538 | Adaptive Stability Droop Control in DC Shipboard Microgrids Considering Battery States
[NO] 76/538 | DAVA: Decoding Art With Visual Analytics Through Feature Modeling and Multi-Agent Collaboration
[NO] 77/538 | Domain Adaptive Multiple Instance Self-Training for Intraoperative Anomaly Detection_supp1-3654087.mp4
[NO] 78/538 | R4 Trustworthy Human–Artificial Intelligence Symbiosis [Conference Reports]
[NO] 79/538 | Robust Iterative Adaptive Filtering Sidelobe Suppression Algorithm to Range-Doppler-Straddling
[NO] 80/538 | From Hackathons to Venture Studios: A Managerial Taxonomy of Innovation Support Vehicles
[NO] 81/538 | Classification of Pneumonia in X-Ray Images Using CNN Model and HOG Feature Extraction
[NO] 82/538 | Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques_supp2-3634823.xlsx
[NO] 83/538 | Analytical Comparison of Supply Chain Collaboration Levels under Supply and Demand Uncertainty: Decentralized, Centralized, and Vendor-Managed Inventory
[NO] 84/538 | Distributed Synchronous Acquisition for Next-Generation Heliograph
[NO] 85/538 | Stability-Oriented Adaptive Synchronization Control for Networked Microgrids
[NO] 86/538 | TextBridge: A Text-Centered Framework for Enhanced Multimodal Integration and Retrieval
[NO] 87/538 | IEEE Tech RXIV
[NO] 88/538 | Low-cost Monitoring System for the Vacuum System of the CS-30 Cyclotron
[NO] 89/538 | CBAM-Enhanced Classification Head for VGG16-Based Pneumonia Detection
[NO] 90/538 | Multiscale Spatial-Frequency Learning for Degradation Decoupling in RS Image Restoration
[NO] 91/538 | Low-Altitude Satellite-AAV Collaborative Joint Mobile Edge Computing and Data Collection via Diffusion-based Deep Reinforcement Learning
[NO] 92/538 | Terahertz oscillators integrated with multiple resonant tunneling diodes and a cavity resonator emitting over 1 mW output at 805 GHz
[NO] 93/538 | Modeling and Controlling Polymorphic Opinion Dynamics in Social Networks with Heterogeneous Sensitivities
[NO] 94/538 | Semi-Supervised Learning of Multi-Scale Graph Neural Networks for Industrial Process Fault Diagnosis
[NO] 95/538 | Table of Contents
[NO] 96/538 | A Multi-Qubit SFQ Control Architecture Using Recycled Bias Current
[NO] 97/538 | From Play to Pedagogy: A Structured Topic Modeling Analysis of Escape Rooms Research
[NO] 98/538 | Graph Neural Networks Improve Quantized Transformers by Incorporating Global Relationships
[NO] 99/538 | Benefits of a ComSoc Membership
[NO] 100/538 | Evaluation of NVIDIA Jetson Nano Platforms for Machine Learning
[NO] 101/538 | Public Sentiment on Mining and Energy Development in Indonesia: A Hybrid Machine Learning Perspective
[NO] 102/538 | Design and Operation of a 42-MW Highly Stabilized Power Supply at the CHMFL
[NO] 103/538 | A Continuum Robot with Programmable Tendon Routing for Desired Curve Generation
[NO] 104/538 | Gaussian Distribution-Based Dynamic Optimization for Capsule Robot Pose Estimation in Ultrasound Images
[NO] 105/538 | Haptic Acuity during Shared Grasp Experiences in Virtual Reality_supp1-3654548.mp4
[NO] 106/538 | A Multidimensional Assessment Method for Visualization Understanding (MdamV)_supp1-3653265.pdf
[NO] 107/538 | A Data-Driven Path Choice Estimation Method Based on Passengers’ Time-Dependent Travel Characteristics
[NO] 108/538 | A hybrid In
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /Cu-based thin film thermocouple for real time sensing applications
[NO] 109/538 | Editor-in-Chief's Messages With Gratitude and Pride: A Year of Growth and Shared Excellence
[NO] 110/538 | NOMANet: A Graph Neural Network Enabled Power Allocation Scheme for NOMA
[NO] 111/538 | Car Detection on Highway Using YOLOV11 Architecture
[NO] 112/538 | Environmentally-Driven Urban Design Strategies for Sustainable School Spaces in Cebu City
[NO] 113/538 | IEEE Networking Letters Society Information
[NO] 114/538 | Progress toward a 10-kA Superconducting Power Supply for Levitated Dipole Reactors
[NO] 115/538 | Study on Twist Performance of Superconducting Charging Plug Cable
[NO] 116/538 | Analytical Ground Truth for Phase-Contrast MRI experiments and simulations: Open-Source Precision-Controlled Bidirectional Rotational Phantom_supp1-3630749.pdf
[NO] 117/538 | A Multimodal Framework for Understanding Collaborative Design Processes
[NO] 118/538 | Product Code With Integrated Interleaved Component Codes
[NO] 119/538 | Committees
[NO] 120/538 | Hierarchical Coded Caching in Satellite-Terrestrial Networks with Nonuniform User Cache and Geographic Distributions
[NO] 121/538 | Robust Federated Detection of Scrap Steel via Feature Decoupling and Knowledge Inheritance
[NO] 122/538 | Front Cover
[NO] 123/538 | Invertible Matrix Fusion Domain: An Efficient Method for Digital Watermark Embedding and Extraction
[NO] 124/538 | DC-BL: Flexible Delay-Doppler Domain Channel Estimation via Decoupled Bayesian Learning
[NO] 125/538 | Design and Topology Development of a New Split-Tooth Permanent Magnet Arc Motor With Dual Excitations
[NO] 126/538 | RUL Prediction for CT X-Ray Tube Based on Degradation Pattern Recognition and Multi-Domain Joint Feature Fusion
[NO] 127/538 | Forecasting of Epidemic Dynamics using Fuzzy Time Series Particle Swarm Optimization in High-Order
[NO] 128/538 | Satellite-Based Fraction of Available Water Reveals Soil Moisture Deficits Preceding Major Wildfires
[NO] 129/538 | A Point-of-Care High-throughput Biosensing System of Home Monitoring for CRC Postoperative Recurrence by Detecting CEA, MicroRNA-21, and IL-6
[NO] 130/538 | Fuzzy Reinforcement Learning-Based Safe Cooperative Control for Nonlinear Multiagent Systems
[NO] 131/538 | 2025 8th International Conference on Informatics and Computational Sciences (ICICoS)
[NO] 132/538 | Efficient Quantum Circuits for the Hilbert Transform
[NO] 133/538 | 5G Enhanced BDS Positioning in Urban Obstructed Environments: A Smartphone Field Test Case
[NO] 134/538 | Trajectory Planning for ISAC Systems: Variational Method to Minimization of Completion Time
[NO] 135/538 | LLM and Bayesian Network Integrated Simulation Framework for Electric Vehicle User Charging Behaviorals
[NO] 136/538 | A Complex-valued SAR Foundation Model Based on Physically Inspired Representation Learning
[NO] 137/538 | Phase Current Magnitude Adaptive Fault Tolerant Control of Dual Three-Phase Interior PMSMs Under Open-Phase Fault
[NO] 138/538 | Wearable Ultrasound Sensing with Dual Arrays and Machine Learning for Real-Time Tremor Characterization and Antagonist Muscle Monitoring
[NO] 139/538 | Copyright Page
[NO] 140/538 | Directed Morphological Evolution for Fast Robot Structure Optimization
[NO] 141/538 | IEEE Sensors Council Information
[NO] 142/538 | Emerging Technologies Regarding Spectrum Usage and System Design in a New Study Cycle—Part 2
[NO] 143/538 | F-PFC: Enabling Fine-grained PFC in Lossless Data Center Networks
[NO] 144/538 | Improved Performance of EfficientNetB5 Model Through Hyperparameter Optimization for Brain Tumor Classification
[NO] 145/538 | A Hybrid Process Mining and Statistical Process Control Approach for Enhanced Transition Loss Identification in Cosmetic Manufacturing
[NO] 146/538 | Improving the Timing Accuracy of UWB Radars Employing Programmable Delay Chips
[NO] 147/538 | High-Impedance Fault Detection Considering Nonlinear Arc Distortion Characteristics in Active Distribution Networks
[NO] 148/538 | Multidimensional Extension, Coexisting Attractors, Circuit Implementation of Grid-Scroll Memristive Chaotic Oscillator and Its Application in Underwater Acoustic Signal Detection under Ultralow SNR
[NO] 149/538 | Table of Contents
[NO] 150/538 | Integrating Large Language Models Into Recommendation via Mutual Augmentation and Adaptive Aggregation
[NO] 151/538 | Incorporating Drone into Mixed Reality for Enhanced Remote Collaboration: A User Study on Inspection Task_supp1-3654668.pdf
[NO] 152/538 | Feedback-Based Quantum Algorithm for Excited States Calculation
[NO] 153/538 | A 94-fs Jitter and −249.3-dB FoM MDLL With Background Calibration of Injection Phase and Slew-Rate Mismatch
[NO] 154/538 | Deep Multi-View Clustering With Intra-View Similarity and Cross-View Correlation Learning
[NO] 155/538 | SComCP: Task-Oriented Semantic Communication for Collaborative Perception
[NO] 156/538 | Anomalies Detection in Cloud-Native Architectures: Background, State-of-the-Art, and Research Directions
[NO] 157/538 | Welcome Speech from The General Chair of ICICoS 2025
[NO] 158/538 | Nonlinear Direct Error Compensator for Visual Servo Trajectory Tracking Under Image Sensor Delay on a Moving Platform
[NO] 159/538 | Robust Loss Minimization Control for Three-Level Inverter-Fed Linear Induction Machine Drive System Adapted to Linear Metro
[NO] 160/538 | LiteJam: A Lightweight Deep Learning Architecture for Real-Time GNSS Interference Detection and Characterization in UAVs
[NO] 161/538 | Wide-Passband Bandstop Filters
[NO] 162/538 | A Data-Driven Classification Model for Student Boarding Houses Using PSO-Based Naive Bayes
[NO] 163/538 | Non-Uniform Index Modulation for OFDM in VLC Systems
[NO] 164/538 | Physical Parameter Dependencies in Mechanical Reservoir Computing: Structural Analysis, Actuation, and Improved Processing_supp2-3649650.mp4
[NO] 165/538 | Reinforcement Learning-Based Control of Voltage-Forming Grid Inverters With Arbitrary Loads
[NO] 166/538 | Copycat vs. Original: Multi-modal Pretraining and Variable Importance in Box-office Prediction_supp1-3654454.pdf
[NO] 167/538 | DESIGN OF ALL-SUPERCONDUCTING USER MAGNETS FOR EMFL
[NO] 168/538 | Zero-Rate-Output Anomaly in Lissajous-FM Gyroscopes With Electrostatic Ring Resonators
[NO] 169/538 | CAFFT: Cross-Attention Feature Fusion Transformer for Risky Driving Behavior Recognition
[NO] 170/538 | Energy-Based Closed-Form Solution of the Divergent Component of Motion for Nonlinear Inverted Pendulum Trajectories_supp1-3654449.mp4
[NO] 171/538 | Dual-Stage DRL based Trust-Aware Task Bundling and Allocating for Mobile Crowdsourcing
[NO] 172/538 | Optimizing Software Development Time Estimation by Integrating Function Point Analysis and Use Case Point Method
[NO] 173/538 | Design of a Terminal Sensor with Super-resolution Reconstruction Algorithm used in IoT-based Water Quality Monitoring
[NO] 174/538 | Selecting and Pruning: A Differentiable Causal Sequentialized State-Space Model for Two-View Correspondence Learning
[NO] 175/538 | From Segmentation to Disease Prediction: A Systematic Review of AI Methods for Adipose Tissue Analysis in Medical Imaging
[NO] 176/538 | Distributed Online Learning Method over Time-Varying Unbalanced Directed Graphs via Improved Regret Analysis
[NO] 177/538 | An Iterative Lifecycle Model for Engineering and Operating Digital Twins
[NO] 178/538 | Real-Time Detection of Rice Leaf Diseases Based on YOLO v12n Framework
[NO] 179/538 | M2PP: Effective Path Planning Based on Multi-Phase Particle Swarm Optimization and Multi-Scenario Adaptative DWA_supp1-3654174.pdf
[NO] 180/538 | CLE-SH: Comprehensive Literal Explanation package for SHapley values by statistical validity_supp1-3654890.xlsx
[NO] 181/538 | Physical Parameter Dependencies in Mechanical Reservoir Computing: Structural Analysis, Actuation, and Improved Processing_supp1-3649650.pdf
[NO] 182/538 | Characterization of Silicon-Membrane TES Microcalorimeters for Large-Format X-ray Spectrometers with Integrated Microwave SQUID Readout
[NO] 183/538 | Enhancing Beef and Pork Image Classification Using Hyperparameter-Tuned ResNet50
[NO] 184/538 | Compact Circularly Polarized Patch Antennas Using 3-D Printed Non-Uniform Metal/Dielectric Structure
[NO] 185/538 | Rapid Response Fiber Optic Humidity Tracing Based on L-Lysine-Modified MXene for Finger Motion Detection
[NO] 186/538 | Corrigendum: Unified and Efficient Factor Graph Accelerator Design for Robotic Optimization
[NO] 187/538 | Forecasting Accuracy Across Horizons: A Comparative Analysis of Simple and Complex Hybrid Models for Multi-Store Retail Sales
[NO] 188/538 | Dynamic Time Warping-Based Seislet Transform and Its Application in Seismic Discontinuity Characterization
[NO] 189/538 | AC Loss Analysis of Novel Hybrid Wire for High-Speed Machines
[NO] 190/538 | Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques_supp3-3634823.pdf
[NO] 191/538 | IEEE Network Magazine Publication Information
[NO] 192/538 | ProbPer-LiLo: Probabilistic Persistency Modeling for Life-Long Mapping_supp1-3653311.pdf
[NO] 193/538 | An effective Memetic Algorithm for Multi-depot Weighted Vehicle Routing Problem
[NO] 194/538 | Dynamic Skinning: Kinematics-Driven Cartoon Effects for Articulated Characters_supp1-3653317.pdf
[NO] 195/538 | Fixed-Time Disturbance Observer-Based Composite Controller for CMG Gimbal Servo Systems With Prescribed Performance
[NO] 196/538 | Risk State Changes Analysis of Railway Transportation System: Based on the Swallowtail Catastrophe and Risk Pulse Theory
[NO] 197/538 | Fast Modular Reduction Algorithm and Reconfigurable Domain-Specific Architecture Design Based on Generalized Mersenne Primes
[NO] 198/538 | Physical Parameter Dependencies in Mechanical Reservoir Computing: Structural Analysis, Actuation, and Improved Processing_supp3-3649650.mp4
[NO] 199/538 | CSP: Channel And Space Pruning for Compressing Deep Convolutional Neural Networks
[NO] 200/538 | Enhancing Data Usability Through Cloud Native Visualization and Predictive Frameworks
[NO] 201/538 | YOLO-Based Framework with Different Annotated Datasets for BISINDO Sign Language Recognition
[NO] 202/538 | Equivariant Quantum Approximate Optimization Algorithm
[NO] 203/538 | Integration of IoT and Distributed Ledger Technologies: A Survey, Challenges, and Future Directions
[NO] 204/538 | A Predictive Artificial Potential Field Method for Virtual Coupling Train Control
[NO] 205/538 | Robust Distant Small Object Detection Using Radar-Vision Fusion and Prior-Enhanced Query Generation in Autonomous Driving
[NO] 206/538 | Open Set Industrial Surface Defect Recognition With High Frequency Feature Enhancement and Class Mutual-Information Constraint
[NO] 207/538 | An Efficient Radial Basis Function Neural Network With Hybrid Regularizations for Predicting Library Loan Volume: Generalization and Adaptability Are Improved
[NO] 208/538 | Classification of Indonesian-Language News on Digital Media Using IndoBERT and Support Vector Machine
[NO] 209/538 | Modulation Waveform Split-Based Power Flow Control of Multisource Inverters
[NO] 210/538 | Evaluating Shap-Weighted Feature Selection for Classical Machine Learning Models in Prostate Cancer Classification
[NO] 211/538 | CCPA via Load Redistribution: Sequential Strategies and Vulnerability Analysis in Power Systems
[NO] 212/538 | High-Resolution Mapping of Ground-Level PM2.5 in China Using FY-4A and FY-4B TOA Reflectance with Seamless Coverage
[NO] 213/538 | A Head-Orientation Stabilized Gait With 3-D Backbone Curve Shape and Raised Head for Snake Robots
