[2025-11-20 09:10:57] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-19
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511190000+TO+202511192359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2025-11-19 | Towards Generalizable Deepfake Detection by Primary Region Regularization
[NO] 23/1000 | Hybrid Deep Learning for Hyperspectral Imaging: Merging 1D and 2D CNNs for Enhanced Land Cover Mapping
[NO] 24/1000 | Beyond Empirical Limits: Accurate Electromagnetic Modelling of Drug Delivery Sensor
[NO] 25/1000 | Genetic Algorithm Combined with Sequential Quadratic Programming for Efficient Reliability-Based Optimization of Reinforced Concrete Bridges
[NO] 26/1000 | An Embedded Real-Time Localization System for Transient Sounds Based on a MEMS Microphone Array
[NO] 27/1000 | Charging-Simultaneity-Coefficient Estimation Considering Electric Vehicles Charging Behaviors
[NO] 28/1000 | Time Delay Analysis and Dynamic Performance Verification of Valve Base Control Unit Simulation Test System for Voltage Source Converter High Voltage Direct Current
[NO] 29/1000 | Energy Storage Configuration Optimization Strategy for Industrial Users Considering Demand Charge Savings
[NO] 30/1000 | Data-driven decoupling and dimensionality reduction technology for distribution network aggregations
[NO] 31/1000 | Traversability Analysis for Vehicle in Unstructured Road Based on Semantic Segmentation and Environment Geometry
[NO] 32/1000 | Research on False Data Injection Attack Detection Methods for Intelligent Distribution Networks
[NO] 33/1000 | Research on the Construction Technology of Real-Time Simulation System for Variable Speed Pumped Storage
[NO] 34/1000 | Nonlinearities Modeling of Different Shunt Measurement Techniques in PMSM Drives
[NO] 35/1000 | Freezing Desalination : A Bibliometric Study of Trends in Emerging technologies
[NO] 36/1000 | Chemistry-Aware State Estimation for Distributed Battery Energy-Storage Systems
[NO] 37/1000 | A Multi-View SAR Images Fusion Positioning Method Based on Error Propagation Model
[NO] 38/1000 | Flammable Gas Leakage Boundary Recognition System in Mountain Environment Based on Raspberry Pi
[NO] 39/1000 | Moroccan Outward FDI in the CFA Zone: Currency and Exchange Rate Risk in the Banking Sector
[NO] 40/1000 | SGMSNet: Spatial-Gated Memory Network for Chest X-ray Image Segmentation
[NO] 41/1000 | YOLOv10-CBAM: Lightweight Metal Surface Defect Detection Based on YOLOv10
[NO] 42/1000 | Study on Power-Frequency Distributed Residual Current Protection Based on Time-Varying Closed Surfaces
[NO] 43/1000 | Multi-UAV Cooperative Target Consensus Detection and Trajectory Optimization in Urban Environments
[NO] 44/1000 | Simulating Extinct Species
[NO] 45/1000 | PowerCause: Leveraging Causality for Self-Recovery in Unbalanced Distribution Networks
[NO] 46/1000 | Unveiling the Visual Rhetoric of Persuasive Cartography: a Case Study of the Design of Octopus Maps
[NO] 47/1000 | Reliability-Aware Placement of Virtual Network Functions via Multi-Agent Deep Reinforcement Learning
[NO] 48/1000 | ICEIOM 2025 TOC
[NO] 49/1000 | CPERE 2025 Opinion
[NO] 50/1000 | TELSIKS 2025 Breaker Page
[NO] 51/1000 | Fuzzy Logic-Enhanced Neuroadaptive Fault-Tolerant Control for Vehicular Platoons With Stochastic Disturbances and Asymmetric Spacing Constraints
[NO] 52/1000 | A Dynamically Weighted ADMM Framework for Byzantine Resilience
[NO] 53/1000 | The Gradual Interval Mapping Method Integration Framework for Multiple Metasurfaces Fast Design
[NO] 54/1000 | Reconfigurable Scattering Cross Section Control for Aircraft-Like Objects at Meter-Wave Bands Based on Characteristic Mode Cancellation
[NO] 55/1000 | Enhancing Position Estimation Accuracy in IPMSMs Sensorless Control via Virtual Shaft Amplitude Demodulation
[NO] 56/1000 | Muscle Fatigue-Aware Controller for a Semi-Rigid Knee Exoskeleton
[NO] 57/1000 | Two-Stage Semi-Supervised Co-Training for Enhanced Multi-Class Intrusion Detection
[NO] 58/1000 | Tri-perspective Multi-view Classification
[NO] 59/1000 | Transitional Patterns for Tick-Shape Backbones
[NO] 60/1000 | Adaptive Decomposition Level Determination Method for Fractional High-Density Discrete Wavelet Based on Multi-Scale Symbolic Dynamic Entropy
[NO] 61/1000 | Antenna-Independent Deep Learning for Self-Interference Cancellation in In-Band Full-Duplex MIMO Systems
[NO] 62/1000 | A Tool Wear Condition Recognition Model Based on GBDT-BiGRU
[YES] 63/1000 | Application of Large Language Models in Software Development: Review of the Current State and Development Perspectives
[NO] 64/1000 | Current transformer phase error correction method based on SVM algorithm
[NO] 65/1000 | Fault Diagnosis via Deep Transfer Learning with Multi-Scale Feature Extraction and Multi-Layer Domain Adaptation
[NO] 66/1000 | Psych-R1: A New LLM for Psychiatric Diseases Based on Group Relative Policy Optimization
[NO] 67/1000 | Construction of Physical Information Guided Bearing Degradation Indicators and Remaining Useful Life Prediction
[NO] 68/1000 | Research on Fault Diagnosis Method for Antenna Drive Reducer Bearings Based on SVMD-CNN-LSTM Fusion
[NO] 69/1000 | Double-layer optimal scheduling of industrial parks based on equipment behavior correlation graphs
[NO] 70/1000 | Compressive Sensing for Inter-Frame Video Compression Using OMP and TVAL3 Algorithms
[NO] 71/1000 | Voltage Stabilization of Slim DC-Link Systems Using Modulated MPC and Voltage Injection
[NO] 72/1000 | Simulation Study on Electric Field Distribution of Maintenance Personnel in Live Substation Operations
[NO] 73/1000 | A Novel Phase-preserving Motion Compensation Method for Spaceborne Dual-antenna InSAR
[NO] 74/1000 | Performance Comparison of YOLOv8 and Detectron2 for Obstacle Inference Tasks in Autonomous Driving Systems
[NO] 75/1000 | Decision Making and Admission Process in Home Health Care
[NO] 76/1000 | Four-Diode Photovoltaic Model with Enhanced Parameter Extraction Using Fractional-Order Particle Swarm Optimization
[NO] 77/1000 | Bayesian-Optimized CNN-LSTM for Forecasting Short-Term Photovoltaic Power in Microgrids
[NO] 78/1000 | Leverage Sub-Band and Cross-Band Information in Real-Time Speech Signal Improvement
[NO] 79/1000 | An Optimized Ultrasonic Guided Wave Defect Location Approach Based on the Wavelet Energy Entropy
[NO] 80/1000 | Proposal of Noncontact Fish-Pulse Estimation Camera for Flatfish
[NO] 81/1000 | Security Challenges in Civilian and Military IoT - Common Attacks and Vulnerabilities
[NO] 82/1000 | Adaptive Multi-Stage Sparse Gaussian Process Regression for Bearing Remaining Useful Life Prediction
[NO] 83/1000 | FusedBoostNet: A Lightweight Hybrid Model for Consumer-Grade Intrusion Detection
[NO] 84/1000 | Output Feedback Quantized Tracking Control for a Class of Nonlinear Systems With Sensor Failures
[NO] 85/1000 | A High-Sensitivity Microwave Sensor Based on Unequal-Width Three-Coupled Lines for Characterizing the Permittivity of Liquids
[NO] 86/1000 | Fast-Calibration-Based Control for an Upper-Limb Prosthesis
[NO] 87/1000 | A Review of Interline Series Power Flow Controllers in HVDC Grids
[NO] 88/1000 | Block-wise Contrastive Few-shot Learning with Multi-view Mixing for Hyperspectral Image Cross-scene Classification
[NO] 89/1000 | Resonance Transition Radiation in One-dimensional Moiré Lattices
[NO] 90/1000 | LoGCC: Local-to-Global Correlation Clustering for Scalar Field Ensembles
[NO] 91/1000 | Explainable Machine Learning for Predicting Computational Thinking Proficiency in K-12 Students Using National-Level Data
[NO] 92/1000 | Two-round Certificateless Multi-signatures with Key Aggregation in Smart Contracts
[YES] 93/1000 | More Granular, Less Trust: Enforcing Intra-Process Isolation with Arm CCA in an Untrusted Management Environment
[NO] 94/1000 | Deep Learning for Bird Identification Using Sound: Enhancing Avian Monitoring and Conservation in Indonesia and Malaysia
[NO] 95/1000 | Edge-Oriented Federated YOLOv8 Detection Framework for Photovoltaic Fault Identification
[NO] 96/1000 | Effect of Storage Time on Oxidative Pyrolysis Characteristics of Coal
[NO] 97/1000 | “Made by people, described by people”: The Changing Work Practices of Audio Description Professionals
[NO] 98/1000 | QoE Evaluation for VR with Vibrotactile Feedback Based on Inter-user Brain Spatial Information
[NO] 99/1000 | Multi-Objective Optimization Design of Sar Constellation for Balancing Efficiency and Cost
[NO] 100/1000 | Research on Comprehensive Evaluation Weights of Metering Asset Operation Benefits Based on AHP-Entropy Weight Method
[NO] 101/1000 | Can Oriented Bounding Box Enhance Small Object Detection?
[NO] 102/1000 | Swarm Intelligence for Enhancing Cyber Security in Vehicular Ad-Hoc Networks
[NO] 103/1000 | Advancing Lunar Communication Through Inter-Domain Space Networks and Dynamic Orchestration
[NO] 104/1000 | A Short Overview of Recent Advances in Sitting Posture Monitoring Systems
[NO] 105/1000 | SPICE-Based Automatic Parasitic Extraction in Double Pulse Test Circuits for SiC MOSFETs
[NO] 106/1000 | Cable Fault Diagnosis Method Based On Dynamic Integral Function Construction
[NO] 107/1000 | Remaining Life Prediction of Rolling Bearing Based on Multi-Scale Feature Fusion and Deep Learning
[NO] 108/1000 | A Joint Parameter Estimation and Subspace Segmentation Inversion Method for Motion Error Compensation in MIMO-SAR
[NO] 109/1000 | Unsupervised Machine Learning for Credit Card Fraud Detection: Comparative Study of Individual and Ensemble Models
[NO] 110/1000 | A Clustering-Based Damage Identification and Localization Method for Composite Structures Using Multi-Physical Features of Ultrasonic Guided Waves
[NO] 111/1000 | Research on Bearing Fault Diagnosis Based on Digital Twin Technology
[NO] 112/1000 | Adaptive method of biometric authentication, AC-CNN based on convolutional neural networks under conditions of partially available biometric data
[YES] 113/1000 | MPU Circuit Generation From Programs With Meta-Instructions
[NO] 114/1000 | Bird detection method for transmission line based on improved YOLOv8 algorithm
[NO] 115/1000 | Prediction of system strength margin for multi-infeed systems based on federated learning
[NO] 116/1000 | A 107 DB-SNDR and 165 DB-FOM Second-Order Noise-Shaping SAR ADC
[NO] 117/1000 | A two-Layer Authentication Scheme Against Node Replication Attacks in Mobile Heterogeneous Sensor Networks
[NO] 118/1000 | A Scalable Data Model for Signalized Intersection Performance Measures
[NO] 119/1000 | RCANet Based User Partitioning Channel Estimation for RIS Assisted mmWave MIMO Systems
[NO] 120/1000 | Fusing SIFT Keypoint Density and Multi-Resolution Wavelet Features for Enhanced CVD Classification via a Residual Attention Network
[NO] 121/1000 | Electric Energy Substitution Potential Prediction Based on CEEMDAN-LSTM-GM Model
[NO] 122/1000 | Vibration Sensor Placement Optimization in Electrical Transmission for Prognostics and Health Management System
[NO] 123/1000 | Modeling the Academic Impact of Early ICT Exposure: A Cross-National Study Using Pooled Variance Optimization
[NO] 124/1000 | Multiple Point-Source Tracking with Lensless Single Random Phase Encoding Optical Systems
[NO] 125/1000 | A Multi-Agent DRL-Based Framework for Optimal Resource Allocation and Twin Migration in the Multi-Tier Vehicular Metaverse
[NO] 126/1000 | 2025 IEEE Conference on Power Electronics and Renewable Energy (CPERE)
[NO] 127/1000 | Challenges and Opportunities in Electric Propulsion Systems for Low-Altitude eVTOL Aircraft
[NO] 128/1000 | Self-Wearing Adaptive Garments via Soft Robotic Unfurling
[NO] 129/1000 | Sizing Antenna Arrays for Near-field Communication and Sensing
[NO] 130/1000 | Multi-Agent PPO-Based Resource Optimization for Full-Duplex RIS-Aided NOMA-ISAC Systems
[NO] 131/1000 | TELSIKS 2025 Breaker Page
[NO] 132/1000 | ICEEPS 2025 Preface
[NO] 133/1000 | Large Multimodal Model-Empowered Task-Oriented Autonomous Communications: Design Methodology and Implementation Challenges
[NO] 134/1000 | Data-Driven Stabilisation of Unstable Periodic Orbits of the Three-Body Problem
[NO] 135/1000 | Dynamic Task Scheduling and Adaptive GPU Resource Allocation in the Cloud
[NO] 136/1000 | A Multiport Bidirectional LLC Resonant DC-DC Converter for Vehicle-to-Grid Applications
[NO] 137/1000 | Travel time estimation using Eikonal equation with finite element method in ultrasound imaging: an in-silico study
[NO] 138/1000 | Toward Secure and High-Performance Blockchain Integration in the Internet of Vehicles: A Layered Architecture Based on Hyperledger Fabric
[NO] 139/1000 | Airport Adjustment Strategy Based on Air Traffic Flow Prediction Using EMD-BiLSTM Hybrid Mode
[NO] 140/1000 | Study on Insulator Flashover Induced by Lightning on the Midpoint of Lightning Protection Lines Based on the High-Frequency Electromagnetic Pulse Coupling Principle
[NO] 141/1000 | Pattern Recognition of Partial Discharge Signals in DC Gas-Insulated Switchgear Based on Multi-Domain Feature Extraction
[NO] 142/1000 | IoT Security Risks and Mitigation Strategies for Smart Grids: A Literature Review
[NO] 143/1000 | Optimal Coordinated Control for Distributed SAR Formation Reconfiguration Application
[NO] 144/1000 | Research on corrosion fault diagnosis method of grounding network based on the joint method of electrical network and electrical impedance imaging technology
[NO] 145/1000 | A Novel Predictive Model for Hypertension Comorbidity in COPD Patients Based on the Feature-Adaptive Stacking Framework (FASF)
[NO] 146/1000 | A brief review on AI-driven approaches for predictive maintenance of pipelines
[NO] 147/1000 | Fault Identification of Voltage Source Converter Valve Discharge Based on Mel-Spectrum and CNN
[NO] 148/1000 | Short-Term Cascade Operation Modeling for the Three Gorges-Gezhouba: Integrating Dynamic Storage and Backwater Effects
[NO] 149/1000 | Multicast Broadcast Services in Railway Communication Applications
[NO] 150/1000 | Dynamic Response Characteristics of Photovoltaic Power Station Inverters in Industrial Scenarios
[NO] 151/1000 | Multidimensional Data Analysis and Diagnosis Model of Blood Diseases Based on Deep Learning
[NO] 152/1000 | Optimization of Electrode Combinations for High-Performance Bilateral TIBS Stimulation
[NO] 153/1000 | An Intelligent Information System for Semantic Analysis of Social Network Discussions
[NO] 154/1000 | Rüppell’s Fox Optimization Algorithm for Solving the Optimal Power Flow Problem with Renewable Energy Integration
[NO] 155/1000 | SAGECN: A Spectral-and-GraphSAGE Enhanced Convolutional Network for Robotic Arm Fault Diagnosis
[NO] 156/1000 | Design of a Speed Control Algorithm for Switched Reluctance Wind Turbine Generators Based on a Tracking Differentiator
[NO] 157/1000 | Fully Soft Switched High Step Up Three Level DC-DC Converter with Continuous Input Current for LED Drivers Applications
[NO] 158/1000 | Fault Pattern Recognition for Bearings via Convolutional Sparse Representation of Multi-source Heterogeneous Information
[NO] 159/1000 | Application of Convolutional Neural Network in Fault Diagnosis of Electric Power Communication Network
[NO] 160/1000 | Task-irrelevant Visual Stimuli with Semantic Content Interfere with Auditory Working Memory Retrieval
[NO] 161/1000 | Stochastic Wireless Signal Generation Using a VAE With Statistical Latent Sampling
[NO] 162/1000 | Hybrid Integration of MAVlink Telemetry and Sensor Data Via REST API for Real-Time UAV-Based Fire Detection Monitoring
[NO] 163/1000 | Integrating Multi-center Blood Samples for Disease Marker Screening Using Heterogeneous Federated Meta-learning
[NO] 164/1000 | <b>FUSTT:</b>
                    Forecasting Using Spatio-Temporal Transformers for Predicting Marine Stressors of Blue-Carbon Ecosystems
[NO] 165/1000 | Detection of Multi-stage Attacks through Attack Pattern Segmentation
[NO] 166/1000 | Heterogeneity-Aware Federated Learning for Medical Image Classification with Dynamic Parameter Optimization
[NO] 167/1000 | Guest Editorial Special Issue on Intelligent IoT for Sustainable Agriculture and Food Industries
[NO] 168/1000 | Orthogonal Doppler Frequency Modulation over Doubly Selective Channels
[NO] 169/1000 | ICEEPS 2025 Author Index
[NO] 170/1000 | CPERE 2025 Subject Index Page
[NO] 171/1000 | SceneCluster: Interactive Scene Synthesis by Clustering Groups of Furniture Objects
[NO] 172/1000 | Enhanced Slow-Light Phenomenon in Dot-Bragg Gratings through Offset Engineering
[NO] 173/1000 | Accelerating Adaptive Diffusion and Uncertainty Modeling for Underwater Image Enhancement
[NO] 174/1000 | Partition Map-Based Fast Block Partitioning for VVC Inter Coding_supp1-3632639.pdf
[NO] 175/1000 | TBNet: A Chest X-ray Classifier Supporting Image Segmentation with Self-attention Mechanism for Secondary Tuberculosis Detection
[NO] 176/1000 | Tactile-Sensitive Artificial Skin for Multiaxial Force Detection and Texture Recognition
[NO] 177/1000 | A Fly-Crawl-Fly UAV for Full-Circumference Inspection of Non-Magnetic Pipes via Thrust Adhesion
[NO] 178/1000 | Trust-Driven Resource Trading for DAG Blockchain-Aided Mobile Edge Computing Networks: A Game Theoretic Approach
[NO] 179/1000 | A Differential Cluster-Analysis-Based Multibaseline Phase Unwrapping Algorithm
[NO] 180/1000 | Hybrid Feature Fused Few-Shot Learning for CSI-Based Adaptive Beam Prediction
[NO] 181/1000 | Artificial Neural Networks for Solving Partial Differential Equations: A Deep Learning Approach
[NO] 182/1000 | Intelligent Typing of Gangrenous Cholecystitis Based on LSTM-XGBoost Integrated Model
[NO] 183/1000 | Research on Collaborative Operation Methodologies and Strategies for New-Energy Engineering Vehicle Fleets in Plateau Railway Tunnel Muck Removal
[NO] 184/1000 | Research and Application of Electric Installation Technology "I" Type Insulated Sheath
[NO] 185/1000 | Context-Aware Advisor System for Crowded Environments
[NO] 186/1000 | Cybersecurity in Smart Cities: A Review of Theoretical Models, Emerging Threats, and Defense Strategies
[NO] 187/1000 | A Barrage Jamming Suppression Method for High-Resolution Wide-Swath SAR Systems on Correlation Filtering
[NO] 188/1000 | Multiband Clustering Weighted Envelope Spectrum for Axle-Box Bearing Fault Diagnosis
[NO] 189/1000 | A Suitable Range Selection Method for MED Filter Length and Its Application
[NO] 190/1000 | Broken Wire Damage Identification Method for Elevator Steel Belts Based on a 2D Wave Model
[NO] 191/1000 | Change Detection in SAR Images Using HDBSCAN Clustering
[NO] 192/1000 | Transformer Intelligent Fault Diagnosis Based on Knowledge-Enhanced Data Generation and Kolmogorov-Arnold Networks
[NO] 193/1000 | On the Robust Stability of Battery-Supercapacitor Hybrid Power Sources in Electric Vehicles
[NO] 194/1000 | Study on Adaptive Overcurrent Protection for Distribution Network With Distributed Generations
[NO] 195/1000 | Brain Tumors Classification Using Vision Transformer and Convnext Models
[YES] 196/1000 | Systematic Mapping Study on AI Integration in CI/CD Pipelines
[NO] 197/1000 | Detection of COVID-19 epidemic outbreak using Attention Mechanism Capsule Network
[NO] 198/1000 | Novel Triple Band Bandpass Filter Designed for WiMAX Communication Systems
[NO] 199/1000 | Deadbeat Control of Synchronous Reluctance Motor Adopting Nonlinear Flux Linkage Model
[NO] 200/1000 | Automated machine learning for maritime accident analysis: A case study
[NO] 201/1000 | PV Hosting Capacity Analysis in Distribution Systems with Uncertain Demand and Weather Conditions
[NO] 202/1000 | Simulation Study of Electric Drive Vibration Working Condition of Flexible Tracked Vehicle Based on RecurDyn
[NO] 203/1000 | Numerical simulation of turbulent flow through a wastewater bar screen
[NO] 204/1000 | Towards Sustainable Oil Extraction: GAMS Based Battery Sizing Optimization in PV Hybrid Sucker Rod Pump System
[NO] 205/1000 | A Lightweight Hybrid Prediction Framework for Remaining Useful Life Based on CS-TCN-SAPINN
[NO] 206/1000 | Deep Learning for Schizophrenia Diagnosis from EEG Signals: A Comparative Study of Time-Domain vs. Frequency-Domain Models
[NO] 207/1000 | Discrete Orthogonal Moments-Based Deep Clustering: A Racah Polynomials and Cauchy Distribution Approach
[NO] 208/1000 | Research On The Diagnosis Of Reasons For Misoperation And Refusal Of Protection Based On Online Data And The Warning Technology For Hidden Dangers
[NO] 209/1000 | Distributed Non-Coherent Spiral Sar Imaging With Random Rf Illumination
[NO] 210/1000 | Predicting Groundwater Levels with Long Short-Term Memory (LSTM) Networks and Seasonal Pattern Classification
[YES] 211/1000 | Inferring Input Grammars from Code with Symbolic Parsing
[NO] 212/1000 | Addressing Human-Robot Symbiosis via Bilevel Optimization of Robotic Knee Prosthesis Control_supp1-3634368.pdf
[NO] 213/1000 | Frequency-Domain Nonlinear Self-Interference Cancellation in Full-Duplex Zero-IF Transceivers: From Algorithm to Prototype
[NO] 214/1000 | Suppressing the Back-Gating Effect of Normally-Off p-GaN Monolithic Bidirectional Switch on 6-Inch Sapphire for Compact Power Conversion Systems
[NO] 215/1000 | Design of An Intelligent Pixel Readout ASIC with ADC-less In-sensor Computing based on Binary-Weight Analog Neural Network for Hybrid X-Ray Imaging Detectors
[NO] 216/1000 | Enhancing Mathematical Reasoning Through Autonomously Learning Knowledge
[NO] 217/1000 | Combining airborne LiDAR data and optical Imagery for improved national-scale beach topography estimation: a case study in New Zealand
[NO] 218/1000 | Technical Program Committee
[NO] 219/1000 | Copyright and Reprint Permission
[NO] 220/1000 | ICOA 2025 Cover Page
[NO] 221/1000 | TELSIKS 2025 Breaker Page
[NO] 222/1000 | Client Selection in Federated Learning With Differential Privacy-Based Data Stream
[NO] 223/1000 | Low Complexity High Speed Channel Estimation for OTFS on System on Chip
[NO] 224/1000 | Enhanced Adaptive Artificial Potential Field for UAV Navigation in Dynamic 3D Environments with Lightweight Spherical Obstacle Map
[NO] 225/1000 | Development of an Educational Fact-Checking Game to Improve Digital Information Literacy
[NO] 226/1000 | A Novel RFI Detection Method for Multi-Channel Hrws SAR Systems in Azimuth
[NO] 227/1000 | KneeRAC: Retrieval-Augmented Classification for Grading Knee Osteoarthritis on Radiographs
[NO] 228/1000 | Grid Strength Assessment for Floating PV Integration at 150 kV Using SCR and WSCR
[NO] 229/1000 | A 6-14 Gb/S Single-Loop Referenceless CDR Without Separate FD
[NO] 230/1000 | Classification of American Sign Language Using EfficientNETV2B0 Architecture
[NO] 231/1000 | A Multi-Branch Network for SAR Ship Detection
[NO] 232/1000 | A Hybrid Charging Station Integrating Energy Storage and Photovoltaic Systems
[NO] 233/1000 | Transmission Network Expansion Planning Considering Integration of Offshore Wind Power
[NO] 234/1000 | Reliability Analysis Method for Multi-Fault Modes of Turbofan Engines Based on the Multi-Domain Unified Model
[NO] 235/1000 | Effects of Non-Torque Loads on Planetary Gear Systems
[NO] 236/1000 | Multi-Source Data Driven Parallel Branch VIT Intelligent Diagnosis Method for Rolling Bearing Faults
[NO] 237/1000 | Design of Non-Contact Vibration Monitoring System for Extra-High Voltage Transformer Based on Machine Vision
[NO] 238/1000 | A Winding Reconfigured Motor Optimization Method Based on Hybrid Surrogate Model
[NO] 239/1000 | Imaging Biomarkers of the Hippocampus and Its Subfields for Alzheimer’s Disease Diagnosis
[NO] 240/1000 | An Aviation Bearing Quality Monitoring Method Based on an Improved Statistical Parameter Calculation Theory
[NO] 241/1000 | Electromagnetic Compatibility Analysis and Protective Structure Design of Service Robots in High-Voltage Substation Environments
[NO] 242/1000 | Integrated Decision Support System for Hemodialysis Patient Assessment: Combining Deep Learning-Based Peripheral Edema Detection with Clinical Parameter Scoring
[NO] 243/1000 | Development and Experimental Evaluation of a Vibration-Based Adhesion System for Miniature Wall-Climbing Robots
[NO] 244/1000 | A Blockchain and InterPlanetary File System (IPFS) Based Smart Contract Framework for Preventing Certificate Fraud in Academia
[NO] 245/1000 | Inductive Coupled Coils Design and Analysis for Electric Vehicle Wireless Charging
[NO] 246/1000 | The Influence of Process Parameters on the Geometric Characteristics of Laser Wire Additive Manufacturing Cladding Tracks
[NO] 247/1000 | A Fault Diagnosis Method of Ball Screw Based on Image Coding and Multi-modal Feature Fusion
[NO] 248/1000 | Co-activation Patterns Reveal Aberrant Brain Network Dynamics Across Different Stages of Alzheimer’s Disease
[NO] 249/1000 | The Influence of Input Buffer Size on Neural Network Performance in LEO Satellite Channel Forecasting
[NO] 250/1000 | Optimized Nonlinear High-Frequency Injection for Sensorless PMSM in Low-Speed Industrial Servo Systems
[NO] 251/1000 | Artificial Intelligence. Invasion. Empathy in a Human-Machine World.
[NO] 252/1000 | Low-Cost Continuous Blood Pressure Monitoring Using Dual Photoplethysmography with MAX30102 Sensors
[NO] 253/1000 | Study on the Potential of Industry Demand Response Using a Data-driven Approach based on Cluster-Gaussian Mixture Model
[NO] 254/1000 | NEOL: Multiscale Adaptation of Large Language Models for Network Energy Optimization
[NO] 255/1000 | Table of Contents
[NO] 256/1000 | A Digital Bandwidth Compensation Method for Capacitive MEMS Accelerometers
[NO] 257/1000 | A Vertically Polarized Wideband Magneto-Electric Antenna for End-Fire Radiation
[NO] 258/1000 | CME 2025 Author Information Page
[NO] 259/1000 | Optimizing Data Collection for Bodily Emotion Recognition: A Comparative Study
[NO] 260/1000 | ST-BayesianNet: Spatiotemporal Bayesian Convolution Neural Networks for Multivariate Time Series Forecasting
[NO] 261/1000 | GAI Transformer Fusion for Multimodal Consumer Electronics: Scenario-Based Benchmarking and Resilience to Missing Data
[NO] 262/1000 | TELSIKS 2025 TOC
[NO] 263/1000 | Graph Frequency-Domain Factor Modeling
[NO] 264/1000 | EnT 2025 Cover Page
[NO] 265/1000 | Decoupling Intra- and Inter-Shard Consensus for High Scalability in Permissioned Blockchain
[NO] 266/1000 | DMEFF-Net: A Dynamic Multi-Scale Enhanced Feature Fusion Model for Small Object Detection in Remote Sensing Images
[NO] 267/1000 | TELSIKS 2025 Committees
[NO] 268/1000 | TELSIKS 2025 Opinion
[NO] 269/1000 | ICOA 2025 Cover Page
[NO] 270/1000 | Predicting Hearing Loss in the Chinese Middle-aged and Elderly: A Machine Learning Approach Using Clinical and Demographic Data
[NO] 271/1000 | A Decision Support System of Journal Accreditation Readiness Using ANP-TOPSIS for Publishing Institutions
[NO] 272/1000 | Multi-label ECG classification using a reduced-lead configuration
[NO] 273/1000 | The Generation Method of Two-Scale Sequence Generating Arbitrary Mother Wavelet with High Accuracy Using Machine Learning for Discrete Wavelet Transform
[NO] 274/1000 | Supervised Classification of Resting-State fMRI Biomarkers for Early Detection of Alzheimer’s Disease
[NO] 275/1000 | Ancillary Services of A Triple-Port Smart Transformer
[NO] 276/1000 | An Efficient ANN-Based Model of a Bifilar Helix Antenna for GPS and GLONASS Signal Reception
[NO] 277/1000 | Vibration and Acoustic Monitoring of Wind Turbine Nacelle and Automatic Fault Identification
[NO] 278/1000 | Strategic Development of a Hydrogen Supply Chain in Corsica: a Multi-criteria Analysis
[NO] 279/1000 | ECG Classification Based on QRS Filtering and BiLSTM Neural Networks
[NO] 280/1000 | Automated Environmental Monitoring for Bok Choy Hydroponic System in Greenhouse
[NO] 281/1000 | On Solution of Mixed Problem in Colombeau Algebras
[NO] 282/1000 | IEEE Standard for Voltage-Endurance Testing of Form-Wound Coils and Bars for Hydro Generators
[NO] 283/1000 | Research on Vehicle State Recognition Based on Improved CNN
[NO] 284/1000 | An Approach to the Lifecycle Management of Virtualized FRMCS Applications as a Service
[NO] 285/1000 | Modeling of Turboshaft Engine Turbine Tip Clearance Parameters and Performance Analysis Based on Uncertainty Theory
[NO] 286/1000 | Multimodal Feature Fusion Framework for Tool Condition Monitoring
[NO] 287/1000 | Application of a Noval Improved Marine Predator Algorithm in Resource Configuration for Formation Electronic Support
[NO] 288/1000 | Advanced Motor Control Using Novel Control Techniques and Predictive Diagnostics for Electric Vehicles Using Machine Learning
[NO] 289/1000 | Comprehensive Structure of IoT System for PV-powered Electric Bus Charging Station
[NO] 290/1000 | Joint Optimization Strategy for Electric Buses–Energy Storage Systems Considering Efficiency Models
[NO] 291/1000 | A Reinforcement Learning-Based Decentralized Control Strategy for Eco-Safe Mixed Platooning With CAVs and HDVs
[NO] 292/1000 | Table of Contents
[NO] 293/1000 | Proceedings
[NO] 294/1000 | Unified Mathematical Framework for Channel Estimation in VLC Systems with Signal-Dependent Noise
[NO] 295/1000 | Polyvinyl Alcohol-Coated Magnetic Nanoparticles for Biomedical Applications
[NO] 296/1000 | IEEE Systems, Man, and Cybernetics Society Information
[NO] 297/1000 | Robust Higher-Order Sliding Mode Control for Virtual Synchronous Generators to Enhance Stability under Varying Network Conditions
[NO] 298/1000 | Output fluctuation suppression methods for dynamic wireless charging system of electric vehicle based on picking coil optimization and load parameters estimation
[NO] 299/1000 | Data Processing and Feature Extraction for High-Current Switchgear Cabinets Operation based on Improved Random Forest Model
[NO] 300/1000 | Financial Statement Fraud Detection in the Age of Artificial Intelligence: a Multi-Indicator Systematic Literature Review
[NO] 301/1000 | UnfoldDet: Advancing Surface Defect Detection with Dual Feature Separation and Relation Reasoning
[NO] 302/1000 | Distributed Array Transient Acoustic Localization Based on Fuzzy Fusion
