[2026-01-14 09:18:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-13
正在获取论文...
[arXiv] 2026-01-13 | Gyral-Sulcal-Net: An Integrated Network Representation of Brain Folding Patterns
[NO] 233/1742 | Destination Drone: A Comprehensive Analysis of Japanese Consumer Choice Behavior and Intentions for Drone Delivery Services
[NO] 234/1742 | TRACE: Reconstruction-Based Anomaly Detection in Ensemble and Time-Dependent Simulations
[NO] 235/1742 | Solvation Lies Within: Simulating Condensed-Phase Properties from Local Electronic Structures
[NO] 236/1742 | Automatic debiased machine learning and sensitivity analysis for sample selection models
[NO] 237/1742 | Cities at Play: Improving Equilibria in Urban Neighbourhood Games
[NO] 238/1742 | Resisting Manipulative Bots in Memecoin Copy Trading: A Multi-Agent Approach with Chain-of-Thought Reasoning
[NO] 239/1742 | Enhancing Financial Literacy and Management through Goal-Directed Design and Gamification in Personal Finance Application
[NO] 240/1742 | Coupling of Klein-Andreev Resonant States in Bi$_2$Sr$_2$CaCu$_2$O$_{8+x}$-graphene-Bi$_2$Sr$_2$CaCu$_2$O$_{8+x}$ Devices
[NO] 241/1742 | A complex analytic approach to orbifold Chern classes on singular varieties and its applications
[NO] 242/1742 | How Order-Sensitive Are LLMs? OrderProbe for Deterministic Structural Reconstruction
[NO] 243/1742 | Energy-variational solutions for geodynamical two-phase flows -- From logarithmic to double-obstacle potentials by variational convergence
[NO] 244/1742 | SafeRedir: Prompt Embedding Redirection for Robust Unlearning in Image Generation Models
[NO] 245/1742 | Interpretability and Individuality in Knee MRI: Patient-Specific Radiomic Fingerprint with Reconstructed Healthy Personas
[NO] 246/1742 | A Sharp Universality Dichotomy for the Free Energy of Spherical Spin Glasses
[NO] 247/1742 | Dust Properties of the Interstellar Object 3I/ATLAS Revealed by Optical and Near-Infrared Polarimetry
[NO] 248/1742 | Fluctuations of the Ising free energy on Erdős-Rényi graphs
[NO] 249/1742 | Regime Discovery and Intra-Regime Return Dynamics in Global Equity Markets
[NO] 250/1742 | YOLOBirDrone: Dataset for Bird vs Drone Detection and Classification and a YOLO based enhanced learning architecture
[NO] 251/1742 | Disentangling History and Propagation Dependencies in Cross-Subject Knee Contact Stress Prediction Using a Shared MeshGraphNet Backbone
[NO] 252/1742 | Interstellar Medium Modulation of Nonlinear Kinetic Alfvén Morphology in Structured Galactic Environments
[NO] 253/1742 | Enhancing Image Quality Assessment Ability of LMMs via Retrieval-Augmented Generation
[NO] 254/1742 | ORBIT: On-policy Exploration-Exploitation for Controllable Multi-Budget Reasoning
[NO] 255/1742 | AgriAgent: Contract-Driven Planning and Capability-Aware Tool Orchestration in Real-World Agriculture
[NO] 256/1742 | A youthful Titan implied by improved impact simulations
[NO] 257/1742 | SnapGen++: Unleashing Diffusion Transformers for Efficient High-Fidelity Image Generation on Edge Devices
[NO] 258/1742 | M3SR: Multi-Scale Multi-Perceptual Mamba for Efficient Spectral Reconstruction
[NO] 259/1742 | KidVis: Do Multimodal Large Language Models Possess the Visual Perceptual Capabilities of a 6-Year-Old?
[NO] 260/1742 | A Preparation Nonstationarity Loophole in Superconducting-Qubit Bell Tests
[NO] 261/1742 | Training Under Attentional Competition Produces Persistent Biases in Visual Appearance
[NO] 262/1742 | ToolACE-MCP: Generalizing History-Aware Routing from MCP Tools to the Agent Web
[NO] 263/1742 | Bifurcated Impact of Neutrino Fast Flavor Conversion on Core-collapse Supernovae Informed by Multi-angle Neutrino Radiation Hydrodynamics
[NO] 264/1742 | Optimization of maximal quantum f-divergences between unitary orbits
[NO] 265/1742 | An open-source computational framework for immersed fluid-structure interaction modeling using FEBio and MFEM
[NO] 266/1742 | A Blessing in Disguise: How DeFi Hacks Trigger Unintended Liquidity Injections into US Money Markets
[NO] 267/1742 | On Evaluation of Unsupervised Feature Selection for Pattern Classification
[NO] 268/1742 | Resumming Scattering Amplitudes for Waveforms
[NO] 269/1742 | Spiking Neural-Invariant Kalman Fusion for Accurate Localization Using Low-Cost IMUs
[NO] 270/1742 | Electromagnetic Scattering by a Cluster of Hybrid Dielectric-Plasmonic Dimers
[NO] 271/1742 | The End of Reward Engineering: How LLMs Are Redefining Multi-Agent Coordination
[NO] 272/1742 | MPCI-Bench: A Benchmark for Multimodal Pairwise Contextual Integrity Evaluation of Language Model Agents
[NO] 273/1742 | Jupiter-like uniform metal enrichment in a system of multiple giant exoplanets
[NO] 274/1742 | Knowledge-based learning in Text-RAG and Image-RAG
[NO] 275/1742 | An Axiomatic Approach to General Intelligence: SANC(E3) -- Self-organizing Active Network of Concepts with Energy E3
[NO] 276/1742 | One-Shot Federated Ridge Regression: Exact Recovery via Sufficient Statistic Aggregation
[NO] 277/1742 | Towards Principled Design of Mixture-of-Experts Language Models under Memory and Inference Constraints
[NO] 278/1742 | Brunnian links and Kontsevich graph complex I
[NO] 279/1742 | A Dynamical Framework for the McKay Correspondence via Gauge-Theoretic Morse Flow
[NO] 280/1742 | Numerical analysis of spatiotemporal high-index saddle dynamics for finding multiple solutions of semilinear elliptic problems
[NO] 281/1742 | TabPFN Through The Looking Glass: An interpretability study of TabPFN and its internal representations
[NO] 282/1742 | Algebras of distributions suitable for phase-space quantum mechanics. I
[NO] 283/1742 | The Orlicz-Aleksandrov problem for pseudo-cones
[YES] 284/1742 | Relational Knowledge Distillation Using Fine-tuned Function Vectors
[NO] 285/1742 | Unraveling Year-Long Radial Velocity Variations in Red Clump Region -- I: Comprehensive analysis of a K0 Giant star, 2 Draconis
[NO] 286/1742 | Global Existence for General Systems of Isentropic Gas Dynamics via a Weighted Pressure Perturbation Approach
[NO] 287/1742 | Project Synapse: A Hierarchical Multi-Agent Framework with Hybrid Memory for Autonomous Resolution of Last-Mile Delivery Disruptions
[NO] 288/1742 | Dual characterizations of norm minimization problems
[NO] 289/1742 | Flow cones of graphs with cycles and locally gentle algebras
[YES] 290/1742 | Embedded AI Companion System on Edge Devices
[NO] 291/1742 | Trimmed strong laws and distributional limits for exponentially mixing systems
[NO] 292/1742 | How vehicles change lanes after encountering crashes: Empirical analysis and modeling
[NO] 293/1742 | Three Bernstein type theorems for hypersurfaces with zero Gaussian curvature
[NO] 294/1742 | Efficient Incremental SLAM via Information-Guided and Selective Optimization
[NO] 295/1742 | Query Suggestion for Retrieval-Augmented Generation via Dynamic In-Context Learning
[NO] 296/1742 | Towards A Unified PAC-Bayesian Framework for Norm-based Generalization Bounds
[NO] 297/1742 | Measurement of the LCLS-II dark current using the LDMX Trigger Scintillator Prototype
[NO] 298/1742 | RAVEN: Erasing Invisible Watermarks via Novel View Synthesis
[YES] 299/1742 | Modeling LLM Agent Reviewer Dynamics in Elo-Ranked Review System
[NO] 300/1742 | Motion Attribution for Video Generation
[NO] 301/1742 | Lattice-based equation of state with a critical point from constant entropy contours and its comparison to effective QCD approaches
[NO] 302/1742 | Local Magnetometry from Measurement-Induced Dissipation
[NO] 303/1742 | Impacted Buildings for GL(2)
[NO] 304/1742 | Upper and Lower Bounds for The Quantum Dynamics of One-Dimensional Divergence-Type Random Jacobi Operators
[NO] 305/1742 | Singular del Pezzo surfaces and isotropic flag varieties
[NO] 306/1742 | Primordial Gravitational Waves from Scalar Backreaction in Axion-SU(2) Inflation
[NO] 307/1742 | Revisiting the Great Attractor: The Local Group's streamline trajectory, cosmic velocity and dynamical fate
[NO] 308/1742 | High-Resolution Infrared Spectroscopy and ASAP Analysis of Cyclopentadiene: The Vibrational Modes below 860 cm$^{-1}$ and the $ν_{21}$ Mode at 961 cm$^{-1}$
[NO] 309/1742 | Efficient Maintenance of Leiden Communities in Large Dynamic Graphs
[YES] 310/1742 | Learner-Tailored Program Repair: A Solution Generator with Iterative Edit-Driven Retrieval Enhancement
[NO] 311/1742 | Topology of Calorons Re-examined
[NO] 312/1742 | Weakly Supervised Tabla Stroke Transcription via TI-SDRM: A Rhythm-Aware Lattice Rescoring Framework
[NO] 313/1742 | Distribution Estimation with Side Information
[NO] 314/1742 | A dynamical model of the U.S. mathematics graduate degree pipeline
[NO] 315/1742 | QP-Based Control of an Underactuated Aerial Manipulator under Constraints
[NO] 316/1742 | Your Group-Relative Advantage Is Biased
[NO] 317/1742 | CD^2: Constrained Dataset Distillation for Few-Shot Class-Incremental Learning
[NO] 318/1742 | Improving the GMAW process through current control
[NO] 319/1742 | Geometry is Wavy: Curvature Wave Equations for Generic Affine Connections
[NO] 320/1742 | A Structure Preserving Finite Volume Scheme for the Navier-Stokes-Korteweg Equations
[NO] 321/1742 | Design and construction of a cryogenic subcooler-box for supplying single phase supercritical helium to dark matter and gravitational wave experiments
[NO] 322/1742 | AUV Trajectory Learning for Underwater Acoustic Energy Transfer and Age Minimization
[NO] 323/1742 | Disturbance observer-based tracking control for roll-to-roll slot die coating systems under gap and pump rate disturbances
[NO] 324/1742 | Excluding Hypothetical Light Boson Interpretation of Yb King Plot Nonlinearity with the ${}^1S_0 \leftrightarrow {}^3P_2$ Isotope Shift Measurement
[NO] 325/1742 | Decoding Order Matters in Autoregressive Speech Synthesis
[NO] 326/1742 | Multiobjective Model Predictive Control for Residential Demand Response Management Under Uncertainty
[NO] 327/1742 | Beyond Linearization: Attributed Table Graphs for Table Reasoning
[NO] 328/1742 | An Explicit Kaluza-Klein Reduction of Einstein's Gravity in $6D$ on $S^2$
[NO] 329/1742 | YaPO: Learnable Sparse Activation Steering Vectors for Domain Adaptation
[NO] 330/1742 | Protrusion Decompositions Revisited: Uniform Lossy Kernels for Reducing Treewidth and Linear Kernels for Hitting Disconnected Minors
[NO] 331/1742 | Taxon: Hierarchical Tax Code Prediction with Semantically Aligned LLM Expert Guidance
[NO] 332/1742 | Shadowing and the continuity of omega-limit sets
[NO] 333/1742 | The Chow Ring of the Hilbert Cube
[NO] 334/1742 | Optimal Discretization in Hour-Glass Molecular Clocks Driven by Oscillating Free Energy
[NO] 335/1742 | Square roots of complexified quaternions
[NO] 336/1742 | A dataflow programming framework for linear optical distributed quantum computing
[NO] 337/1742 | An Efficient Algorithm to Sample Quantum Low-Density Parity-Check Codes
[NO] 338/1742 | Training-Free Distribution Adaptation for Diffusion Models via Maximum Mean Discrepancy Guidance
[NO] 339/1742 | Measuring Nanoscale Torques with Cylindrical-Polarization-based Interferometric Scattering Microscopy
[NO] 340/1742 | A New Tool to Find Lightweight (And, Xor) Implementations of Quadratic Vectorial Boolean Functions up to Dimension 9
[NO] 341/1742 | Stratification for Nonlinear Semidefinite Programming
[NO] 342/1742 | Large earthquakes follow highly unequal ones
[NO] 343/1742 | Rank tests for time-varying covariance matrices observed under noise
[NO] 344/1742 | RotCurves: A PYTHON package for efficient modelling and fitting of galactic rotation curves at high-z
[NO] 345/1742 | MLPlatt: Simple Calibration Framework for Ranking Models
[NO] 346/1742 | When KV Cache Reuse Fails in Multi-Agent Systems: Cross-Candidate Interaction is Crucial for LLM Judges
[NO] 347/1742 | From Local Windows to Adaptive Candidates via Individualized Exploratory: Rethinking Attention for Image Super-Resolution
[NO] 348/1742 | Pursuing transparency: How research performing organizations in Germany collect data on publication costs
[NO] 349/1742 | Minimal Actuator Selection
[NO] 350/1742 | Adiabatic Lamb modes in 3D tapered waveguides: Cut-off effects and ZGV resonances
[NO] 351/1742 | On Robust Fixed-Time Stabilization of the Cauchy Problem in Hilbert Spaces
[NO] 352/1742 | APT-MCL: An Adaptive APT Detection System Based on Multi-View Collaborative Provenance Graph Learning
[NO] 353/1742 | Nodal-line-enhanced quantum geometric effects: anomalous and nonlinear Hall effects in the parity-mixed antiferromagnet NbMnP
[NO] 354/1742 | Deep Exploration of Epoch-wise Double Descent in Noisy Data: Signal Separation, Large Activation, and Benign Overfitting
[NO] 355/1742 | Bridging Elastic and Active Turbulence
[NO] 356/1742 | Efficient and broadband quantum frequency comb generation in a monolithic AlGaAs-on-insulator microresonator
[NO] 357/1742 | Correlations of the phase gradients of the light wave propagating in a turbulent medium in the regime of weak scintillations
[NO] 358/1742 | Data-Induced Groupings and How To Find Them
[NO] 359/1742 | Side-to-side Tiling of the Sphere by Congruent Curvilinear Triangles
[NO] 360/1742 | Incorporating Cognitive Biases into Reinforcement Learning for Financial Decision-Making
[NO] 361/1742 | FSAG: Enhancing Human-to-Dexterous-Hand Finger-Specific Affordance Grounding via Diffusion Models
[NO] 362/1742 | Temporal-Enhanced Interpretable Multi-Modal Prognosis and Risk Stratification Framework for Diabetic Retinopathy (TIMM-ProRS)
[NO] 363/1742 | Structural Dimension Reduction in Bayesian Networks
[NO] 364/1742 | GADPN: Graph Adaptive Denoising and Perturbation Networks via Singular Value Decomposition
[NO] 365/1742 | A Survey of Security Challenges and Solutions for UAS Traffic Management (UTM) and small Unmanned Aerial Systems (sUAS)
[NO] 366/1742 | Second-Generation Wavelet-inspired Tensor Product with Applications in Hyperspectral Imaging
[NO] 367/1742 | DNF: Dual-Layer Nested Fingerprinting for Large Language Model Intellectual Property Protection
[NO] 368/1742 | Ultraviolet Behavior of the Wheeler-DeWitt Equation in Horava-Lifshitz Gravity
[NO] 369/1742 | Adapting Rules of Official International Mahjong for Online Players
[NO] 370/1742 | Triplets Better Than Pairs: Towards Stable and Effective Self-Play Fine-Tuning for LLMs
[NO] 371/1742 | From Fixed to Flexible: Shaping AI Personality in Context-Sensitive Interaction
[NO] 372/1742 | Unified Multi-Site Multi-Sequence Brain MRI Harmonization Enriched by Biomedical Semantic Style
[NO] 373/1742 | Simulations for Augmented Reality Evaluation for Mass Casualty Incident Triage
[NO] 374/1742 | Autonomous Materials Exploration by Integrating Automated Phase Identification and AI-Assisted Human Reasoning
[NO] 375/1742 | Instruction-Driven 3D Facial Expression Generation and Transition
[NO] 376/1742 | The Impact of AI Generated Content on Decision Making for Topics Requiring Expertise
[NO] 377/1742 | VBO-MI: A Fully Gradient-Based Bayesian Optimization Framework Using Variational Mutual Information Estimation
[NO] 378/1742 | A Hardware-Algorithm Co-Designed Framework for HDR Imaging and Dehazing in Extreme Rocket Launch Environments
[NO] 379/1742 | Robust Subpixel Localization of Diagonal Markers in Large-Scale Navigation via Multi-Layer Screening and Adaptive Matching
[NO] 380/1742 | Enriching Semantic Profiles into Knowledge Graph for Recommender Systems Using Large Language Models
[NO] 381/1742 | Mechanisms are Transferable: Data-Efficient Low-Resource Adaptation via Circuit-Targeted Supervised Fine-Tuning
[NO] 382/1742 | Attention Projection Mixing and Exogenous Anchors
[NO] 383/1742 | Brownian motion of a rod threading through a ring with fixed ring-center
[NO] 384/1742 | Emergent Coordination in Multi-Agent Systems via Pressure Fields and Temporal Decay
[NO] 385/1742 | Structure Detection for Contextual Reinforcement Learning
[NO] 386/1742 | MirrorBench: An Extensible Framework to Evaluate User-Proxy Agents for Human-Likeness
[NO] 387/1742 | Spreading and absorption of silicone oil droplets on silicone elastomer films
[NO] 388/1742 | The Fractional Korn Inequality on Uniform Domains and New Korn Inequalities for Truncated Seminorms
[NO] 389/1742 | Older Adults' Preferences for Feedback Cadence from an Exercise Coach Robot
[NO] 390/1742 | An Optimal Observable Machine for reinterpretable measurements in high-energy physics
[NO] 391/1742 | Strong coupling expansion of $1\over 2$ BPS Wilson loop in SYM theory and 2-loop Green-Schwarz string in AdS$_5 \times $S$^5$
[NO] 392/1742 | Quantum Heegaard diagrams and knot Floer Homology
[NO] 393/1742 | Collapse of statistical equilibrium in large-scale hydroelastic turbulent waves
[NO] 394/1742 | Aggregating Diverse Cue Experts for AI-Generated Image Detection
[NO] 395/1742 | Bayesian umbrella quadrature accelerates free-energy calculations across diverse molecular systems and processes
[NO] 396/1742 | Single-Period Floquet Control of Bosonic Codes with Quantum Lattice Gates
[NO] 397/1742 | Uniqueness for embeddings of nuclear $C^*$-algebras into type II$_{1}$ factors
[NO] 398/1742 | Inferring Latent Intentions: Attributional Natural Language Inference in LLM Agents
[NO] 399/1742 | Dynamical stability by spin transfer in nearly isotropic magnets
[NO] 400/1742 | Model-Agnostic Solutions for Deep Reinforcement Learning in Non-Ergodic Contexts
[NO] 401/1742 | First direct electron temperature measurement in [O II] zone in I Zw 18
[NO] 402/1742 | Portfolio Optimization with 'Physical' Decision Variables and Non-Linear Performance Metrics: Diversification Challenge and Proposals
[NO] 403/1742 | Portable Single-Beam Atomic Total-Field Magnetometer for Stand-off Magnetic Sensing
[NO] 404/1742 | Real-Time Localization Framework for Autonomous Basketball Robots
[NO] 405/1742 | Evaluating the Ability of Explanations to Disambiguate Models in a Rashomon Set
[NO] 406/1742 | Novel Dynamical Systems with Finite-Time and Fixed-Time Stability for Generalized Inverse Mixed Variational Inequality Problems
[NO] 407/1742 | Broadband wide-view all-dielectric handedness-preserving mirror
[YES] 408/1742 | LLMs in Code Vulnerability Analysis: A Proof of Concept
[NO] 409/1742 | MEMEWEAVER: Inter-Meme Graph Reasoning for Sexism and Misogyny Detection
[NO] 410/1742 | PersonaDual: Balancing Personalization and Objectivity via Adaptive Reasoning
[NO] 411/1742 | Além do Desempenho: Um Estudo da Confiabilidade de Detectores de Deepfakes
[NO] 412/1742 | The Radial Spanning Tree is straight in all dimensions
[NO] 413/1742 | On theta function expressions of cyclic products of fermion correlation functions in genus two
[NO] 414/1742 | Tailored Immersive Environments: Advancing Neurodivergent Support Through Virtual Reality
[NO] 415/1742 | Percentile-based probabilistic optimization for systematic and random uncertainties in radiation therapy
[NO] 416/1742 | Robust low-rank estimation with multiple binary responses using pairwise AUC loss
[NO] 417/1742 | Parameterized families of 2+1d $G$-cluster states
[NO] 418/1742 | Accelerated Methods with Complexity Separation Under Data Similarity for Federated Learning Problems
[NO] 419/1742 | Permutation Inference under Multi-way Clustering and Missing Data
[NO] 420/1742 | The signless Laplacian spectral Turán problems for hypergraphs
[NO] 421/1742 | Differentiating through Stochastic Differential Equations: A Primer
[NO] 422/1742 | Deformation and perturbative rigidity near de la Llave examples
[NO] 423/1742 | Graded Betti numbers of the Jacobian algebra and total Tjurina numbers of plane curves
[NO] 424/1742 | Entanglement-swapping measurements for deterministic entanglement distribution
[NO] 425/1742 | Phase-sensitive superposition of quantum states
[NO] 426/1742 | Information-Thermodynamic Analysis of the DNA--RNA Polymerase Complex via Interface Dissipation: large Based on Observer--Observed Swap Symmetry
[NO] 427/1742 | Dynamic representation of the Weyl solution for the Schrödinger operator on the semi-axis
[NO] 428/1742 | Rational degree is polynomially related to degree
[NO] 429/1742 | Designing topological edge states in bacterial active matter
[NO] 430/1742 | Integral points over number fields: a Clemens complex jigsaw puzzle
[NO] 431/1742 | A whole-brain model of amyloid beta accumulation and cerebral hypoperfusion in Alzheimer's disease
[NO] 432/1742 | Asymptotically good CSS codes that realize the logical transversal Clifford group fault-tolerantly
[NO] 433/1742 | In the Search for Good Neck Cuts
[NO] 434/1742 | On the Interstellar Extinction Curve toward HD 93222, A Sightline with an Exceedingly Narrow 2175 Angstrom Extinction Bump
[NO] 435/1742 | On the parameterized complexity of the Maker-Breaker domination game
[NO] 436/1742 | WaterCopilot: An AI-Driven Virtual Assistant for Water Management
[NO] 437/1742 | A note on condition numbers for generalized inverse C^‡_A and their statistical estimation
[NO] 438/1742 | Convergence of gradient flow for learning convolutional neural networks
[NO] 439/1742 | Note on the Splitting Property in Strongly Dense Posets of Size $\aleph_0$
[NO] 440/1742 | Systemic Risk in DeFi: A Network-Based Fragility Analysis of TVL Dynamics
[NO] 441/1742 | Beta-coalescents when sample size is large
[NO] 442/1742 | SVFusion: A CPU-GPU Co-Processing Architecture for Large-Scale Real-Time Vector Search
[NO] 443/1742 | Degree bounds for linear differential equations and recurrences
[NO] 444/1742 | Thermal-timescale accretion does not always yield critical rotation in mass gainers
[NO] 445/1742 | On the estimation of Sulfuric Acid Vapor concentrations below the Venus cloud deck using the Akatsuki Radio Science Experiment
[NO] 446/1742 | EfficientFSL: Enhancing Few-Shot Classification via Query-Only Tuning in Vision Transformers
[NO] 447/1742 | Quantitative Analysis of Proxy Tasks for Anomalous Sound Detection
[NO] 448/1742 | A note on the omega-chaos
[NO] 449/1742 | Operators of Hilbert type acting on some spaces of analytic functions
[NO] 450/1742 | High-Power Single-Frequency Fiber Amplifiers
[NO] 451/1742 | MinGLE: A Minimalist, Configurable, and Pedagogical Geant4 Application Template
[NO] 452/1742 | A Formal Proof of a Continued Fraction Conjecture for $π$ Originating from the Ramanujan Machine
[NO] 453/1742 | Modality-Decoupled RGB-Thermal Object Detector via Query Fusion
[NO] 454/1742 | On the Maximum Toroidal Distance Code for Lattice-Based Public-Key Cryptography
[NO] 455/1742 | Divide and Conquer: Static-Dynamic Collaboration for Few-Shot Class-Incremental Learning
[NO] 456/1742 | Deep Learning Based Facial Retargeting Using Local Patches
[YES] 457/1742 | Silence the Judge: Reinforcement Learning with Self-Verifier via Latent Geometric Clustering
[NO] 458/1742 | Two-Product Make-to-Stock System: Strategic Joining and Optimal Inventory Levels
[NO] 459/1742 | Lower Bounds for Dominating Set in Ball Graphs and for Weighted Dominating Set in Unit-Ball Graphs
[NO] 460/1742 | On simple groups definable in some valued fields
[NO] 461/1742 | Fractional-Monolayer 2D-GaN/AlN Structures: Growth Kinetics and UVC-emitter Applications
[NO] 462/1742 | Edge-Optimized Multimodal Learning for UAV Video Understanding via BLIP-2
[NO] 463/1742 | Near-axis quasi-isodynamic database
[NO] 464/1742 | Polychromatic pyramid wavefront sensor with MKID technology for high contrast imaging
[NO] 465/1742 | Design and Development of a Low-Cost Scalable GSM-IoT Smart Pet Feeder with a Remote Mobile Application
[NO] 466/1742 | Creativity in AI as Emergence from Domain-Limited Generative Models
[NO] 467/1742 | On the Generalization Error of Differentially Private Algorithms Via Typicality
[NO] 468/1742 | ChemXDyn: Dynamics-informed species and reaction detection methodology from atomistic simulations
[NO] 469/1742 | Deconstructing Pre-training: Knowledge Attribution Analysis in MoE and Dense Models
[NO] 470/1742 | Unavoidable Canonical Nonlinearity Induced by Gaussian Measures Discretization
[NO] 471/1742 | Data-Driven Time-Limited h2 Optimal Model Reduction for Linear Discrete-Time Systems
[NO] 472/1742 | Symmetric Dyck paths and q-Narayana numbers
[NO] 473/1742 | Semantic Misalignment in Vision-Language Models under Perceptual Degradation
[NO] 474/1742 | Evaluating the effectiveness of radio frequency interference removal algorithms for single pulse searches
[NO] 475/1742 | A parsimonious tail compliant multiscale statistical model for aggregated rainfall
[NO] 476/1742 | Eigenstate thermalization in thermal first-order phase transitions
[NO] 477/1742 | Not so Swift: 20 years of multiwavelength observations of Mrk 421 and Mrk 501
[NO] 478/1742 | Semantic Laundering in AI Agent Architectures: Why Tool Boundaries Do Not Confer Epistemic Warrant
[NO] 479/1742 | Critical quantum states and hierarchical spectral statistics in a Cantor potential
[NO] 480/1742 | 3AM: Segment Anything with Geometric Consistency in Videos
[NO] 481/1742 | The drastic impact of Eddington-limit induced mass ejections on massive star populations
[NO] 482/1742 | Differential observables for the Higgs-strahlung process to all orders in EFT
[NO] 483/1742 | Decoding the Amplitude Pair with Distinct CPV Phases in Charmed Baryon Decays
[NO] 484/1742 | User-Oriented Multi-Turn Dialogue Generation with Tool Use at scale
[NO] 485/1742 | The Secret Lives of Open Clusters: a Multiwavelength Examination of Three Open Clusters
[NO] 486/1742 | Multi-Task Fine-Tuning Enables Robust Out-of-Distribution Generalization in Atomistic Models
[NO] 487/1742 | Optimal logical Bell measurements on stabilizer codes with linear optics
[NO] 488/1742 | Commercial Accelerometers for Vibration Sensing at mK Temperatures in Dry Dilution Refrigerators
[NO] 489/1742 | Unstable synthetic deformations I: Malcev theories
[NO] 490/1742 | MixServe: An Automatic Distributed Serving System for MoE Models with Hybrid Parallelism Based on Fused Communication Algorithm
[NO] 491/1742 | DentalX: Context-Aware Dental Disease Detection with Radiographs
[NO] 492/1742 | A survey on sampling recovery
[NO] 493/1742 | Pervasive Annotation Errors Break Text-to-SQL Benchmarks and Leaderboards
[NO] 494/1742 | Enhancing classical simulation with noisy quantum devices
[NO] 495/1742 | Cycles with almost linearly many chords
[NO] 496/1742 | AI as Entertainment
[NO] 497/1742 | Adaptive Requesting in Decentralized Edge Networks via Non-Stationary Bandits
[NO] 498/1742 | Evolving spatiotemporal patterns and urban scaling of deaths from external causes
[NO] 499/1742 | Cyclic- and helical-symmetry-adapted phonon formalism within density functional perturbation theory
[NO] 500/1742 | TableCache: Primary Foreign Key Guided KV Cache Precomputation for Low Latency Text-to-SQL
[YES] 501/1742 | TerraFormer: Automated Infrastructure-as-Code with LLMs Fine-Tuned via Policy-Guided Verifier Feedback
[NO] 502/1742 | Gamma Hedging without Rough Paths
[NO] 503/1742 | Salience-SGG: Enhancing Unbiased Scene Graph Generation with Iterative Salience Estimation
[NO] 504/1742 | Kernel Learning for Regression via Quantum Annealing Based Spectral Sampling
[NO] 505/1742 | Semiparametric Efficient Data Integration Using the Dual-Frame Sampling Framework
[YES] 506/1742 | RAGShaper: Eliciting Sophisticated Agentic RAG Skills via Automated Data Synthesis
[NO] 507/1742 | Double Strike: Breaking Approximation-Based Side-Channel Countermeasures for DNNs
[NO] 508/1742 | Enabling Population-Based Architectures for Neural Combinatorial Optimization
[NO] 509/1742 | Stable Filtering for Efficient Dimensionality Reduction of Streaming Manifold Data
[NO] 510/1742 | A method for converting high energy physics detector description into a Unity visualization
[YES] 511/1742 | Parallel Context-of-Experts Decoding for Retrieval Augmented Generation
[NO] 512/1742 | Rota-Baxter operators of nilpotent evolution algebras with maximal nilindex
[NO] 513/1742 | Blind Deconvolution in Astronomy: How Does a Standalone U-Net Perform?
[NO] 514/1742 | From Classical to Quantum Reinforcement Learning and Its Applications in Quantum Control: A Beginner's Tutorial
[NO] 515/1742 | Prism: Towards Lowering User Cognitive Load in LLMs via Complex Intent Understanding
[NO] 516/1742 | A selection principle for 2D steady Euler flows via the vanishing viscosity limit
[NO] 517/1742 | A Parallel Cross-Lingual Benchmark for Multimodal Idiomaticity Understanding
[NO] 518/1742 | MUSE-ALMA Haloes XIII. Molecular gas in $z \sim 0.5$ HI-selected galaxies
[NO] 519/1742 | Generalized cluster states in 2+1d: non-invertible symmetries, interfaces, and parameterized families
[NO] 520/1742 | On the $\mathfrak{M}_H(G)$-property for Selmer groups at supersingular reduction
[NO] 521/1742 | Coverage-Guided Road Selection and Prioritization for Efficient Testing in Autonomous Driving Systems
[NO] 522/1742 | SfMamba: Efficient Source-Free Domain Adaptation via Selective Scan Modeling
[NO] 523/1742 | Open quantum spin chains with non-reciprocity: a theoretical approach based on the time-dependent generalized Gibbs ensemble
[NO] 524/1742 | Estimating the True Distribution of Data Collected with Randomized Response
[NO] 525/1742 | Application of the theory of C*-algebras to the emergence of hydrodynamics in quantum many-body systems
[NO] 526/1742 | Sparsifying transform priors in Gaussian graphical models
[NO] 527/1742 | End-to-End Video Character Replacement without Structural Guidance
[NO] 528/1742 | $L^p$-Convergence of Fourier-Heckman-Opdam Expansions
[NO] 529/1742 | On Globalization Problem of Multi-Hamiltonian Formalisms
[NO] 530/1742 | Non-local singular perturbations of non-convex functionals -- recent results
[NO] 531/1742 | From Lyotropic to Thermotropic Behavior: Solvent-Free Liquid Crystalline Phases in Polymer-Surfactant-Conjugated Rod-shaped Colloidal Viruses
[NO] 532/1742 | Study of $CP$ violation in $Λ_b^0/Ξ^-_b\rightarrow Λ(1520)M$ decays with the final-state rescattering mechanism
[NO] 533/1742 | Meta-Backscatter: Long-Distance Battery-Free Metamaterial-Backscatter Sensing and Communication
[NO] 534/1742 | Ultra-low-frequency reflection mode conversion from compressional to shear waves enabled by periodic inclined slits
[NO] 535/1742 | A multi-mesh adaptive finite element method for solving the Gross-Pitaevskii equation
[NO] 536/1742 | Through the bottle authentication of red wine using near-IR fluorescence spectroscopy
[NO] 537/1742 | A norm equivalence result for stochastic differential equations with locally Lipschitz coefficients
[NO] 538/1742 | AgriLens: Semantic Retrieval in Agricultural Texts Using Topic Modeling and Language Models
