[2026-09-22 13:49:27] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[NO] 168/200 | Design of an Additively Manufactured Hollow Conductor Permanent Magnet Synchronous Motor for Hydrogen Aviation Thermal Management Interfaces
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 169/200 | A Study on the Phenomenon of Abnormal Load Concentration and its Cross-System Transmission Characteristics in High-Density Building Operations
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 170/200 | From Reactive to Proactive: GRU-Based Dynamic Link Cost Prediction for QoS-Aware SDN Routing
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 171/200 | Research on Grape Leaf Disease Detection Method Based on Improved YOLO11n
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 172/200 | Proceedings of the 2026 2nd International Conference on Smart Agriculture and Artificial Intelligence
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 173/200 | ANSI/IEEE Standard - Switchgear Assemblies - Including Metal Enclosed Bus
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 174/200 | Numerical Simulation and Analysis of Forced-air Cooling Process of Iceberg Lettuce under Different Air Supply Velocity
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 175/200 | Design and Implementation of a Precision Nutritional Regulation Platform for Sheep Based on Microservice Architecture
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 176/200 | Copyright Page
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 177/200 | To Migrate or Not to Migrate: KOxI, an Evidence-Gated Pipeline for Rust-for-Linux Storage Drivers
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 178/200 | Research on Prediction of Pipeline Residual Strength Based on GWO-BPNN
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 179/200 | QRBL-FS: Quality-Controlled Rank-Aggregated Budgeted-L1 Feature Selection for Multimodal Virtual-Reality Autism Screening
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 180/200 | Edge-to-Cloud Infrastructure Continuum: A Unified Framework for Optimizing Industrial IoT Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 181/200 | Development of Low-Duty-Cycle Pulsed Load Power Supply
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 182/200 | AUC-WMNet: An Uncertainty-Aware Agentic World-Model Framework for Mobile Edge AIGC Service Orchestration
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 183/200 | Knowledge Graph-Enhanced Causal Reasoning and RAG for PLC Control System Fault Diagnosis
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 184/200 | Coordinated AC Fault Ride-Through Strategy for Hybrid MMC-HVDC System
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 185/200 | Appearance Defect Detection of Building Electrical Components Based on Improved YOLO
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 186/200 | Effect of core diameter on the magnetic attraction characteristics of a disk-type electromagnet
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 187/200 | Comparative analysis of Machine Learning Models for Phase Imbalance Prediction in Rooftop Solar PV Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 188/200 | Filing-Order-Constrained Semantic Exposure in Japanese Annual Securities Reports
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 189/200 | Multi-Strategy Optimization Research for Instance Segmentation Based on YOLO11
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 190/200 | Regime-Conditioned Directional Prediction of the S&amp;P 500 Index Using Dealer Greek Exposure
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 191/200 | STER-A+: Trust and Energy-Aware Routing for LEO CubeSat Delay-Tolerant Networks
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 192/200 | A Swarm-Intelligence Framework for Constrained Multi-Objective Engineering Trajectory Design
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 193/200 | Copyright
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 194/200 | Sensorless Control of PMSM Based on Improved SNTSM Observer
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 195/200 | A CNN-LSTM Approach to Credit Scoring: Performance Evaluation with Implications for Explainability and Fairness
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 196/200 | Performance Evaluation of PCM/FM, QPSK and OQPSK under High Dynamic Doppler Conditions for Telemetry Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 197/200 | A Comparative Study of the Sine Cosine Algorithm and an Enhanced Sine Cosine Algorithm for Test Redundancy Reduction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 198/200 | Linking Feature Attribution and Counterfactual Explanations for Crop Recommendation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 199/200 | Temporal Context-Aware Top-k Frame Recalibration for Diabetic Retinopathy Grading Based on Fundus Fluorescein Angiography Images
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 200/200 | Industrial Equipment Monitoring System
筛选完成：共 200 篇；Yes = 0 篇；已保存到 papers/select_paper2026-09-21.json。
邮件发送成功！
[2026-09-22 13:54:53] 任务执行成功！
