[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[NO] 21/1000 | Nonlinear Model Predictive Control of a Hybrid Thermal Management System
[NO] 22/1000 | DNN Partitioning for Cooperative Inference in Edge Intelligence: Modeling, Solutions, Toolchains
[NO] 23/1000 | Machine learning techniques are compared to evaluate their prediction performance for the length of stay (LOS) in patients undergoing appendicitis surgery
[NO] 24/1000 | Design, Implementation, and Evaluation of a Serious Game for Children with Juvenile Idiopathic Arthritis
[NO] 25/1000 | Characteristic Modes of Quantum Light for Applications in Quantum Metrology
[YES] 26/1000 | Llm4mcu-Onto: Leveraging Llms for Automated Ontology Generation From Microcontroller Reference Manual
[NO] 27/1000 | Obstacles in Promoting Female Principals in Public Primary Schools to Leadership Positions and the Benefits of ICT in Education Management
[NO] 28/1000 | A 33-GW Pilgrimage to the Promised Land of Agent Workforce
[YES] 29/1000 | NaviMap: Partial Order-Guided Neural Architecture via Deep Q-Networks for Efficient CGRA Mapping
[NO] 30/1000 | MLOps for Advanced Metering Infrastructure Applications
[NO] 31/1000 | Embedded Real-Time Robotic Perception for Lightweight High-Resolution Weed Detection
[NO] 32/1000 | Deep Convolutional Neural Network Architectures for Detecting Fake Images
[NO] 33/1000 | New Methods to Reduce Errors in Precision Polarimetry
[NO] 34/1000 | Multimodal Dataset Development for Renewable Energy Hoax Detection
[NO] 35/1000 | Access Frequency-Aware Storage Reduction for Deep Learning Recommendation Model
[YES] 36/1000 | AI-Powered Comprehensive Code Quality Analyzer Tool
[NO] 37/1000 | A Behavioral Dynamic Nonlinear Model of ADC via Autoencoder and Fully Connected Neural Network
[NO] 38/1000 | Mechanism of Driver Emotion Impact on Driving Risk
[NO] 39/1000 | CogniDrive: A HAAR-Cascade Approach for Smart Driver Monitoring and Safety
[NO] 40/1000 | A Coordinated Perception Control Simulation Framework Based on Online Evolutive Learning
[NO] 41/1000 | Prioritisation of Smart Energy Services Integrating Novel Technologies: A Hybrid DEMATEL - Fuzzy VIKOR Approach
[YES] 42/1000 | A Multi-Agent AI Framework for Agile Workflow Automation, Issue Resolution, and Developer Performance Evaluation
[NO] 43/1000 | U2GAN: Mask-Weighted Cycle Consistency for Semantic-Preserving Pet Cartoonization
[NO] 44/1000 | Robust Intelligent Control Strategy Based on Fusion of Fuzzy Logic and Evolutionary Generative Optimization
[NO] 45/1000 | Consideration of Grid Interruptions in Day-ahead Planning of a Small PV Battery System
[NO] 46/1000 | Lightweight Neural Network for Real-Time Brain Tumour Identification on Low-Resource Medical Devices
[NO] 47/1000 | Design and Implementation of Low Power Pop Tracker Circuit
[NO] 48/1000 | Traveling Wave Propagation Characteristics Analysis And Fault Diagnosis of High Impedance Ground Faults in Traction Networks
[NO] 49/1000 | Problematic Video Gaming During the Covid-19 Pandemic: A Case Study of Greece
[NO] 50/1000 | A Wideband Proposal for SKA-Mid Band 345 Feed Package
[NO] 51/1000 | MAGE Simulations of Thermosphere and Ionosphere Responses to Subauroral Polarization Streams (SAPS)
[NO] 52/1000 | Research on Mitigation of Mobile Communication Interference at Radio Astronomy Observatories
[NO] 53/1000 | Discharge Control Strategy of FESS based on Improved Linear Active Disturbance Rejection
[NO] 54/1000 | Safe Reinforcement Learning Control of High-Speed Maglev Train Levitation System Considering Aerodynamic Lift Force
[YES] 55/1000 | AI-Enhanced Management of Standard Operating Procedures: An Innovative Approach Integrating Large Language Models and Knowledge Graphs
[NO] 56/1000 | A Multimodal AI System for Personalized Capsule Wardrobe Generation using Cultural, Climatic and Situational Contexts
[NO] 57/1000 | Space-Based Solar Power: Optimal Integration of Orbiting Solar Reflectors in Power Grids for Economic and Environmental Benefits
[NO] 58/1000 | Smart Cow Health Prediction Using IoT, CNN, and LSTM
[YES] 59/1000 | MALLS: Multi-Agent LLMs for Synthetic Hardware Vulnerability Generation and Detection
[NO] 60/1000 | Data-Driven Line Parameter Estimation for Unknown Customer Order considering Customer Connection Lines
[NO] 61/1000 | ATPG-Based Weighted Scan Chain Control for Programmable Low-Power LBIST
[NO] 62/1000 | Brain Tumor Classification with CNN and K-Means Segmentation
[NO] 63/1000 | Design and Optimization of a Bufferless On-Chip Network Architecture Based on Physically-Isolated Bidirectional Rings
[NO] 64/1000 | Design Challenges and Optimization Strategies for High-Speed Connector Test Fixtures
[NO] 65/1000 | FlexPhys: A Workshop Cookbook for Operationalizing Data Physicalization Research Questions
[NO] 66/1000 | A Novel Real-Time Dynamic DEA Approach for Decision Support Under Uncertain and Evolving Operational Conditions
[NO] 67/1000 | Sensitivity Analysis of a 300 MHz Twisted Pair RF Coil for Capturing Conductivity Changes in a Dynamic Anthropomorphic Head Phantom
[NO] 68/1000 | Dynamic Impact Assessment of Large-Scale Network Systems Based on Graph Convolutional Networks
[NO] 69/1000 | A Cost-Effective NFC-Based Tap-and-Pay Payment System
[NO] 70/1000 | Action Key Frame Compression and Accurate Decoding Algorithm Based on Complex Domain Residual Network and Number Theory Spectral Analysis
[NO] 71/1000 | A Technological Review of Digital Twin-based Co-Simulation Framework for Back Support Exoskeletons in Precision Agriculture
[NO] 72/1000 | Automatic Morphology Landmark Detection in Marine Biotas: A Systematic Literature Review
[NO] 73/1000 | Application Progress of Deep Learning Dynamic Pruning and Model Compression Techniques in Medical Image Analysis
[NO] 74/1000 | Group Identification of Electric Vehicle Users for Stimulating District-Scale Photovoltaic Surplus Power Utilization
[NO] 75/1000 | Stacking Ensemble Learning for High-Accuracy Classification and Analysis of Darknet Traffic using the CIC-Darknet2020 Dataset
[NO] 76/1000 | Research on Transformer Fault Diagnosis Method Based on Feature Optimization and SOA-BP Neural Network
[NO] 77/1000 | Enhanced Hybrid Clustering and BAT-Optimized Deep U-Net for Next-Generation E-Commerce Product Recommendation
[NO] 78/1000 | Optimal Scheduling of Battery Energy Storage Systems for Minimizing Voltage Violations and Line Congestion in a Distribution Network
[NO] 79/1000 | A Unified Hierarchical Digital Twin Platform for Synergistic Management of Low-voltage Electrical Network Components
[NO] 80/1000 | Carbon-Aware Computing: Redesigning Algorithms for a Greener Future
[NO] 81/1000 | The Lower Ionospheric Response to the Great American Solar Eclipse (April 8, 2024) from Observation by the VLF Receivers Network Deployed Across the Totality Path
[NO] 82/1000 | Traffic-Electricity Network Coupled Model for Optimal Scheduling of Electric Vehicles under High Penetration of Renewable Energy
[NO] 83/1000 | A Meta-Learning Framework for Short-Term Wind Power Forecasting with SCADA and Weather Data
[NO] 84/1000 | Optimization and Characteristic Analysis of Double Stator Magnetic Field Modulation Motor with Auxiliary Teeth and Split Teeth
[NO] 85/1000 | Design and Analysis of Low Power TSPC-based Serialiser and Deserialiser for On-Chip SerDes Transceivers
[NO] 86/1000 | Healthcare Security using Federated Learning and Explainable AI with Secure Aggregation
[NO] 87/1000 | MS-SegFormer: A Lightweight Road Image Segmentation Method Based on Improved SegFormer
[NO] 88/1000 | Optimal Virtual Power Plant Investment Planning via Time Series Aggregation with Bounded Error
[NO] 89/1000 | A Transient Stability Analysis Method for Grid-Following and Grid-Forming Hybrid Systems
[NO] 90/1000 | Adaptive Attention and Ensemble Learning in the Multi-Stage Classification of Alzheimer's Disease
[NO] 91/1000 | Design and Construction of a 200km/h DWPT System Circular Experimental Platform
[NO] 92/1000 | Research on Autonomous Line Patrol and Obstacle Avoidance of Robot Dogs Based on Multimodal Perception and Collaborative Grasping System of Robot Arm
[NO] 93/1000 | Few-shot Learning Diagnosis Method with Semantic of Composite Faults in RF Circuits
[NO] 94/1000 | Accelerating the take-up of LEVs in emerging markets. Findings from Southeast Asia
[NO] 95/1000 | Robust Monte Carlo Framework for Optimizing EV Fleet Maintenance: Balancing Stochastic Degradation and Lifecycle Cost
[NO] 96/1000 | Robust H
                    <sub>∞</sub>
                    Control of PMSG-based Wind Energy System Based on a Dual-purpose Kalman Filter
[NO] 97/1000 | A Comprehensive Data Model for Resilience Assessment in Industrial Production Systems
[NO] 98/1000 | A Semi-Analytical Multi-Objective Optimization of Outer-Rotor PM Machines for eVTOL Propulsion Systems
[NO] 99/1000 | A Comparative Study of SMOTE Preprocessing for Fraud Prediction in Mobile Banking Transactions
[NO] 100/1000 | MC-INR: Efficient Encoding of Multivariate Scientific Simulation Data using Meta-Learning and Clustered Implicit Neural Representations
[NO] 101/1000 | New Order Type and Benefit Compensation Model for Utilizing Energy Storage in European Day-Ahead Electricity Markets
[NO] 102/1000 | Crime Data Prediction using Machine Learning
[NO] 103/1000 | EMCA-CASNet: Integrating Multi-Scale Convolution and Attention for Multi-View 3D Perception
[NO] 104/1000 | Adaptive Inverter Frequency Support in Low-Inertia Grids with Varying Synchronous Generation Units
[NO] 105/1000 | An Amplitude-phase Consistency Test Method Based on apFFT and its Logic Implementation
[NO] 106/1000 | Calibration of simple transient electric field probe and circuit-based waveform reconstruction
[NO] 107/1000 | CLSHA-YOLOV8: YOLOV8 Based on Cross-Layer Single-Head Attention for Object Detection in UAV Images
[NO] 108/1000 | New Services Based on Remote Sensing for Improving Event Prediction and Resilience Enhancement of Critical Infrastructures
[NO] 109/1000 | TDI: A Trust-Based Distributed Incentive Scheme to Promote Information Propagation
[NO] 110/1000 | Quantifying the Impact of TLE Ageing on LEO IoT Link Reliability
[NO] 111/1000 | Learnable Temporal Sparse Memory iTransformer: Revisiting Sparsity and Memory in Transformers
[NO] 112/1000 | Conformalized Generative Bayesian Imaging: An Uncertainty Quantification Framework for Computational Imaging
[NO] 113/1000 | Message from the General Chair
[NO] 114/1000 | Quadrature System Fault-Tolerant Control Based on Dual Phase-Shifting of Current and BEMF for Position Sensorless PMSM Drives With Single-Phase Current Sensor
[NO] 115/1000 | RASSE 2025 Cover Page
[NO] 116/1000 | Integrated Minimum Mean Squared Error Algorithms for Combined Acoustic Echo Cancellation and Noise Reduction_supp1-3648802.pdf
[NO] 117/1000 | ISPCE-ASIA 2025 Cover Page
[NO] 118/1000 | Distributionally Robust Coordinated Road-Waterway Hydrogen Transport for Low-Carbon Energy Supply in Smart Cities
[NO] 119/1000 | ICOSST 2025 Author Index
[NO] 120/1000 | Deep Learning Approaches for Multi-Label Classification of Ophthalmic Diseases: A Systematic Review and Future Directions using Retinal Images
[NO] 121/1000 | AC-GAN-Based Efficient Image Transmission in the Noisy Channel
[NO] 122/1000 | Compact Dual-Cavity Horn Antenna for Ku-Band SatCom Systems
[NO] 123/1000 | Predicting EV Charging Station Load by Applying LSTM Techniques
[NO] 124/1000 | A Calderon Preconditioner for Large Ground Planes with Arbitrary Contours
[NO] 125/1000 | CyberHealth Blockchain-Enabled AI System for Securing and Sharing Patient Records in Multi-Hospital Environments
[NO] 126/1000 | Tool Life Prediction Method Based on TCN-Informer
[NO] 127/1000 | Towards Robust NILM: A Unified Seq2Point Benchmarking Framework with Balanced Model
[NO] 128/1000 | Design and Evaluation of Polarization Switching Reflective Electromagnetic Surfaces Across Microwave to Terahertz Bands
[NO] 129/1000 | Optimization of Mobile Energy Storage Vehicle Dispatch Based on EV Charging Load Prediction
[NO] 130/1000 | Scenario-Based Threshold Control of Energy Storage Systems for Peak Shaving
[NO] 131/1000 | Building AI-Ready DevOps Platforms: Operationalizing SageMaker and Bedrock in a Multi-Tenant Cloud
[NO] 132/1000 | Water Contamination Detection with Machine Learning and WSN
[NO] 133/1000 | Influence of the Operating Point Determination of Power Flow-Controlling Devices on Congestion Management
[NO] 134/1000 | Uncertainty Analysis of Relative Intrinsic Error for Non-invasive Tube Voltage Meter in Mammography Diagnosis
[NO] 135/1000 | Research on Physical Simulation Method for Broadband Impedance of Power Cables Based on LC Cascaded Circuit
[NO] 136/1000 | Benchmarking Neural Training Approaches for DCOPF: Supervised, Hybrid Physics-Informed, and Unsupervised Physics-Informed
[NO] 137/1000 | Explainable AI in Healthcare: A Systematic Review of Methods for Interpretable Machine Learning
[NO] 138/1000 | A Rule-based Algorithm for Cost Benefit Analysis of Household Photovoltaic Plant with Battery Energy Storage System
[NO] 139/1000 | Judgment as Coordination: A Joint Systems View of Visualization Design Practice
[NO] 140/1000 | Feature Engineering and Gradient Boosting for Fine-Grained Power Forecasting in Smart Cities
[NO] 141/1000 | Preservation of the Mechanical Properties of Multimodal Tissue-Mimicking Phantoms
[NO] 142/1000 | A Novel Detection Method of Rail Insulation Defects based on FFC-Swin-Transformer
[NO] 143/1000 | Decentralized Orchestration Framework for Distributed AI Deployments across Fluid Computing Environments
[NO] 144/1000 | TLV-HGNN: Thinking Like a Vertex for Memory-Efficient HGNN Inference
[NO] 145/1000 | Enhancing Acoustic Data Analysis with the Burg Method: Results and Implications
[NO] 146/1000 | Liver Tumor Classification in CT Images Using Prognostic Assimilate Learning Classifier (PALC)
[NO] 147/1000 | CSFS: Enhancing Industrial Threat Detection Performance with Covariate Shift Adaptation and Shap-Powered Feature Selection
[NO] 148/1000 | A Preliminary Study for a Compensated Large Spherical Reflector Antenna Using Sub-Reflectarrays
[NO] 149/1000 | GPU Side-Channel Attack Resilience: NIST 2.0 Risk Management and Governance Strategies Assessment
[NO] 150/1000 | Comparative Evaluation of Random Forest and KNN on Privacy Preserving Synthetic Medical Data Generated By CTGAN
[NO] 151/1000 | A Broadband Miniature TEM Cell for IC EMC Measurement over 8 GHz
[NO] 152/1000 | Knowledge-Data Dual-Guidance and Progressive Transfer: A Novel Method for Cross-Condition Fault Diagnosis of Diesel Engines
[NO] 153/1000 | Deep Learning-Based Classification Framework for Detection of Insomia Sleep Disorder
[NO] 154/1000 | Field Study of Network Impedance in the Range from 2 kHz to 9 kHz in Japan
[NO] 155/1000 | A Typology of Data Concepts and Contexts in Clinician-Patient Communication
[NO] 156/1000 | Speak to Write Assistive Device for People with Writing Disability
[NO] 157/1000 | Impact of storage systems participating in energy markets on distribution grids
[NO] 158/1000 | Interface for Operating a Parts Inspection Machine in the Automotive Industry
[NO] 159/1000 | Energy Planning the Efficient Way: A Multi-Criteria Tool Supporting EE1st-Compliant Regional Energy Planning
[NO] 160/1000 | Dynamic Matrix Headlight Illumination Strategy for Robust Object Detection in Automated Vehicles
[NO] 161/1000 | Advantages and FDTD Integration of Focused Beams for RCS Computations
[NO] 162/1000 | A Novel Approach for Facial Emotion Recognition: Deep CNN Feature Extraction Combined with ML Models
[NO] 163/1000 | Drone-based Agricultural Weed Detection and Growth Monitoring
[NO] 164/1000 | Modeling the Evolution of Plasma-Fragments Clouds from Hypervelocity Impacts for Remote Characterization of Small Space Debris
[NO] 165/1000 | Lightweight Deep Learning Framework for Energy-Efficient Intrusion Detection in Edge Computing Environments
[NO] 166/1000 | Early Stage Skin cancer Diagnosis with RBFNs: A Feature – based Segmentation and Classification using Deep Learning
[YES] 167/1000 | The Missing S: Securing the Model Context Protocol
[NO] 168/1000 | Attention-Enhanced DQN Scheduling for Multi-Link Devices in Synchronous N-STR Wi-Fi 7 Networks
[NO] 169/1000 | Optimization of the High-Speed Train Grounding System Under Lightning Strike Conditions
[NO] 170/1000 | Can Experiencing AI-Driven Service Bolster Trust and Engagement in E-Commerce
[YES] 171/1000 | Policy-Aware Generative AI for Safe, Auditable Data Access Governance
[NO] 172/1000 | Investigation of the Impact of Constant Magnetic Field on Fixed Balise
[NO] 173/1000 | Design and Analysis of MEMS Micro-electromagnetic Actuator Based on Genetic Algorithm
[NO] 174/1000 | A Web-Based Food Ordering Platform- Quickbites using MERN Stack
[NO] 175/1000 | Antenna Simulation Verification for Low-Frequency Radio Astronomy
[NO] 176/1000 | Reconfigurable Origami Nonlocal Scatterer for Analog Computing
[NO] 177/1000 | Interoperability of Grid-Forming Inverters in Microgrids During Faults
[NO] 178/1000 | Fault Ride-Through Control Strategies for 100% Converter-Based Power Systems in the Presence of Constant PQ Loads
[NO] 179/1000 | Green AI: A Dynamic Framework for Energy-Efficient Inference on Kubernetes
[NO] 180/1000 | A Real-Time System for Drowsy and Drunk Driver Detection
[NO] 181/1000 | Twinax Cables at 448 Gb/s: Challenges and Solutions
[YES] 182/1000 | AI Driven Self Healing Software Architectures for Automated Code Diagnostics and Repair
[NO] 183/1000 | Common Tropical Diseases Prediction by Using Machine Learning
[NO] 184/1000 | Inverse Problems and Qualitative Theory of Three-Dimensional Polynomial Dynamical Systems
[NO] 185/1000 | Quantum Convolutional Neural Network for Coffee Plant Disease Diagnosis
[NO] 186/1000 | Distributed Optimization Approaches for Coordinated T&amp;D Generation Expansion Planning
[NO] 187/1000 | A Wideband S-Domain Algorithm for Microwave Imaging Within Resonant Chambers Using Dispersive Eigenfunction Expansions
[NO] 188/1000 | Noise Tolerance of Scatterer Information Estimation Method Using the Numerical Data of Backward Transient Scattering Waves
[NO] 189/1000 | Research on Distributed Communication Algorithm Optimization of Urban Rail Transit CBTC System Simulation Test Platform
[NO] 190/1000 | Sediment Level Detection and Alert System for Reservoirs
[NO] 191/1000 | Research on Android Malware Detection Based on Deep Neural Networks
[NO] 192/1000 | Self-Evolving Middleware for Cyber Threat Detection in Smart IoT Ecosystems Using Cycle-GANs and Bio-Inspired Optimization
[NO] 193/1000 | Optimization-Based Design of Dielectric-Only Transparent Smart Electromagnetic Surfaces
[NO] 194/1000 | Comparison of MoM Solvers for Analysing Wire Coupling
[YES] 195/1000 | Comparative Study of Chatbot Architectures Using LLMs and RAG: Evaluating FAISS-Based Knowledge Retrieval Schemes
[NO] 196/1000 | Big Data-Driven Trip Duration Prediction in Urban Transportation Systems
[NO] 197/1000 | SCIGENT: Multi-agent for End-to-end Question Answering on Scientific Knowledge Graph
[NO] 198/1000 | Edge Computing-Oriented UAV Aerial Image Stitching Based on Adaptive ROI selection and Improved FLANN
[NO] 199/1000 | An Adaptive Hybrid Deep Learning Framework for Android Malware Detection
[NO] 200/1000 | Data-Driven Educational Management in Higher Education: Predictive Modeling of Student Learning Outcomes Using Artificial Intelligence
[NO] 201/1000 | Study on Contact Arc Suppression through Optimizing Catenary Structure
[NO] 202/1000 | Unsupervised Sparse Imaging in 3D mmWave SAR with Physical Priors
[NO] 203/1000 | CAMP: Consensus and Inference-driven Decentralized Multi-Agent Path Finding
[NO] 204/1000 | Robustness Analysis of MPC-based Voltage Control in Distribution Grids Under Uncertainties
[NO] 205/1000 | Factors Influencing the Success of Early-Stage Digital Startups in Indonesia
[NO] 206/1000 | Improving Minority Class Detection using Intelligent Undersampling Technique
[NO] 207/1000 | Research on the Fusion of Deep Learning Algorithms for Intelligent Control of Electromechanical Systems
[NO] 208/1000 | Research on Automatic Assembly Detection Algorithm of Mechanical Parts Based on Machine Vision
[NO] 209/1000 | Peak Power Demand in Apartment Buildings: Insights from Smart Meter Data and Building Characteristics
[NO] 210/1000 | A Novel Transformer-Based Fuzzing Framework for Industrial Control Protocols
[NO] 211/1000 | Blockchain-Enabled Energy Swarm Protocol for Peer-to-Peer Smart Grid Communications
[NO] 212/1000 | Market-Driven BESS Operation: Effects on Voltage Stability and Line Loadings in Distribution Grids
[NO] 213/1000 | IoT-Driven Machine Learning for Pharmaceutical Production Quality Indicators: A Comprehensive Survey
[NO] 214/1000 | Design and Performance Study of via Interconnection Structures in Multilayer Flexible LCP Circuits
[NO] 215/1000 | Addressing Uncertain Irrigation Decisions Through a Hybrid Rule and ANN-Based System
[NO] 216/1000 | Comparative Techno-Economical Analysis on the Effect of Smart and V2G-Enabled Charging Strategies in Transformer Aging
[NO] 217/1000 | Ensembling Membership Inference Attacks Against Tabular Generative Models
[NO] 218/1000 | THINKING ISSUES: An AI Useless Case: A Need for Curricular Cultural Computing Literacy
[NO] 219/1000 | An Efficient and High-Precision Video Sar Multi-Object Tracker
[NO] 220/1000 | LNet: Lightweight Network for Driver Attention Estimation via Scene and Gaze Consistency
[NO] 221/1000 | Zoomer: An APT TTP Recognition System Via Deep &amp; Wide Provenance Graph Learning
[NO] 222/1000 | Diffusion-Augmented Graph Contrastive Learning for Knowledge-Aware Recommendation
[NO] 223/1000 | A Fully Integrated Storage-Free Energy Harvesting System With Voltage Self-Regulation and Dual-Channel Power Extraction
[NO] 224/1000 | An Area-Efficient and Reconfigurable Accelerator for Massive MIMO Systems
[NO] 225/1000 | Influence of Flat-Wire Winding on Vibration of Permanent Magnet Synchronous Machines
[NO] 226/1000 | Table of Contents
[NO] 227/1000 | MSWiM 2025 Author Index
[NO] 228/1000 | An Autonomous Hexapod Robot With CPG NN- Based Terrain Adaptation Gait and Evolutionary Interpretable Fuzzy Wall-Following Control_supp1-3645588.docx
[NO] 229/1000 | Resource-Efficient Hybrid Machine Learning Model for IoT SMS Spam Detection
[NO] 230/1000 | ICoAIT 2025 Breaker Page
[NO] 231/1000 | Collaborator Selection and Paths to Enhance Exploratory Innovation: Should Inventor Collaboration Seek Common Ground or Preserve Differences?_supp1-3648655.pdf
[NO] 232/1000 | ICEMI 2025 Cover Page
[NO] 233/1000 | Table of Contents
[NO] 234/1000 | A Hybrid Architecture for a Secured Health Information Exchange using FHIR, Blockchain, and IPFS
[NO] 235/1000 | EEG Artifact Detection in Epilepsy Using Hybrid Deep and Machine Learning
[NO] 236/1000 | Research on the Interpretability of a Mortality Prediction Model for Cardiac Arrest Patients Based on SHAP
[NO] 237/1000 | Grid-Aware Flexibility Operation of Behind-the-Meter Assets: A review of Objectives and Constraints
[NO] 238/1000 | SA-CVAE-WGAN: A Method for Simulated Galaxy Image Generation
[NO] 239/1000 | Synthetic Inertia by a Wind Farm-Electrolyzer Unit: Dynamic Optimal Sizing and Service Provision
[NO] 240/1000 | Comparative Study of Baseline CNNs and Meta-Learning Approaches on PathMNIST
[NO] 241/1000 | Goat Weight Recording System with Load Cell and RFID Sensors Using Iot Based Cloud Computing Technology
[NO] 242/1000 | Human Activity Recognition Leveraging UAV Imagery
[NO] 243/1000 | An AI-Driven Framework for Personalized Career Path Recommendations
[NO] 244/1000 | Image Steganography: A Comprehensive Review of Conventional and Modern Techniques
[NO] 245/1000 | Efficient Anomaly Detection in Big Data using Improved Random Forest Model
[NO] 246/1000 | Generative AI Performance with DeepSeek: Key Service Quality Attributes from Users
[NO] 247/1000 | Impact Mechanism and Mitigation Strategy of Pantograph-Catenary Separation on Fault Detection in the Single-Phase Cascaded H-Bridge Rectifier
[NO] 248/1000 | An Enhanced Convolutional Autoencoder for Multimodel Anomaly Detection
[NO] 249/1000 | AICAWS: Arithmetic Intensity Based Cache-Conscious Adaptive Warp Scheduler
[NO] 250/1000 | Unmanned Water Quality Monitoring System Based on Millimeter Wave Radar Obstacle Avoidance
[NO] 251/1000 | QUESTA: A Hybrid IRT-Thompson Sampling Algorithm for Adaptive Quizzes Applied to Career Recommendation
[NO] 252/1000 | Wireless Retina Stimulation with Magnetoelectric Nanoparticles
[NO] 253/1000 | 5G vs 6G: Advances in Cellular Planning and Their Impact on Population Exposure
[NO] 254/1000 | CNN-based Epileptic Seizure Detection from EEG Signals
[NO] 255/1000 | Model of Fabry-Perot Resonator with Flat Metal and Dielectric Mirrors
[NO] 256/1000 | Comparative Analysis of Individual and Collective Self-Consumption Strategies of PV Equipped Prosumers
[NO] 257/1000 | Fault Ride-Through for Hydrogen Electrolyzers
[NO] 258/1000 | Research on YOLOv9 Object Detection Algorithm Based on Multi-Attention
[NO] 259/1000 | Tips: Augment Memory Tagging to Defend Against Prefetcher Side Channels
[NO] 260/1000 | Design and Deployment of an Educational IoT-Based Micro Ecosystem with micro:bit Integration
[NO] 261/1000 | Deep Learning-Based Non-Intrusive Load Monitoring for Identification of Distributed Energy Resources in the Presence of Conventional Devices
[NO] 262/1000 | Secure File Exchange Privacy-Focused Secure File Exchange with Variable-Sized Chunking and Automated Expiry for Scalable Organizational Sharing
[NO] 263/1000 | Interactive Web-Based Pandemic Spread Simulator with Agent Mobility and Contact Modeling Using Three.js
[YES] 264/1000 | Design and Research on LeNet5 Convolutional Neural Network Accelerator Based on HLS
[NO] 265/1000 | Power Quality Disturbance Recognition Based on Multi-Modal Fusion of 2DCNN-GRU-AT
[NO] 266/1000 | A Machine Learning-Enhanced Satellite Snowfall Rate Product and Its Application in Nowcasting
[NO] 267/1000 | Interpretable Leaf Disease Detection in Home Gardens with an Efficient Deep Learning Approach
[NO] 268/1000 | Research on the Deployment of Smart Home Data Collection Modules Based on DeepSeek Nvidia Jetson Nano
[NO] 269/1000 | Impact of Hydrogen Electrolysers to Grid Stability
[NO] 270/1000 | Implementing a Network Firewall for Constrained IoT Environments
[NO] 271/1000 | AlumniSphere: AI Driven Web Platform for Dynamic Alumni Relations
[NO] 272/1000 | Combining Large Language Model and Supportive Models for Legal Question Answering
[NO] 273/1000 | Implantable Reconfigurable FSS for Wireless Protection of Implantable Cardiac Devices in the ISM Band
[NO] 274/1000 | Robust Attendance Management System Using Face Recognition and Location-Based Verification
[NO] 275/1000 | Integrated Electric Drive and Wireless Charging Architecture for Electric Vehicles
[NO] 276/1000 | EcoDriving based approach to trip speed profile optimization for optimal power consumption of a frugal battery electric vehicle
[NO] 277/1000 | Risk-Aware Contracting Strategies for Electrolytic Hydrogen Projects Facing Grid Congestion
[NO] 278/1000 | Impact of Neighborhood-Energy-Sharing-Systems on Distribution Grids
[YES] 279/1000 | AI - Driven Design Pattern Recommendation System for Enhanced Software Architecture
[NO] 280/1000 | R
                    <sup>2</sup>
                    Hash: A Read-Optimized and Resize-Friendly Hashing Index for Persistent Memory
[NO] 281/1000 | Outdoor Design Image Generation Based on Diffusion
[NO] 282/1000 | Mpox Risk Forecasting: Integrating Neural Networks and Public Sentiment Analysis
[NO] 283/1000 | ViT-Based Semantic Feature Extraction and Cluster-Based Dimensionality Reduction for Medical Images
[NO] 284/1000 | Estimation of PV Generation using Empirical University Campus Data
[NO] 285/1000 | Design and Analysis of Perforated Ground Plane for Mode Conversion Mitigation in High-Speed Differential Channel of Die-To-Die Interface
[NO] 286/1000 | Algorithm for Constructing Educational Dynamic Knowledge Graph and Predicting Intervention Nodes Based on LLM-GNN Fusion
[NO] 287/1000 | An Agent-Based Assessment of Household Flexibility for Distribution Grid Stability
[NO] 288/1000 | Symbolic Infrastructure: A Framework for Transhuman Co-Creation and Knowledge Mediation
[NO] 289/1000 | Machine Learning for Genetic Disease Prediction: A Systematic Review
[NO] 290/1000 | A Multi-Model AI System for Visual Disorder Diagnosis: Amblyopia as a Case Study
[NO] 291/1000 | Volcanic Ash Size and Mass Estimated by Satellite Passive Radiometers: A Comparison Between Two Radiative Transfer Models
[NO] 292/1000 | A Lightweight Visual Deception Detection Method Using Dynamic Images and a Customized SmallCNN–BiLSTM Architecture
[NO] 293/1000 | A Lightweight Multi-Scale Convolutional Neural Network-Based Method for ECG Quality Assessment
[NO] 294/1000 | Accelerating Violence Detection: A Comparative Study of Frame Difference and Traditional Methods on UCF Crime Dataset
[NO] 295/1000 | Techno-Economic and Safety Assessment of Plug-and-Play Photovoltaic Systems in Belgium
[NO] 296/1000 | Integrated Coaxial Resonator for Reconfigurable Passive Intermodulation Testing
[NO] 297/1000 | Predictive Quality of Service and Proactive Channel Switching for Time-Critical Wi-Fi Systems
[NO] 298/1000 | Scheduling Concepts for DC Interconnectors in HVAC Distribution Grids
[NO] 299/1000 | Multi-Objective Capacity Planning for Large-Scale Renewable Energy Bases with Dynamic Source-Load Matching
[NO] 300/1000 | A Two-Stage LSTM-LightGBM Framework for Time-Series Traffic State Prediction
[NO] 301/1000 | Inductance Parameter Online Identification of PMASRM Based on Current Harmonics Extraction with Ultra-local Model
[NO] 302/1000 | Graphene Oxide Glucose Sensor for Scalable Microfluidic Lab on Chip Integration
[NO] 303/1000 | Towards Trustworthy Healthcare AI: GAN-Augmented Explainable Models with Blockchain-based Data Integrity
[NO] 304/1000 | Low-Complexity Adaptive MIMO Detection Framework for Next-Generation Wireless Systems
[NO] 305/1000 | A Heat Pump Optimization-Based Scheduling to Minimize Energy Cost and Ensure Thermal Comfort
