[2025-12-13 09:09:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-12
正在获取论文...
[ACM] 2025-12-12 | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
[IEEE] 2025-12-12 | Machine Learning for Predicting Plan Diseases and Optimizing Fertilizer Use
[IEEE] 2025-12-12 | Power Quality Compensation of an NPC Inverter-Based Home Energy Management System in Single-Phase Three-Wire Distribution Feeders
[IEEE] 2025-12-12 | Impact of Internal Electrical Safety Audits on the Safety of Petrobras ES Oil Platforms
[IEEE] 2025-12-12 | Optimizing Electric Vehicle Battery Recycling Network with Demand Forecasting from the Fourth-Party Logistics Perspective
[IEEE] 2025-12-12 | Performance Analysis of Multi-User Distributed MIMO Networks for Industrial Applications using Ray-Tracing Modeling
[IEEE] 2025-12-12 | Reliability analysis based on fault-tree of the buck-boost converter considering output load conditions
[IEEE] 2025-12-12 | Two-Stage-Decoupled Approach for Distributed Prescribed-Time Resource Allocation on Unbalanced Digraphs
[IEEE] 2025-12-12 | DrishtiShravya: Vision and Sound
[IEEE] 2025-12-12 | Learning Based User Scheduling and Resource Allocation in Millimeter-Wave Massive Relay MIMO Systems
[IEEE] 2025-12-12 | Multimodal Sensing and DRL-Driven Beam Selection in RIS-Aided mmWave mMIMO Systems
[IEEE] 2025-12-12 | From XR to Eduverse: Faculty and Student Readiness for XR Integration in Online Higher Education
[IEEE] 2025-12-12 | Acidic Gases Prediction Model for Municipal Solid Waste Incineration Processes
[IEEE] 2025-12-12 | Training and Inference-Time Data Augmentation for Fine-Grained Image Recognition Using Generative Models
[IEEE] 2025-12-12 | Benchmarking Japanese LLMs with Task Vectors of In-Context Learning in Japanese-English Translation Tasks
[IEEE] 2025-12-12 | An Experimental Study on Improving Accuracy of Phase-Based Ranging in Indoor Environments
[IEEE] 2025-12-12 | SubtleNav: A Preliminary Study on Minimal Interaction for Navigation Using Subtle Motion
[IEEE] 2025-12-12 | A Smooshed BMOCZ Zero Constellation for CFO Estimation Without Channel Coding
[IEEE] 2025-12-12 | Contribution of temporal emission pattern differences in application determination using CSI
[IEEE] 2025-12-12 | Development of Real-Time Sound Rendering System Considering Speaker’s Orientation in Virtual Space
[IEEE] 2025-12-12 | GCCE 2025 Cover Page
[IEEE] 2025-12-12 | Prediction of Dynamic Gait Stability using Kinematic Motion of Center of Mass: Enhancement by Stratified Learning
[IEEE] 2025-12-12 | REM-Based Beam Management with GNSS Location Error Mitigation in Urban Millimeter-Wave Networks
[IEEE] 2025-12-12 | Softwarized RIS Steering System: Signal Detection Use Case
[IEEE] 2025-12-12 | RIS-assisted Tag-side Pre-processed Spatial Modulation in Backscatter Communication
[IEEE] 2025-12-12 | Synchronous Enhancement of Sensitivity and Frequency of Piezoelectric Micromachined Ultrasonic Transducers Operating in the Second-Order Flexural Mode
[ACM] 2025-12-12 | Is wearable data reliable for monitoring behavior?  Design of a wearable-based IoMT puzzle game for remote behavior monitoring
[ACM] 2025-12-13 | Underwater Odyssey: Immersive VR Swimming Adventure
[ACM] 2025-12-13 | Beyond Universality: Cultural Diversity in Music and Its Implications for Sound Design and Sonification
[ACM] 2025-12-12 | ExReg: Wide-range Photo Exposure Correction via a Multi-dimensional Regressor with Attention
[IEEE] 2025-12-12 | Realistic Interactive Facial Reaction for Simulated Patient
[IEEE] 2025-12-12 | In Silico Molecular Docking Analysis of Nilotinib-Mediated Inhibition of Alpha-Synuclein Phosphorylation in Parkinson's Disease
[IEEE] 2025-12-12 | Predicting User Susceptibility to Phishing: A Machine Learning Study Combining Spear Phishing Simulations and Questionnaire Responses
[IEEE] 2025-12-12 | Author Index
[IEEE] 2025-12-12 | Audio-Visual Integration and Self-Relevance: the Impact of Instagram Music Stories on Viewer Perception
[IEEE] 2025-12-12 | Research on a Cost-Benefit Estimation Methodology for Old Ship Retrofitting
[IEEE] 2025-12-12 | Anomalous IoT Behavior Detection Utilizing Time-Series Embedded Representation
[IEEE] 2025-12-12 | OTFS Modulation on SDR Platform: Experimental Demonstration and Performance Analysis
[IEEE] 2025-12-12 | Electrical Contact Resistance and Roughness Over Many Scales
[IEEE] 2025-12-12 | SmellFly: Investigating Olfactory Display in VR using a Small Drone
共写入 1000 条记录，保存到 papers/paper2025-12-12.json。
论文获取成功，文件路径: papers/paper2025-12-12.json
正在筛选、翻译并发送邮件...
[NO] 1/1000 | Datalog-Expressibility for Monadic and Guarded Second-Order Logic
[NO] 2/1000 | Modeling Emotions in Multimodal LLMs
[NO] 3/1000 | Real-Time ECG Recognition Using Convolutional Spiking Neural Networks with Sparse Encoding for Arrhythmia Detection
[NO] 4/1000 | Adaptive Space Decomposition and Directional Sampling Algorithm for Large-Scale Disassembly Line Balancing Problem
[NO] 5/1000 | Energy-Age of Incorrect Information Trade-off with Timer-Based Sleep-Wake Scheduling
[NO] 6/1000 | Optimizing Indoor RIS-Aided Physical Layer Security: A Codebook-Generation Methodology and Measurement-Based Analysis
[NO] 7/1000 | Accidents Involving Telecommunication Cables on Power Poles: Global Challenges and Evidence-Based Solutions
[NO] 8/1000 | Application of Stochastic Configuration Networks in Offshore Wind Power Forecasting Projects Under Extreme Weather Conditions
[NO] 9/1000 | Social Doppler: A Framework for Mechatronic Perception Beyond Physical Radar
[NO] 10/1000 | Software-Defined Parallel LiDARs for Active 3D Perception
[NO] 11/1000 | Influence of Accelerated Aging of Lead-Free Sn Plating on Connector Extraction Force
[NO] 12/1000 | VELO: A Variational Autoencoder Enhanced Differential Evolution Algorithm for Task Offloading in Vehicular Edge Computing
[NO] 13/1000 | Bridging Time Series and Fault Knowledge with Temporal Semantic Diffusion Learning for Zero-Shot Diagnosis
[NO] 14/1000 | False Memory via Quantum Tunnelling: A Photosynthetic Simulation of Social Cyber Engineering Risks
[NO] 15/1000 | GAN-Powered Brain Tumor Imaging: Generating Brain Tumor MRI Images with DCGAN
[NO] 16/1000 | Development of a Touch Sensing System for Retroperitoneal Organ Dissection Training
[NO] 17/1000 | AICDMB 2025 Author Index
[NO] 18/1000 | SNR and Resource Adaptive Deep JSCC for Distributed IoT Image Classification
[NO] 19/1000 | Full-Stack based Student Management System &amp; Proactive Dropout Mitigation of School Students using Machine Learning Algorithms
[NO] 20/1000 | ICCE-Berlin 2025 Author Index
[NO] 21/1000 | Self-Supervised Continuous Colormap Recovery from a 2D Scalar Field Visualization without a Legend
[NO] 22/1000 | Resource Allocation of Terrestrial-Satellite Service in Coexistence with Earth Exploration Satellites
[NO] 23/1000 | Examining the “Operability of Digital Device” Dimension in Learning-Style Models
[NO] 24/1000 | Implementing a Real-Time ISSS Noise Suppression Method in a Single-Board Computer
                    <sup>*</sup>
[NO] 25/1000 | High-Dimensional Hybrid Modulation (HDHM): Bridging Coherent and Noncoherent Transmissions
[NO] 26/1000 | Reducing Computational Cost in Pedestrian Conversation Activity Recognition through Skeleton Spatiotemporal Graphs
[NO] 27/1000 | Toward Seamless Connectivity: HAPS-Assisted Hybrid THz/FSO Bidirectional Communication for Multi-Satellite Multi-Ground Station Network
[NO] 28/1000 | D-Band Adaptive Beamforming for 6G Sub-THz Communications: Feasibility and Experimental Results
[NO] 29/1000 | Impact of service-selective predistortion in A-RoF link for coexisting 4G, 5G, and 6G signals
[NO] 30/1000 | 2025 7th International Conference on Industrial Artificial Intelligence (IAI)
[NO] 31/1000 | Achievable Rate of RIS-Assisted Short-Packet Communication with Receive Diversity: A Random Matrix Theory Analysis
[NO] 32/1000 | Ambient Electromagnetic Wave Energy Harvesting with Human Body Antenna
[NO] 33/1000 | A Comprehensive Intent Parsing AI Capability Recommendation Method
[NO] 34/1000 | Network KPI Prediction in Mobile Networks Using CNN-LSTM Time Series Model
[NO] 35/1000 | C2FGAN: A Coarse-to-Fine Conditional GAN-Based Adaptive Localization Algorithm for Indoor Radiation Sources
[NO] 36/1000 | Kinaesthetic Traffic Characterization and Performance Trade-Offs in Haptic Teleoperation Systems over 5G Standalone Private Networks
[NO] 37/1000 | A Gradient Descent Method for Iterative Computation of Katz Centrality
[NO] 38/1000 | Design of Ultra-Quiet BLDC Motors for Home Appliances and Medical Equipment
[NO] 39/1000 | Low-Rank Matrix Factorization Induced Adaptive Divergent Graph Learning for Fuzzy Clustering
[NO] 40/1000 | Transformer Driven Visual Servoing for Fabric Texture Matching Using Dual-Arm Manipulator_supp1-3643335.mp4
[NO] 41/1000 | LLM Aided Spectrum-Sharing LEO Satellite Communications
[NO] 42/1000 | Accuracy enhancement in 2D digital image correlation: A comparative study of bi-cubic, cubic, and spline interpolation methods
[NO] 43/1000 | Equivariant Filter for Relative Attitude and Target Angular Velocity Estimation
[NO] 44/1000 | IEEE Sensors Journal Publication Information
[NO] 45/1000 | Beyond Transport: V2X Integration Turning EVs into Smart Energy Assets
[NO] 46/1000 | Human-as-a-Sensor: Harnessing Brain Signals for Intelligent Multimodal Sensing in Spatially-Aware Systems
[NO] 47/1000 | A Probabilistic Framework for Imputing Genetic Distances in Spatiotemporal Pathogen Models
[NO] 48/1000 | Simple Yet Effective: Supervised Fine-Tuning of Large Language Models for Multi-City Human Mobility Prediction
[NO] 49/1000 | HuMob Predictor: Towards a Generalizable Model for Multi-City Individual Mobility Prediction
[NO] 50/1000 | Enhancing Contrastive Learning for Geolocalization by Discovering Hard Negatives on Semivariograms
[NO] 51/1000 | SPEEDY: Framework for Sharpening Promise Time Estimates in Sub-Same Day Delivery
[NO] 52/1000 | Estimation Time of Escape (ETE) by Monitoring the Building Evacuation Flow
[NO] 53/1000 | Polynthesis: Discovering Insights Beyond the Known
[NO] 54/1000 | Multi-LLM Agent Collaborative Intelligence
[NO] 55/1000 | Acknowledgments
[NO] 56/1000 | Neural Network-Based Approximation of Continuous Control Set MPC for the Primary Control of DERs in AC Microgrids
[NO] 57/1000 | Search by Spatial Query: Text to Pictorial Queries
[NO] 58/1000 | Hecatoncheir: Scaling up and out spatial data management
[NO] 59/1000 | Block-wise Random Diffusion Encryption Using 4D Dynamic Feedback Memristive Chaotic System
[NO] 60/1000 | STAR-CD: Style-Aligned Remote Sensing Change Detection with Appearance-Relation Modeling
[NO] 61/1000 | Achieving Safety-Aware and Efficient Robot Motion via Dynamic Task-Scaling: From the Null-Space Control Perspective
[NO] 62/1000 | Edge AI-Based Adaptive Human Sitting Detection System
[YES] 63/1000 | Machine-interpretable Engineering Design Standards for Valve Specification
[NO] 64/1000 | Breaking Neural Networks Through Algebraic Lens: A Preliminary Analysis of Mathematical Vulnerabilities in AI Architectures
[NO] 65/1000 | Nonlinear Auto-Tuning PI Control With Desired Precision Within User-Specifiable Time
[NO] 66/1000 | A Large-scale Benchmark on Geological Fault Delineation Models: Domain Shift, Training Dynamics, Generalizability, Evaluation and Inferential Behavior
[NO] 67/1000 | VVI-GFM: A Voltage Vector-Informed Grid-Forming Control for Post-Disturbance Fast Synchronization Recovery
[NO] 68/1000 | Robotic Double Patch Clamp Based on Interactive Mechanical Modeling for Functional Connectivity Measurement Between Neurons_supp6-3642790.pdf
[NO] 69/1000 | TrajAgents: A Multi-Agent Framework for Interpretable and Semantically Consistent V2I Trajectory Prediction
[NO] 70/1000 | End-to-End Predictive Cruise Control of Connected Autonomous and Vehicles via Distributed Model Predictive Control
[NO] 71/1000 | Silent Threats, Smart Shields: A Dual-Strategy Framework Against Stealthy Attacks in EV Charging Systems
[NO] 72/1000 | Evaluation of Application-Oriented Relay Deployment in IEEE 802.11ah IoT Mesh Networks
[NO] 73/1000 | Incorporating Serendipity and Receptivity into Personalized Recommendation Systems
[NO] 74/1000 | A Contactor Design for the Commutation Path in Fuse-Current-Limiting Hybrid DC Circuit Breakers
[NO] 75/1000 | Encryption-Aware PHY Security: Optimal Cooperative Jamming and Achievable Rates
[NO] 76/1000 | Environmental Knowledge-Driven Transfer Strategy With Collaborative Learning for Dynamic Constrained Multi-Objective Optimization_supp1-3643205.pdf
[NO] 77/1000 | A spatial-temporal seamless evapotranspiration product based on TSEB-SM model and DNN-ETo method across China_supp1-3642952.pdf
[YES] 78/1000 | LLM-based Fuzzing Method Using UI-based Input Value Generation for IoT Devices
[NO] 79/1000 | Predicting Dynamic Travel Time Between Points of Interest Using Machine Learning Models
[NO] 80/1000 | Course Selection Optimization using pVSQA on Quantum Computers
[NO] 81/1000 | ICCE-Berlin 2025 Commentary
[NO] 82/1000 | Leveraging Textual Analysis and Predictive Modeling for Tourism Insights in India: A Machine Learning Approach
[NO] 83/1000 | Adaptive Neural Output-feedback Control for Discrete-time Hysteretic Nonlinear Systems and Their Applications
[NO] 84/1000 | Integrated lightning prediction system: Technological advances for safety and efficiency in mining
[NO] 85/1000 | Experimental Analysis of Channel Estimation Algorithms in VANETs Considering Doppler Effects and High Mobility
[NO] 86/1000 | RIB-SLAM: A Radar-Inertial-Barometer SLAM System with High-Precision Elevation Estimation
[NO] 87/1000 | Deep Learning for Accurate Angular Speed Estimation: An LSTM-Based Strong Observer
[NO] 88/1000 | Adaptive Neural Tracking Control for Switched Nonlinear Systems with Predictive Performance Based on Command Filter
[NO] 89/1000 | A High-Performance Sketch with Dynamic Memory Allocation for Priority-Oriented Data Stream Processing
[NO] 90/1000 | Road Anomaly Detection by Integrating Features from On-board Edge System and XRAIN Data
[NO] 91/1000 | 2025 IEEE 70th Holm Conference on Electrical Contacts (HLM)
[NO] 92/1000 | GCCE 2025 Author Information Page
[NO] 93/1000 | Efficient Resource Allocation for Semantic Video Surveillance Transmission over LEO Satellites
[NO] 94/1000 | An Embedding-Aware LSTM-Refined Feature Attention Network for Structured Cyber Attack Detection
[NO] 95/1000 | A Consideration on Visualization Function of Cyber Security Exercise Program for Beginners in Information Communication for Control System Operators
[NO] 96/1000 | CAAC-Net: Combining Attention and Convolution for Deformable Medical Image Registration
[NO] 97/1000 | Joint Fiber and Free Space Optical Infrastructure Planning for Hybrid Integrated Access and Backhaul Networks
[NO] 98/1000 | Coexistence of Real-Time Source Reconstruction and Broadband Services Over Wireless Networks
[NO] 99/1000 | CSI-Driven Physical Layer Secret Key Generation for FDD Systems
[NO] 100/1000 | A Program of Physical Rehabilitation with Wearable SEPC Devices During Intradialytic Improves Inflammatory Markers and the Fitness in Chronic Kidney Disease Patients: A Randomized Clinical Trial
[NO] 101/1000 | Measurement of tip movement of minimally invasive vibrator for ultrasonic growing rod
[NO] 102/1000 | A Note on Quantitative Evaluation Road Users’ Perceived Safety Based on Color Image Sequence
[NO] 103/1000 | Creating a Rich Indoor Multi-Path Environment for Terahertz using Random Phase Reflectors
[NO] 104/1000 | Multimodal Approach in Analyzing Topic Trends from Vietnamese Newspapers
[NO] 105/1000 | GFlowNets for Active Learning Based Resource Allocation in Next Generation Wireless Networks
[NO] 106/1000 | Design and Implementation of Sensor Modules and Gateway System Using ESP32 for RAS Pond Monitoring
[NO] 107/1000 | Optimization of PK/PD Models for Remifentanil Using Genetic Algorithms
[NO] 108/1000 | Trustworthy Privacy-Preserving Federated Large Language Models for the Internet of Medical Things
[NO] 109/1000 | STOAT: Spatial-Temporal Probabilistic Causal Inference Network
[NO] 110/1000 | POIFormer: A Transformer-Based Framework for Accurate and Scalable Point-of-Interest Attribution
[NO] 111/1000 | SGV: Spatial Graph Visualization
[NO] 112/1000 | Towards Multimodal Digital Twin Environments for Automotive Applications
[NO] 113/1000 | Compare Transformer, KAN and KANsformer for Weather Nowcasting on IoT Devices in the Mediterrean Area
[NO] 114/1000 | ADSDx: Towards Automated Accident Diagnosis for High-level Autonomous Driving Systems
[NO] 115/1000 | SocraSynth: Adversarial Multi-LLM Reasoning
[NO] 116/1000 | Sound Source Localization at Long Distances Using a Compact Microphone Array on an Edge Computing Platform
[NO] 117/1000 | PIMRC 2025 TOC
[NO] 118/1000 | Influence of Ni and Zn coatings on the microstructure of steel electrodes
[NO] 119/1000 | Torque Transfer for Handling Enhancement with Optimal Distribution and Adaptive Control Strategy in Real-Vehicle Implementation
[NO] 120/1000 | Clinching - Creating an electrical model
[NO] 121/1000 | An Electroencephalogram Based Neural Networks for Enhancing anti-Interference Capability
[NO] 122/1000 | Evaluating the Effectiveness of Adding Support Structures to 3D-Printed Oboe Reeds
[NO] 123/1000 | In-situ monitoring of electrode wear during arcing
[NO] 124/1000 | RAG based Question Answering of Accounting Knowledge
[NO] 125/1000 | Automated Detection and Quantification of Midline Shift in Traumatic Brain Injury Using CT Images
[YES] 126/1000 | The Design of Single-Bit Fully Parallel Pipeline FFT
[NO] 127/1000 | Exploring Ultra-Low-Dimensional End-to-End Neural Vocoder Using Primary Speech Parameters
[NO] 128/1000 | Learning to Detect Fake News Early: A Multi-Task Approach with Generalized Distillation and Dynamic Graph
[NO] 129/1000 | Robotic Surveillance with Channel State Information for Object Tracking and Counting
[NO] 130/1000 | On the Feasibility of Distributed Phase Synchronization for Coherent Signal Superposition
[NO] 131/1000 | A Scalable Video Analysis Framework for Character Identification and Statistical Profiling
[NO] 132/1000 | Submodular Optimization Based Co-Inference in Space-Air-Ground Integrated Vehicular Networks
[NO] 133/1000 | Multi-Head Reinforcement Learning Based Resource Allocation for Integrated Sensing and Communications
[NO] 134/1000 | Multi-Agent Interior-Point Policy Optimization Algorithm for Multi-Objective Resource Allocation Problem
[NO] 135/1000 | Optimizing TinyML: User-oriented Trade-offs in Accuracy and Energy Consumption
[NO] 136/1000 | Experimental Studies of Near-Field Beamfocusing with Extra-Large Antenna Array Prototype
[NO] 137/1000 | Adaptive Working-Memory Allocation Driven by Static and Dynamic Fatigue Indices
[NO] 138/1000 | Transforming Electricity Safety Training and Culture using active methodologies
[NO] 139/1000 | Deep Learning–Based Depression Screening Using Augmented Tongue Images Under Various Lighting Conditions
[NO] 140/1000 | Ethics of AI in Technological Interruption: Discomfort on Employee Job Insecurity and Turnover
[NO] 141/1000 | Image Reconstruction Algorithm of Quantum Intensity Correlation Imaging Based on the Spatial Light Modulator
[NO] 142/1000 | Energy Efficiency Optimization for CR-Enabled Integrated Terrestrial and NTNs with BD-RIS
[NO] 143/1000 | GCCE 2025 Author Information Page
[NO] 144/1000 | BioNexus Defense: The Myco-Barrier Mechanism for Adaptive IoT Security
[NO] 145/1000 | Merge-Countering Dynamic Multi-Channel Masking for Text-Based Video Tuning
[NO] 146/1000 | Affine Frequency Division Multiplexing with Practical DAC and ADC Filters
[NO] 147/1000 | Corner Case Detection in Autonomous Driving with Deep Learning
[NO] 148/1000 | Spectral-temporal stretching and bandwidth scaling in soliton fiber lasers induced by large lumped attenuation
[NO] 149/1000 | Reducing Cross-Cultural Risk Perception Gaps in Cycling Through Auditory Warnings
[NO] 150/1000 | Hybrid Neural/Traditional OFDM Receiver with Learnable Decider
[NO] 151/1000 | Transparent Intrusion Detection Using ML: Integrating Explainable Models for Cybersecurity
[NO] 152/1000 | Transformer-Driven Neural Beamforming with Imperfect CSI in Urban Macro Wireless Channels
[NO] 153/1000 | Applying PIBT to LA-MAPF and Proposing Priority Assignment Strategies
[NO] 154/1000 | Large Language Models for Free-to-Air TV Program Content Analysis and Complementation
[NO] 155/1000 | Calculation and Analysis of Temperature Fields for Critical Stator and Rotor Components Under Control System Faults in Large-Capacity Offshore Wind Generator
[NO] 156/1000 | Depth-Wise Federated Learning Based on Model Parameter Reliability
[NO] 157/1000 | Dynamic Beyond 5G and 6G Connectivity: Leveraging NTN and RIS Synergies for Optimized Coverage and Capacity in High-Density Environments
[NO] 158/1000 | Electromagnetic Parameters-assisted Propagation Modeling and Reconstruction for Complex Space Targets at FR3 Upper-Mid Band
[NO] 159/1000 | Risk Assessment of Electrical Infrastructure Assets by a Multi-Objective Fine-Tuned Fuzzy Inference System
[NO] 160/1000 | Nonintrusive Watermarking for CycleGAN
[NO] 161/1000 | SGE-GLoc: Semantic Gaussian Ellipsoid Scene Graphs for Efficient LiDAR Global Localization_supp1-3643266.mp4
[NO] 162/1000 | I've Changed My Mind: Robots Adapting to Changing Human Goals During Collaboration
[YES] 163/1000 | Automated Generation of MDPs Using Logic Programming and LLMs for Robotic Applications_supp1-3643276.mp4
[NO] 164/1000 | A Photometrically Scaled Secondary Illumination Model for Lunar Permanently Shadowed Regions_supp1-3642808.pdf
[NO] 165/1000 | Prompt-Enabled Large AI Models for CSI Feedback
[NO] 166/1000 | Crowd-Aware Itinerary Optimization via Clustered Multi-Agent Reinforcement Learning
[NO] 167/1000 | An Orchestration Engine for Scalable, On-Demand AI Phenotyping from UAS Imagery in Agriculture
[NO] 168/1000 | Retrospective: AI and HCI
[NO] 169/1000 | CausalGRIT: Causal Graph Reasoning for Traffic Congestion Prediction – From Statistical Association to Casual Intervention
[NO] 170/1000 | ConPro-GAIL: Interpretable Policy Learning via Conceptual Prototyping for Human Spatiotemporal Decision Understanding
[NO] 171/1000 | ImaginaBook: Guiding Virtual Child Smiles via Behavioral Cues in XR Picture-Book Storytelling
[NO] 172/1000 | qSIEVE: Efficient qLDPC Memory via Systolic Movement in Atom Arrays
[NO] 173/1000 | Session Summary Podcast: Session 4: Workshop: Cross-Cultural Multimodal Interaction
[NO] 174/1000 | Unified Cognitive Consciousness Theory: Formalization, Validation, and Outlook
[NO] 175/1000 | A Spatio-Temporal Feature Distribution Network for Device-Free Power Inspection Activity Using WiFi CSI
[NO] 176/1000 | A hybrid machine learning and blockchain framework for wireless sensor networks
[NO] 177/1000 | Indoor Benchmark of 3D LiDAR SLAM at iilab – Industry and Innovation Laboratory
[NO] 178/1000 | Interval Type-2 T-S Fuzzy Braking Torque Finite-Time Consensus Control of Electro-Mechanical Brake System
[NO] 179/1000 | Niagara: Normal-Integrated Geometric Affine Field for Scene Reconstruction from a Single View
[NO] 180/1000 | TUNA: A Target-aware Unified Network for Protein-Ligand Binding Affinity Prediction via Multi-Modal Feature Integration
[NO] 181/1000 | Whose Truth? Pluralistic Geo-Alignment for (Agentic) AI
[NO] 182/1000 | Lory: Location-aware Data Discovery from Data Lakes
[NO] 183/1000 | Building a Foundation Model for Trajectory from Scratch
[NO] 184/1000 | ALFA: Elevation-Guided 3D Flood Map Annotation on Earth Imagery by Consistency-Enhanced Active Learning
[NO] 185/1000 | AddrRaG: Delivery Address Augmented Retrieval and Validation
[NO] 186/1000 | Deep Unfolding for MIMO Signal Detection
[NO] 187/1000 | Dual-Layer Optimization for Furnace Temperature Optimized Setpoint and Its Tracking Control
[NO] 188/1000 | NearLink: Emerging Short Range Wireless Standard with Ultra-Low Latency and Ultra-High Reliability
[NO] 189/1000 | Generation of bioinspired asymmetric topographic structures on silver connectors via Direct Laser Interference Patterning
[NO] 190/1000 | HLM 2025 Future Events Page
[NO] 191/1000 | Model-Based Deep Learning Tuning of Reconfigurable Intelligent Surface for OFDM Radar Interference Mitigation
[NO] 192/1000 | Self-Loop Effects in Graph-Modeled Mel-Spectrogram for Acoustic Anomaly Detection
[NO] 193/1000 | Full-Duplex Communications for Cellular-Connected UAVs: Distributed Beamforming and Power Control
[NO] 194/1000 | Frame-Agnostic Adaptive Causal Topology Inference for Non-Cooperative UAV Swarm Network
[NO] 195/1000 | Digital Zero-Voltage Switching Flyback Converter Without Galvanic Isolation
[NO] 196/1000 | Thermofluid Analysis for Prototype Development of Energy Harvesting System Using Thermoelectric Devices for Small Engines
[NO] 197/1000 | Prediction Model and Behavioral Intervention Strategies for Adult Myopia Progression
[NO] 198/1000 | Communication-Aware Visual Navigation for Multi-AMR Systems via Federated Deep Reinforcement Learning
[NO] 199/1000 | Emotion-Driven Music Curation Using CNN and Dynamic Data Source Integration
[NO] 200/1000 | Qualitative analysis of video streamed from smartphones to TV using SSIM, PSNR and KMeans
[NO] 201/1000 | Mini-ResNet-Based Early Screening of Attention Deficit/Hyperactivity Disorder Using EEG Signals
[NO] 202/1000 | Interactive Visual Analytics Approach for Heavy-Plate Production Schedule Recommendation
[NO] 203/1000 | Error Control for Content-Adaptive Block Compressive Sensing with Polar Codes and Unequal Protection Concepts
[NO] 204/1000 | Generative AI Powered Modern Education Tool to Enhance Teaching Learning Experience
[NO] 205/1000 | Extension of CNN-Based Demodulation from Single-Color to Multi-Color in Image Sensor-Based Visible Light Communication
[NO] 206/1000 | Multidirectional Capture: A Synthetic Dataset Strategy Through the Blender Software
[NO] 207/1000 | A Study on Indoor Positioning Method Based on Neural Network by Using Array Antenna
[NO] 208/1000 | AI as a Service: Exposing the Functionalities of AI-Native 6G Networks
[NO] 209/1000 | Stream Voice Diffusion: Real-Time Image Generation from Speech
[NO] 210/1000 | Consideration of Automatic Garbage Detection System Using Camera and Low-Power Edge Device
[NO] 211/1000 | Receding-Horizon Diffusion Policy for Dynamic Robotic Trajectory Planning
[NO] 212/1000 | HLM 2025 Awards Page
[NO] 213/1000 | A New Vector Indexing Algorithm for Embedded AI Systems
[NO] 214/1000 | Duration Estimation Based on a Time-Lag Model in End-to-End Singing Voice Synthesis
[NO] 215/1000 | Novel Codebook Design and Performance Analysis for Time-Varying Spatial Channels With FDD MIMO
[NO] 216/1000 | Recent Advances in Discrete Speech Tokens: A Review
[NO] 217/1000 | ISAC Channel Models from ETSI and 3GPP
[NO] 218/1000 | Blind Matched Filter Design for Communication Chains Involving Frequency Multipliers: LSTM-based Approach
[NO] 219/1000 | 3D Camera-Based Estimation of Cattle Body Weight
[NO] 220/1000 | Exploring the Impact of HAPS-RIS on UAV-Based Networks: a Novel Network Architecture
[NO] 221/1000 | A Pressing Sensation Rendering System with Semi-constrained Finger
[NO] 222/1000 | A DNA-Based Computing Framework for Image Signal Encoding and Pattern Recognition
[NO] 223/1000 | GCCE 2025 Subject Index Page
[NO] 224/1000 | Impact of AlGaN Superlattices on the Thermal Stability of Al-Rich AlGaN Channel HEMTs
[NO] 225/1000 | Weld Defect Identification and Quality Evaluation for Modular Steel Construction Via YOLO with Loss Analysis
[NO] 226/1000 | Grid-Based 3D Position Estimation in RFID Systems Using Directional Antennas
[NO] 227/1000 | Reproducing Developmental Features and Preserving Semantics in Child-Style Text Generation Using LLM
[NO] 228/1000 | Emulating Industrial 5G-Edge Networks
[NO] 229/1000 | Edge-AI Based WiFi Sensing for Aerosol Detection
[NO] 230/1000 | Dynamic Challenge Based Federated Learning Scenario for Network Digital Twin Aided O-RAN
[NO] 231/1000 | Improvement Strategies for Few-Shot Learning in OCT Image Classification of Rare Retinal Diseases
[NO] 232/1000 | Plétude
[NO] 233/1000 | Sound-driven Design through the lens of four applications for healthcare
[NO] 234/1000 | Efficient Fault Diagnosis in Industrial Systems Using Enhanced PolyKAN Techniques
[NO] 235/1000 | AF-QLSTM: Acoustic Feature Prediction using Quantum LSTM for Smart City
[NO] 236/1000 | RobWoTAR: Web of Things Approach to Universally Control Robots in Augmented Reality
[NO] 237/1000 | FLAIR: QoS-Aware Scheduling and Workload Placement in Fog-Enabled Smart Manufacturing Warehouses
[NO] 238/1000 | Indistinguishability Obfuscation from Well-Founded Assumptions
[NO] 239/1000 | Immersive Interaction and Interpretation of Ancient Spatial and Shape Data: XR for Archaeological Research
[NO] 240/1000 | Automatic Photo Selection Method for Graduation Albums
[NO] 241/1000 | CNN and Transfer Learning-Based Classification of Alzheimer's Disease Stages from 2D Brain MRI: Model Performance and Interface Integration
[NO] 242/1000 | A Battery Degradation Model for Cost-Optimized PV-BESS Design in Telecom Base Stations
[NO] 243/1000 | Delay and Packet Loss in Wireless Networks with Finite Queue Length
[NO] 244/1000 | Prescribed Performance Control of Marine Surface Vessels with Dead-Zone Inputs
[NO] 245/1000 | A Sequential Transfer Optimization Framework for Expensive Optimization Problems
[NO] 246/1000 | Drone Rider: Enhancing VR Flight Experience with Dynamic Wind Feedback
[NO] 247/1000 | Blockchain Simulator for Consensus Algorithms and Security Testing in Future IoT
[NO] 248/1000 | A Topology-Based Approach for Energy Consumption Mitigation in Video CDN
[NO] 249/1000 | Development and Implementation of a High-Efficiency Solar-Powered Cooling System for Smart Industrial and Commercial Buildings
