[2026-09-24 13:57:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-23
正在获取论文...
[arXiv] 2026-09-23 | Bergman barycentric extensions of boundary homeomorphisms of the complex ball
[NO] 167/200 | ReaguMark: A Resolution-Agnostic Unified Watermarking Framework for Screen-Camera Distortion Resistance_supp1-3729384.pdf
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 168/200 | Author Index
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 169/200 | Hierarchical Hybrid Deep Learning Framework for High-Performance Fiber Optic SPR Sensing_supp1-3736469.docx
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 170/200 | Privacy-Preserving Distributed Online Learning with Zeroth-Order Feedback over Directed Networks
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 171/200 | Design Approach for Resistor-Free Filtering Power Dividers Using a Cavity-Backed Slot and Its Equivalent Circuit
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 172/200 | Multi-Month mmWave Channel Characterization with NYUSIM: Frequency, Scenario, and Fading Model Analysis_supp1-3731631.xlsx
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 173/200 | Vehicle Electronics in the 90's: Proceedings of the International Congress on Transportation Electronics
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 174/200 | Lighting-Aware Adaptive Fusion for Short-Term Lighting-Load Forecasting in Smart-Building Lighting IoT
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 175/200 | Composite Vibration Suppression of Active-Magnetic-Bearing-Supported Rigid Rotors Using I-NRBO-Based PID Tuning and Improved Adaptive Notch Filtering
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 176/200 | Efficient Neural Decoding of Multi-Finger Forces for Continuous Human–Robot Interaction Control
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 177/200 | TAP-SNet: Lightweight Few-Shot Modulation Recognition via Selective Mamba Mechanism
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 178/200 | OppNDA: A Modular and Scalable Automation Framework for Streamlining DTN Research with the ONE Simulator
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 179/200 | Topology and Control of a Full-Arm Multiplexing Modular Multilevel Converter with Wide-Range Energy Balancing Capability
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 180/200 | Retraction Notice: Face Recognition system using Extreme Learning Machines
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 181/200 | EEG-EMG Coupling Analysis of Interaction Force in Human-Robot Interaction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 182/200 | Dynamic Modeling of Six-Degree-of-Freedom Underwater Robot
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 183/200 | Learning Device-Agnostic Control Policy for Hip Exoskeletons via Sim-to-real Reinforcement Learning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 184/200 | Dynamic-Flooding Transformer Ensembles for Reinforcement-Learning-Based Equity Market Timing
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 185/200 | Symbolic Energy Analysis for Nested Loop Accelerators
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 186/200 | CoTrack-LIO: A Dual-Track LiDar-Inertial SLAM for Dynamic Environments
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 187/200 | Enhancing Throughput for Wi-Fi 7 MLO With Shared Block ACK in MLD-SLD Coexisting Networks: An Airtime Alignment Approach
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 188/200 | Cooperative Teaching Optimization for Multi-Satellite Multi-Calibration-Satellite Mission Planning
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 189/200 | Robust RSMA-OTFS Design in LEO Satellite Communications with Practical Delay-Doppler Impairments
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 190/200 | Global Motion-Based Adaptive Composite Long-Term Reference Design for Surveillance Video Coding
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 191/200 | Zero-Shot Diagnosis of Gearboxes Based on Multi- View Feature Extraction and Heuristic Virtual Sample Generation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 192/200 | A Compression Method and Analysis for Low-SNR SAR Images Based on Entropy Reduction and Rate-Distortion
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 193/200 | Achieving Uniform Radial Compression: An In Vitro Intestinal Motility Simulator for the Evaluation of Intestinal Robots
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 194/200 | PASTE: A Physical-Aware Surrogate for FPGA Pre-Routing Timing Estimation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 195/200 | Scu: an Sfq Co-Design for Bit-Vector Approximate Matching in Genome Alignment
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 196/200 | Site-Aware Applicability-Domain-Guided Selective Prediction for Atmospheric Corrosion Under Environmental Domain Shift
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 197/200 | Static Strength Assessment of Aircraft Stiffened Panels Based on Graph Attention Network and Multiattribute Decision-Making
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 198/200 | It Works, But Why? A Case Study of Artifact Consumption in Machine Learning Systems
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 199/200 | A Photovoltaic Cell Defect Detection Method Based on Improved RT-DETR
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 200/200 | DiMoP: Diffusion-Driven Motion Representation Learning With Frame-Level Pseudo-Classification for Skeleton-Based Action Recognition
筛选完成：共 200 篇；Yes = 0 篇；已保存到 papers/select_paper2026-09-23.json。
邮件发送成功！
[2026-09-24 14:02:33] 任务执行成功！
