[2025-12-03 09:14:25] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-02
正在获取论文...
[arXiv] 2025-12-02 | On the ellipticity of the higher rank numerical range
[IEEE] 2025-12-2 | Developing a performance measure for a Direct Current Electric Vehicle Charger
[IEEE] 2025-12-2 | Eradication of Electro-ocular EEG Artifacts Using Dyadic Boundary specific Filter-Bank Hybrid Approach
[IEEE] 2025-12-2 | Decentralized Tiny Ensemble Learning for Privacy-Preserving Compliance Prediction in Operating Room Environments
[IEEE] 2025-12-2 | Bridging High-Capacity Short-Reach Optical Interconnects Over C + L-Band AR-HCF with 200 Gb/s/λ and Beyond
[IEEE] 2025-12-2 | Performance Evaluation of Digital Multipliers for Application in Neural Network Accelerators
[IEEE] 2025-12-2 | Cybersecurity Challenges and Vulnerabilities in Grid-Tied PV System
[IEEE] 2025-12-2 | SAFAAI: Deep Learning and Incentivized Recycling in an IoT Smart Bin Ecosystem
[IEEE] 2025-12-2 | VLSI Architecture Implementation of Selective Level Skip Discrete Wavelet Transform for Efficient Lossy Image Compression
[IEEE] 2025-12-2 | Performance analysis of non-mechanical hydrogen compressor based on LaNi
                    <sub>4.7</sub>
                    Mn
                    <sub>0.3</sub>
                    and La
                    <sub>0.9</sub>
                    Ce
                    <sub>0.1</sub>
                    Ni
                    <sub>5</sub>
                    metal hydrides
[IEEE] 2025-12-2 | Corn Leaf Disease Detection using Inception
[IEEE] 2025-12-2 | Mission Profile Based Component-Wise Reliability Assessment of Grid-Connected Transformer-Based Nine-Level Multilevel Inverters
[IEEE] 2025-12-2 | Simulation Study on the Performance of Frequency Self-Adjusting Piezoelectric Vibration Energy Harvester
[IEEE] 2025-12-2 | A Multi-Modal Approach to Lip Reading: LLM-Augmented AutoAVSR Systems
[IEEE] 2025-12-2 | Source Transformation Based Parameter Tuning for DSLCC Compensated WPT for CC-CV Operation with ZPA
[IEEE] 2025-12-2 | Non-linear Energy Operator and Multisynchrosqueezing Transform aided Multi-stage Anxiety Detection from ECG Signals
[IEEE] 2025-12-2 | Enhancing Brain MRI Super-Resolution: A Comparative Study of DCNN, GAN, and Vision Transformer Models
[IEEE] 2025-12-2 | Small Object Detection in High-Resolution Aerial Images: A Cascaded Zoom-In Detection Method Based on Adaptive Cropping and Score Enhancement
[IEEE] 2025-12-2 | Simulation Study on the Influence of Surface Curvature on the Mechanical Performance of Triply Periodic Minimal Surface Scaffolds
[IEEE] 2025-12-2 | Effective Unconstrained Face Recognition from Images Using RFG: A review
[IEEE] 2025-12-2 | A Single Input Dual Output DC-DC Converter for SRM Driven Solar Water Pump System
[IEEE] 2025-12-2 | Widely Linear Momentum LMS Based Control Algorithm for Dual Stage SPVA Grid Coupled System With DAB
[IEEE] 2025-12-2 | Performance Comparison of Gaussian and Weibull Distribution for Next-Day Solar Irradiance and PV Power Generation Forecasting
[IEEE] 2025-12-2 | On the Growth of SrMoO
                    <sub>3</sub>
                    Films for UV-C LEDs Applications: Deposition Issues and Solutions
[IEEE] 2025-12-2 | SOH Modulators Enable Ultra-Low Power Consumption and High Bandwidth Scaling in Silicon Photonics
[IEEE] 2025-12-2 | Research and Implementation of Personalized Learning Path Recommendation Model Based on KNN Algorithm
[IEEE] 2025-12-2 | On the Contact Scaling and Issues of 2D Material Contacts
[IEEE] 2025-12-2 | Quantum Generative Adversarial Network for Network Traffic Prediction
[IEEE] 2025-12-2 | A Local Fault Detection Technique for DC Microgrid Using DC Components
[IEEE] 2025-12-2 | A New Approach to Discrete Linear Filter Design Using Metaheuristic Algorithms and Convolutional Techniques
[IEEE] 2025-12-2 | A Novel Model for Air Quality Prediction With Graph Convolutional Networks and Transformers
[IEEE] 2025-12-2 | Dynamic Modeling and Sensitivity Decoupling Control of a Macro-Micro Positionin Stage
[IEEE] 2025-12-2 | Time Driven and IoT Enabled Remote Controller for IR-Based Legacy Electronic Appliances
[IEEE] 2025-12-2 | Achieving Completeness in Multicore Interference Channel Identification
[IEEE] 2025-12-2 | Anti-Drosophila Habituation Clustering for Enhanced Anomaly Detection in Data Streams
[IEEE] 2025-12-2 | Addressing the Pollination Crisis: the Current Situation and Prospects of Ground Pollination Technologies
[IEEE] 2025-12-2 | YOLO-MSFF: A Multi-Scale Feature Fusion-Based Improved Algorithm for Ship Detection
[IEEE] 2025-12-2 | Transformer-Based Vertical Profile Optimization and Fuel Consumption Reduction
[IEEE] 2025-12-2 | Grape Leaf Disease Classification Based on Convolutional Neural Networks
[IEEE] 2025-12-2 | Run Time Assurance for a Hybrid Actuated Fly-by-Wire Aircraft: A Control Barrier Function Approach
[IEEE] 2025-12-2 | Ad Hoc LLM-to-LLM Evaluation Framework
[IEEE] 2025-12-2 | TS-WTAL: A Two-Stage Framework for Weakly Supervised Temporal Action Localization
[IEEE] 2025-12-2 | Radar Detection and Tracking Method for Extended Target Based on Closed-Loop Feedback
[IEEE] 2025-12-2 | A Conceptual Framework for Applying Large Language Models in Smart Grid Cybersecurity
[IEEE] 2025-12-2 | Automatic Identification of Insulation Defects by Combining Image Processing and Artificial Intelligence
[IEEE] 2025-12-2 | Research on Performance Optimization of Aerospace Optoelectronic Materials Based on Computer Simulation
[IEEE] 2025-12-2 | DPCoinShuffle: A flexible coin mixing protocol for enhanced blockchain privacy
[IEEE] 2025-12-2 | Effect of Local Additive Manufacturing of Heterogeneous Alloys on the Performance of Flexible Tip Stage
[IEEE] 2025-12-2 | GAIT- Based Authentication: A New Step to Verification
[IEEE] 2025-12-2 | Impact of Relative Permittivity on Four Wave Mixing (FWM) in Non Linear Kerr Materials for Wavelength Division Multiplexing (WDM) Applications
[IEEE] 2025-12-2 | Analysis of Brand Image Communication in Historical and Cultural Neighborhoods from the Perspective of Place Attachment
[IEEE] 2025-12-2 | Sign Language Interpretation Using Hand Gestures
[IEEE] 2025-12-2 | Multi-stakeholders Perspective for Smart Scheduling of Electric Vehicles
[IEEE] 2025-12-2 | Characteristic Parameters Calculation of Shielded Two-Wire Line in Multilayer Dielectric Medium
[IEEE] 2025-12-2 | AI System for Arabic Deepfake Detection
[IEEE] 2025-12-2 | Optimal Deception in Cognitive Radio Security: A Joint Nash Equilibrium Approach to Rate Adaptation and Frequency Hopping Under Jamming
[IEEE] 2025-12-2 | Femtosecond Laser Processing of Surfaces for Health-Related Applications
[IEEE] 2025-12-2 | Secretary Bird Optimization based PV Reconfiguration for Maximum Power Extraction
[IEEE] 2025-12-2 | Impacts of Phase Noise on M-ary QAM THz Wireless Communications
[IEEE] 2025-12-2 | Trustworthy Machine Learning: Conformance Constraints for Enhancing Data Explainability
[IEEE] 2025-12-2 | Design of autonomous navigation and path replanning algorithm for power inspection robot
[IEEE] 2025-12-2 | Algorithm Using Machine Learning Open-Source Tools to Identify Handwritten Numbers: An Application in Aviation Maintenance
[IEEE] 2025-12-2 | Quantum-Aware Large Language Models: Taxonomy, Architectures, and Future Applications
[IEEE] 2025-12-2 | Designing an Optimised Gearbox for Energy-Efficient Electric Three-Wheelers
[IEEE] 2025-12-2 | Secure and Scalable AI Pipelines for Network Automation in Highly Regulated SaaS Environments
[IEEE] 2025-12-2 | Augmented Reality in Industry 5.0: Customizing Production to Optimize Operational Processes and Technical Training of Operators
[IEEE] 2025-12-2 | Deriving Safety-related Performance Requirements for Machine Learnt Aeronautical Applications
[IEEE] 2025-12-2 | Predicting User Immersion in Virtual Reality with Multiple Machine Learning Algorithms-based Ensemble Model
[IEEE] 2025-12-2 | Research on the application of multimodal emotion recognition based on deep neural network in human-computer interaction
[IEEE] 2025-12-2 | A High-Performance DC-DC Boost Converter with Enhanced Voltage Gain for Renewable Energy
[ACM] 2025-12-2 | Exploring the Emotional Effects of Enhanced Interoception via Heartbeat-Synchronized Haptic Feedback
[ACM] 2025-12-2 | S
                    <scp>pike</scp>
                    T
                    <scp>ouch</scp>
                    : Optimizing Spike Neural Networks for Tactile Perception
[ACM] 2025-12-2 | Hierarchical Human-UAV Cooperative Task Allocation for Spatiotemporal Crowdsensing in Disaster Response
[ACM] 2025-12-2 | Rethinking WiFi-based Angle Estimation for Robust Passive Indoor Localization
[ACM] 2025-12-2 | LIFETRACE: A Longitudinal Multimodal Dataset on Daily Physical Activity, Well-Being, and Habits
[IEEE] 2025-12-2 | A Packaged Eight-Channel I/Q Receiver in 65-nm CMOS With Microstrip-to-Waveguide Transition for D-Band Applications
[IEEE] 2025-12-2 | A Knowledge Intelligent Fault-tolerant Soft Robotic Operation Framework for Alterable Grasp Configuration Soft Gripper_supp1-3634324.docx
[IEEE] 2025-12-2 | Listening for “You”: Enhancing Speech Image Retrieval via Target Speaker Extraction
[ACM] 2025-12-2 | Multi-Sensor Fusion for Indoor Smartphone Localization with Attention Mechanism
[IEEE] 2025-12-2 | Copyright Page
[ACM] 2025-12-2 | <i>IMUZero:</i>
                    Zero-Shot Human Activity Recognition by Language-Based Cross Modality Fusion
[ACM] 2025-12-2 | CornerSense: Virtual Path-Augmented WiFi Sensing for Human Proximity Detection Around Corners on Mobile Robots
[ACM] 2025-12-2 | TourismMinds: A Geo-augmented LLM Framework for Semantic-aware Trajectory Analytics and Generation
[ACM] 2025-12-2 | WiMU: Real-time Indoor Localization via Wi-Fi/IMU Fusion with Minimal Site Survey
[ACM] 2025-12-2 | Proceedings of the 26th International Middleware Conference Tutorial Track
[ACM] 2025-12-2 | Semantic Anomaly Detection in Human Trajectories: Preserving Behavioral Patterns Through Calendar Representations
[ACM] 2025-12-2 | SONAR Web: A Platform-Agnostic Framework for Real-Time Decentralized Learning Across Heterogeneous Edge Clients
[ACM] 2025-12-2 | Capturing Shared and Unique Information in Multimodal Region Representations for Urban Mobility Prediction
[IEEE] 2025-12-2 | Passive BLE Backscatter with Low-Frequency-Shift and Duration-Controllable CW Excitation via Commercial Chips
[ACM] 2025-12-2 | PocketMap: An Interaction-centric 3D Map Serving System for Spatial Understanding on Mobile Devices
[IEEE] 2025-12-2 | Efficient Romanian Dialect Identification in Low-resource conditions using Transfer-Learning and Metric-Learning
[IEEE] 2025-12-2 | Plasma-Activated Hydrogel Mask for Acne Treatment
[IEEE] 2025-12-2 | StableV2V: Stabilizing Shape Consistency in Video-to-Video Editing
[IEEE] 2025-12-2 | Adaptive Thermal Management of Implantable Medical Devices
[IEEE] 2025-12-2 | Learning Deep ISP for High-Speed Cameras: Achieving DSLR-Quality Imaging Under High Frame Rates_supp2-3637771.mp4
[IEEE] 2025-12-2 | Flexible Inter- and Intra-Switching Plane Resource Allocation in Data Center Networks
[IEEE] 2025-12-2 | An Efficient EMI Reduction Method Through Harmonic Magnetic Field Balancing in Electric Vehicle Wireless Power Transfer System
[IEEE] 2025-12-2 | Production Timing and Technology Licensing Under Competition and Demand Uncertainty
[ACM] 2025-12-2 | Heterogeneous Multi-agent Multi-armed Bandit on Stochastic Block Models
[IEEE] 2025-12-2 | Flight Centric ATC: Reshaping the Supervisor Role
[IEEE] 2025-12-2 | Sales Forecasting for Combined Merchandise Based on Association Rules in Supermarkets Using the Newsvendor Model
[IEEE] 2025-12-2 | Research on a Closed-Loop Self-Optimizing Electrochemical Synthesis System Based on Physics-Informed Neural Networks
[IEEE] 2025-12-2 | Experimental and SPICE-Based Modeling of NBTI and SHE in Power P-Channel VDMOS Transistors
[IEEE] 2025-12-2 | Nanomechanical and Optical Properties of Polyetherimide-Based Composite
[IEEE] 2025-12-2 | Microscale Intrinsic Fiber Photothermal Spectroscopy Gas Sensing
[IEEE] 2025-12-2 | Engineering Design and Educational Application of Maijishan and Dunhuang Grottoes Restoration Blind Boxes
[IEEE] 2025-12-2 | Multi-day Forecasting of Electricity Carbon Intensity in China: A Comparative Analysis of Machine Learning Approaches for Low-Carbon Policy Support
[IEEE] 2025-12-2 | Ecological Carbon Sink and Economic Valuation for Binggou River Scenic Area
[IEEE] 2025-12-2 | Compact Three-Section Mode Converter for Highlyefficient Light Coupling Between Glass Waveguide and Integrated Silicon Waveguide
[IEEE] 2025-12-2 | A Lightweight Next-Unet Algorithm for Longdistance Speech Enhancement
[IEEE] 2025-12-2 | Robust VI-based Type-II Fuzzy-TID Control strategy for frequency monitoring of an Islanded AC Microgrid
[IEEE] 2025-12-2 | Drain Current Modeling in Tree-FETs Using Feedforward Neural Networks
[IEEE] 2025-12-2 | Hybrid SVM-XGBoost Model for Cancer Prediction: A Comparative Study of Classification Algorithms
[IEEE] 2025-12-2 | Performance and Error Analysis of SOC Estimation Approach for Battery-Powered Electric Vehicles
[IEEE] 2025-12-2 | Leveraging Large Language Models and Database Integration for Compensating Micro-Anomaly in Automated SoC Verification
[IEEE] 2025-12-2 | A Numerical Approach of Reduction exploiting Reciprocated Differentiation Based Approximation for Electric Vehicle System
[IEEE] 2025-12-2 | Optimized SS-PIDA Control Approach based Frequency Regulation in an Interconnected Power Systems
[IEEE] 2025-12-2 | A Study of Piezoelectric Sensors For Bio-Medical Applications
[IEEE] 2025-12-2 | Efficient Temperature Forecasting for High-Temperature Data Centers
[IEEE] 2025-12-2 | A Real-Time Fall Detection System Based on Vision
[IEEE] 2025-12-2 | Model Construction of Machine Vision in Automated Processing of Financial Documents
[IEEE] 2025-12-2 | Sliding Mode Control for Frequency Support in an Electric Vehicle Integrated Single-area Power System
[IEEE] 2025-12-2 | Enhanced High-Gain DC-DC Converter fed Drive System for Performance Advances in Carbon Neutral Energy
[IEEE] 2025-12-2 | A Hybrid LSTM-LGBM Approach for Optimized Electric Vehicle Charging Demand Forecasting
[IEEE] 2025-12-2 | Blind Detection of Image Splicing via Noise Level Functions with Three Channels of RGB
[IEEE] 2025-12-2 | Analysis of the Importance of Cognitive Risk Factors in Professional RPAS Operations
[IEEE] 2025-12-2 | Machine Learning based Multi-constellation Satellite Selection Algorithm in Urban Area
[IEEE] 2025-12-2 | Bio-Inspired Swarm Intelligence for Adaptive Route Optimization in Dynamic Environments
[IEEE] 2025-12-2 | BERTDiseComp: A Clinical Language Model for Detecting Disease Complications in EHRs
[IEEE] 2025-12-2 | An Algorithm for Determining and Reducing Durations During the Management and Reconfiguration of High-Availability Distributed Systems in NGN, Full IP, Edge Computing, Cloud Computing and AI Infrastructures
[IEEE] 2025-12-2 | A Safety-Critical Control System for RPAS or UAS of the Category “Certified”
[IEEE] 2025-12-2 | A Super-Resolution Technology Based on Introducing the Mona Module into the Backbone of the Swin-Transformer of the SinSR Model
[IEEE] 2025-12-2 | Research on Countermeasures for Low Accuracy of Automated Meter Reading in Qinghemen Area
[IEEE] 2025-12-2 | Integrated Planning of EV Infrastructure and Distributed Generators Using Hybrid Algorithm
[IEEE] 2025-12-2 | Deep Learning Based Multi Class Epithelial Ovarian Cancer Classification From Histopathological Images
[IEEE] 2025-12-2 | ML-DaaS: An Integrated ML Training and Deployment Framework for Hybrid Cloud
[IEEE] 2025-12-2 | Performance Evaluation of the Julia Language for Recursive Solution Methods
[IEEE] 2025-12-2 | A Novel Coil Design Considerations for Wireless Charging under Vehicle-to-Vehicle technology
[IEEE] 2025-12-2 | On Robust Communication for Next-Gen Vehicle Platooning
[IEEE] 2025-12-2 | Generation of Correlated Photon Pairs in Modal Phase-Matched Lithium Niobate Nanowaveguide
[IEEE] 2025-12-2 | Enhanced Brain Tumor Detection: Imposing Ensemble Machine Learning with Maximum Voting
[IEEE] 2025-12-2 | An Enhanced Authentication Solution for Infrastructureless Vehicle Environments
[IEEE] 2025-12-2 | Real-Time Target Classification using mmWave Radar through Statistical Analysis of 1D FFT Data
[IEEE] 2025-12-2 | A Lightweight Face Quality Assessment Framework to Improve Face Verification Performance in Realtime Screening Applications
[IEEE] 2025-12-2 | Voronoi-Based Task Allocation and Dynamic Role Reassignment in Swarm Robotics Using ROS 2 DDS
[IEEE] 2025-12-2 | Towards Smart Agriculture: Deep Learning for Tea Plant Disease Identification
[IEEE] 2025-12-2 | Blood Cell Detection: A Review
[IEEE] 2025-12-2 | Research on Optimization Scheduling Scheme for Electric Vehicle Charging and Discharging Based on Advanced Particle Swarm Optimization Algorithm
[IEEE] 2025-12-2 | Identification of Diabetic foot ulcer using thermogram with Shallow and Deep Learning Techniques
[IEEE] 2025-12-2 | The Electrospinning of Resveratrol Encapsulated into the Matrix Based on Hyaluronic Acid
[IEEE] 2025-12-2 | A Mathematical Approach for Detecting Electricity Theft Cyber-Attacks in Distributed Generation
[IEEE] 2025-12-2 | A Carbon Emission Reduction Enhancement Framework for Tourism Routes Based on Time Window Optimization
[IEEE] 2025-12-2 | Airborne Optical Sensing: Implementing a Context-Sensitive Object Detection System for Multi-Target Tracking
[IEEE] 2025-12-2 | A Fire Allocation Model Based on an Improved Genetic Algorithm
[IEEE] 2025-12-2 | Enterprise bankruptcy prediction algorithm based on graph neural network
[IEEE] 2025-12-2 | Deep Learning for Sustainable Tourism: Enhancing Visitor Experience and Promoting Lesser-Known Heritage Sites in Bishnupur
[IEEE] 2025-12-2 | Integration of Software-Defined Radios for Avionics into a Multi-Core IMA Architecture
[IEEE] 2025-12-2 | Secure and Scalable Data Integrity Verification for Multi-Cloud Storage Using Blockchain-Integrated IPFS
[IEEE] 2025-12-2 | RAG-Based Video Knowledge Retrieval: A Vector Database Approach to Video Summarization and Timestamped Q&amp;A
[IEEE] 2025-12-2 | Doppler-Assisted Automotive Radar Data Clustering Under Micro-Doppler Effect
[IEEE] 2025-12-2 | Graph Neural Network Decoding of Surface Codes with Diagonally Correlated Two-Qubit Z Errors
[IEEE] 2025-12-2 | The Design and Implementation of Interactive Games Based on Unity3D
[IEEE] 2025-12-2 | LFC of Two-Area Hybrid Power System Using AEPSO-Based PID Controller
[IEEE] 2025-12-2 | A Brain-Inspired Intelligent Control Approach for Grid-Connected Hybrid Solar-Wind Energy Systems
[IEEE] 2025-12-2 | Application of electrical image enhancement technology in defect recognition using generative adversarial networks
[IEEE] 2025-12-2 | Fuel-Efficient Safe and Secure Formation Flying in Commercial Air Traffic: Procedures, Sensor Fusion, and Communication Strategies
[IEEE] 2025-12-2 | Mask Detection for Smart Tourism: Enhancing Yolov5s with CBAM to Improve Public Safety in Tourist Attractions
[IEEE] 2025-12-2 | Modeling and Control of Single-Phase PLL using Enhanced Extended State Observer
[IEEE] 2025-12-2 | Short-Circuit Analysis of Droop-Controlled Islanded AC Microgrids
[IEEE] 2025-12-2 | Explainable Machine Learning for Environment-Aware Channel State Prediction in UAV-Based 6G Networks
[IEEE] 2025-12-2 | Research Progress on Myopia Control Based on Eyeball Wall Tissue
[IEEE] 2025-12-2 | Fault Localization in DG-Integrated Radial Distribution Network Using ANN-Enhanced Impedance Method
[IEEE] 2025-12-2 | Enhanced Solar Irradiance Forecasting Using Hybrid Models and Image Processing*
[IEEE] 2025-12-2 | Comparative Study of Various 4x1 MUX using Different Logic Families
[IEEE] 2025-12-2 | Design and Development of a Microstrip Patch Monopole Antenna for 3.4 GHz Spectrum with Forensic Electromagnetic Detection Applications
[IEEE] 2025-12-2 | Power Grid Upgrade Scheme under Clean Power Access Based on Multi-objective Optimization Algorithm
[IEEE] 2025-12-2 | Performance Evaluation of an Indigenous Density Matrix Quantum Computer Simulator for Scalable Workloads
[ACM] 2025-12-2 | Trust(worthiness) Issues with Trust in Human-Robot Interaction
[ACM] 2025-12-2 | Enhancing Adaptive Personalized Learning Interfaces with Generative AI for Individuals with ADHD
[ACM] 2025-12-2 | Scalable Urban Air Quality Monitoring: Generalizable Calibration Models for Cross-City Sensor Deployment
[ACM] 2025-12-2 | Data-Driven Clustering and Classification of Outage Patterns with Insights into their Links to Extreme Events
[ACM] 2025-12-2 | Enabling Real-Time Monitoring of Wound Exudate Status through On-Tag RF Computing
[IEEE] 2025-12-2 | Solitary Chaotic Semiconductor Laser Diode for Parallel Random Number Generation and Optical Decision Making_supp1-3638423.docx
[IEEE] 2025-12-2 | Reconstruction Enhanced Prototype Network for Hyperspectral Image Open-Set Classification
[IEEE] 2025-12-2 | Secure Q-Learning of Fuzzy Markov Jump Systems Under Malicious Attacks: A Homotopic Scheme
[IEEE] 2025-12-2 | Direct Uplink Connectivity in Space MIMO Systems With THz and FSO Intersatellite Links
[IEEE] 2025-12-2 | 2025 IEEE 5th International Conference on Sustainable Energy and Future Electric Transportation (SEFET)
[ACM] 2025-12-2 | Three Birds with One Stone: Improving Performance, Convergence, and System Throughput with NEST
[ACM] 2025-12-2 | Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Geospatial Anomaly Detection
[ACM] 2025-12-2 | This Is INSANE! Kernel-Bypass Networking Finally Made Easy
[ACM] 2025-12-2 | FedPETv1: Edge-Aware Federated Learning with Differential Privacy for Distributed Medical Diagnostics
[IEEE] 2025-12-2 | Proceedings
[IEEE] 2025-12-2 | Title Page
[IEEE] 2025-12-2 | Machine Learning-Based Prediction of Gas Discharge Electrode Structures Using Electroacoustic Signals
[IEEE] 2025-12-2 | Copyright Page
[IEEE] 2025-12-2 | Implications of Public Charging Stations with Pay-Per-Use Service Mode on Electric Vehicle Adoption_supp1-3637399.doc
[IEEE] 2025-12-2 | MIEL 2023 Best Paper Awards
[IEEE] 2025-12-2 | TCNet: Topological Consistency Network for Hyperspectral and Multispectral Image Fusion
[IEEE] 2025-12-2 | QMIP: Enhancing Multi-Agent Reinforcement Learning Coordination Through Macro Intention Prediction
[IEEE] 2025-12-2 | Arbitrarily Small Execution-Time Certificate: What was Missed in Analog Optimization
[IEEE] 2025-12-2 | Managing Interplant Competition in Prickly Pear Cactus Fields Using Microwave Technology
[IEEE] 2025-12-2 | Rapid Detection of Multiple Chemical Residues in Pure Cotton Fabric Using Hyperspectral Imaging and Deep Learning
[IEEE] 2025-12-2 | IEEE Sensors Journal Publication Information
[IEEE] 2025-12-2 | Reinforcement Learning-Based IT-2 Fuzzy Fractional-Order Sliding Mode Control for Leader-Follower Formation Tracking of Flexible-Joint Robots
[ACM] 2025-12-2 | From Coarse to Fine: Fast and Effortless Facial Landmark Detection via mmWave Signals
[ACM] 2025-12-2 | Wi-Hand: 3D Hand Mesh Construction Using WiFi
[IEEE] 2025-12-2 | Resonator Based on a Single ZnO Nanorod
[IEEE] 2025-12-2 | Design and Implementation of Conditional Transition Reduction Data Encoding for VLSI Power Optimization
[IEEE] 2025-12-2 | Tourist-Tourist Interaction in Experience Co-Creation by Chinese Outbound Tourists: The Role of Cultural Operant Resources
[IEEE] 2025-12-2 | Performance Improvement of Solar Still Desalination System
[IEEE] 2025-12-2 | Enviro-Friendly BioSorbents for Energy Storage Applications: An Overview
[IEEE] 2025-12-2 | Adaptive Mobility Control in LoRaWAN via Reinforcement Learning
[IEEE] 2025-12-2 | Towards a Serverless Intelligent Firewall: AI-Driven Security, and Zero-Trust Architectures
[IEEE] 2025-12-2 | Modeling and Performance Analysis of a Fuel Cell System Under Pressure Variations
[IEEE] 2025-12-2 | DeepRet: Residual Network for Effective Classification of Fundus Images
[IEEE] 2025-12-2 | Fabrication of Hybrid Si Microwires-Holes Arrays for Emerging Applications
[IEEE] 2025-12-2 | Investigating the Effects of Irradiation on the Performance of Carbyne-Based Surface Acoustic Wave Sensors
[IEEE] 2025-12-2 | A Two-Stage MPPT Control Strategy For Standalone SPV System Based on FLC and VSG Control
[IEEE] 2025-12-2 | Research on image synthesis algorithm based on depth generation model
[IEEE] 2025-12-2 | Next Aircraft Hyperconnected System Platform
[IEEE] 2025-12-2 | Agent-Based Modeling for Strategic Flight Delay Prediction in Multi-Layered Airport Network
[IEEE] 2025-12-2 | Evaluation of fast charging protocols for battery pack module under natural convection cooling
[IEEE] 2025-12-2 | Design and Simulation of Efficient Adders in 14nm FinFET Technology
[IEEE] 2025-12-2 | Techno-Economic Feasibility of RE-based EV Charging Stations: A Case Study of Jaipur, India
[IEEE] 2025-12-2 | Remote International Exchange in Mathematics Education: Evaluating the Educational Impact of Real-Time Translation Technology Using Zoom
[IEEE] 2025-12-2 | Abnormal behavior detection method for medium and low voltage power grid based on autoencoder and migration mechanism
[IEEE] 2025-12-2 | Detection and Discrimination of Power Swings and Faults Using DWT, EMD, and VMD
[IEEE] 2025-12-2 | Demonstration of Automated Payment Gateway Based Electric Vehicle Charging System
[IEEE] 2025-12-2 | Small Target Vehicle Detection Algorithm for UAV Based on Improved YOLOv11
[IEEE] 2025-12-2 | Natural Language Understanding for Air Traffic Control – How Much Information is Lost Over the Atlantic?
[IEEE] 2025-12-2 | Free Route Airspace Trajectory Planning Using Conditional Diffusion Model
[IEEE] 2025-12-2 | Smart Real-Time Obstacle Avoidance for Planetary Rovers Using Ultrasonic Sensing: Design, Hardware Integration, and Validation
[IEEE] 2025-12-2 | A Precise, Fast, and Accurate Time-Varying Method of Frequency Estimation
[IEEE] 2025-12-2 | Identification and Quantification of Customer-Induced Harmonic Distortion at PCC Using Non-Fundamental Apparent Power
[IEEE] 2025-12-2 | Small Signal Analysis and Closed-Loop Design of Constant Frequency Operated Single-Stage Bidirectional PFC-Based Converter for Plug-in G2VEV Charger
[IEEE] 2025-12-2 | Optimal Scheduling of Battery Swapping Stations Serving E-Buses with Ancillary Services Markets
[IEEE] 2025-12-2 | A Real time Performance study of Aluminium Oxide-based Spectral Splitting in De-coupled Photovoltaic/Thermal System
[IEEE] 2025-12-2 | Designing a Two-Stage PV-PEM Electrolyser with Sliding Mode Converter Control
[IEEE] 2025-12-2 | Unseen Attacks Identification in Intrusion Systems Using BERT and Logit Normalization
[IEEE] 2025-12-2 | Multi-Factor Modeling and Simulation of Firefighting Aircraft in Wildfire Flight Environment
[IEEE] 2025-12-2 | Hybridized PSO-ACO Algorithm for Optimized VLSI Placement: Focusing on Area and Wirelength
[IEEE] 2025-12-2 | Signal Integrity Analysis of DDR4 Design in Avionics Systems: A Comparative Study of Simulation-Measurement Correlation Between EDA Tools
共写入 1756 条记录，保存到 papers/paper2025-12-02.json。
论文获取成功，文件路径: papers/paper2025-12-02.json
正在筛选、翻译并发送邮件...
[NO] 1/1756 | On the ellipticity of the higher rank numerical range
[NO] 2/1756 | BEVDilation: LiDAR-Centric Multi-Modal Fusion for 3D Object Detection
[NO] 3/1756 | Singular $α$-attractors
[NO] 4/1756 | A Lightweight Real-Time Low-Light Enhancement Network for Embedded Automotive Vision Systems
[NO] 5/1756 | Probing the Microscopic Origin of Toughness in Multiple Polymer Networks
[NO] 6/1756 | Spinons and Spin-Charge Separation at the Deconfined Quantum Critical Point
[YES] 7/1756 | The Evolutionary Ecology of Software: Constraints, Innovation, and the AI Disruption
[NO] 8/1756 | Exceptional Point Dynamics in Photonic Time Crystals for Enhanced Optical Sensing
[NO] 9/1756 | From Administrative Chaos to Analytical Cohorts: A Three-Stage Normalisation Pipeline for Longitudinal University Administrative Records
[NO] 10/1756 | Time-series forecasting with multiphoton quantum states and integrated photonics
[NO] 11/1756 | Congruences for the ratios of Rankin--Selberg $L$-functions
[NO] 12/1756 | On the distribution of very short character sums
[NO] 13/1756 | FluxLab: Creating 3D Printable Shape-Changing Devices with Integrated Deformation Sensing
[NO] 14/1756 | In Silico Development of Psychometric Scales: Feasibility of Representative Population Data Simulation with LLMs
[NO] 15/1756 | Imperfect molecular detection renormalizes apparent kinetic rates in stochastic gene regulatory networks
[NO] 16/1756 | Tunable giant Purcell enhancement of quantum light emitters by means of acoustic graphene plasmons
[NO] 17/1756 | Fast-Decoding Diffusion Language Models via Progress-Aware Confidence Schedules
[NO] 18/1756 | SDQC: Distributed Quantum Computing Architecture Utilizing Entangled Ion Qubit Shuttling
[NO] 19/1756 | Correcting for sampling variability in maximum likelihood-based one-sample log-rank tests
[NO] 20/1756 | Symbolic ω-automata with obligations
[NO] 21/1756 | Taming Camera-Controlled Video Generation with Verifiable Geometry Reward
[NO] 22/1756 | MICCAI STSR 2025 Challenge: Semi-Supervised Teeth and Pulp Segmentation and CBCT-IOS Registration
