[2025-12-24 09:14:32] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-23
正在获取论文...
[arXiv] 2025-12-23 | Avoiding the Price of Adaptivity: Inference in Linear Contextual Bandits via Stability
[IEEE] 2025-12-23 | Ultra-Short-Term Forecasting of Distributed Photovoltaic Based on Multivariate Interpolation and Electrical Clustering
[IEEE] 2025-12-23 | Multi-USV Collaborative Energy-Efficient Regional Coverage Path Planning
[IEEE] 2025-12-23 | Efficient Vision Transformers Optimized with Pruning and Quantization for HMD
[IEEE] 2025-12-23 | Privacy and Security in Decentralized Cyber-Physical Systems: A Survey
[IEEE] 2025-12-23 | Optimal Scheduling of Hybrid Pumped Storage Considering Peak-Shaving and Flexibility Enhancement
[IEEE] 2025-12-23 | Power Coordination Control in Distribution Transformer Areas to Enhance the Integration Capacity of High-Penetration Distributed Photovoltaic
[IEEE] 2025-12-23 | Lightning Induced Effect on Solar PV Systems Due to Lightning Discharges
[IEEE] 2025-12-23 | Evaluating the Use of Biometric Tools for Securing Computer Systems in Congolese Academic Institutions
[IEEE] 2025-12-23 | Fault-Tolerant Control Strategy for Active Steering in Distributed Drive Electric Vehicles Facing In-Wheel Motor Failure
[IEEE] 2025-12-23 | The Cost-Effective Frontier: Optimal IMU Selection for UAV Navigation via Q-R-IMU Triad Coupling Analysis
[IEEE] 2025-12-23 | Hybrid Retrieval Enhancement and Domain Prompt Guidance Based Auxiliary Decision-Making for Differentiated Scenarios in Power Equipment Operation and Maintenance
[IEEE] 2025-12-23 | A Systematic Review of AI-Based Image Processing Techniques for Colon Cancer Diagnosis
[IEEE] 2025-12-23 | Post-Stall Maneuver Attitude Control for Tailless Aerial Vehicle with Thrust Vectoring
[IEEE] 2025-12-23 | Utilizing SPAISE3 for Maritime Monitoring over the Indian Ocean and Neighboring Regions
[IEEE] 2025-12-23 | Counter-Adversarial Learning with Inverse Interactive Multiple Model Kalman Filter
[IEEE] 2025-12-23 | Hosting Capacity Assessment of Distributed Renewable Energy Resources Integrated into Distribution Networks Via Microgrids
[IEEE] 2025-12-23 | A Two-Tier Secure Federated Learning Framework with Lightweight Cryptography for Edge-Cloud Collaboration
[IEEE] 2025-12-23 | Research on the Control Method of DC Microgrid with Multi-Module Pulse Load
[IEEE] 2025-12-23 | Blockchain Throughput Optimization under Computational Constraints: Bayesian Optimization Study on Acquisition Functions
[IEEE] 2025-12-23 | ΛI-Architecture: A Software Design Model Demonstrated on the Example of an Electrical Equipment Diagnostic System
[IEEE] 2025-12-23 | Selecting the appropriate Digital Elevation Model (DEM) for flood inundation modelling: Insights from Two Indian Coastal Cities
[IEEE] 2025-12-23 | A Cognition-Driven Multi-vehicle Cooperative Decision-Making Approach under Complicated Highways
[IEEE] 2025-12-23 | Research on Outlier Detection for Retired Batteries Based on Variational Autoencoder
[IEEE] 2025-12-23 | DCAS-EMAdp: Small Space Object Detection with Lightweight DCAS and Directional-Pooling Enhanced EMA
[ACM] 2025-12-24 | Cloud-Based Phishing Awareness Analyzer for Automated User Training and Assessment
[ACM] 2025-12-24 | How to evaluate NoSQL Database Paradigms for Knowledge Graph Processing
[IEEE] 2025-12-23 | Automated Cloud-Based InSAR Displacement Mapping Workflow Enhanced by GNSS-Assisted Calibration
[IEEE] 2025-12-23 | Decoding of Generalized LDPC Codes Using the BCJR Algorithm
[IEEE] 2025-12-23 | ISAC for AAM: Integrated Sensing and Communication Technology for Advanced Air Mobility
[IEEE] 2025-12-23 | Field study of the soil resistivity near a 110 kV pole site by vertical electrical sounding and geological survey
[IEEE] 2025-12-23 | Impact of Using Off-Chip Memories on Reliability of Edge Computing Systems to Single-Event Upsets
[IEEE] 2025-12-23 | Induction motor modelling for field–oriented control considering the magnetic saturation
[IEEE] 2025-12-23 | Reinforcement Learning Based Planning Control of Unmanned Surface Vehicles
[IEEE] 2025-12-23 | On the Correcting Capability of Hard-Decision Error-and-Erasure Iterative Decoding of LDPC Codes for Data Storage
[IEEE] 2025-12-23 | Electrified Shipboard Dynamic Positioning System Control Strategy Integrated with Physics Constraints under Harsh Marine Environments
[IEEE] 2025-12-23 | Attractive Space Resolution Examination of HVDC Transmission Lines
[IEEE] 2025-12-23 | Machine Learning for Geospatial Data in the Cloud: A Comprehensive Analysis of Architectures, Challenges, and Next-Generation Solutions
[ACM] 2025-12-24 | Assessing the Bug-Proneness of Refactored Code: A Longitudinal Multi-Project Study
[ACM] 2025-12-23 | Design and Implementation of Building a Small and Medium sized Enterprise Office LAN
[ACM] 2025-12-23 | Research on Cross-border Integration of Automotive Industry Data Based on Large Model Technology
[ACM] 2025-12-23 | QAOA-PCA: Enhancing Efficiency in the Quantum Approximate Optimization Algorithm via Principal Component Analysis
[ACM] 2025-12-23 | Automating Requirements Classification: A Systematic Literature Review and Ensemble LLM-Based Approach
[IEEE] 2025-12-23 | A general and robust active fire detection method using Sentinel-2 and Landsat shortwave infrared measurements
[IEEE] 2025-12-23 | Global Assessment of Vegetation Ozone Exposure Using a Remote Sensing-Based Index: A New Potential Reference For Critical Levels and Gross Primary Production Simulations
[IEEE] 2025-12-23 | IEEE Transactions on Sustainable Energy Publication Information
[IEEE] 2025-12-23 | Ultralow-crosstalk Strain and Temperature Sensing with a Hybrid Fabry-Pérot Interferometer Using k- Domain Lock-In Demodulation
[IEEE] 2025-12-23 | Spatial-Temporal-Spectral Mamba with Sparse Deformable Token Sequence for Enhanced MODIS Time Series Classification
[IEEE] 2025-12-23 | ArtCrafter: Text-Image Aligning Artistic Attribute Transfer via Embedding Reframing
[IEEE] 2025-12-23 | Hybrid Attribute-Based Access Control Framework for Intelligent Computing in Consumer IIoT
[IEEE] 2025-12-23 | Affective Touch with Mid-Air Ultrasound: A Psychophysical Comparison with Real Materials
[IEEE] 2025-12-23 | DirMixE: Harnessing Test Agnostic Long-tail Recognition with Hierarchical Label Vartiations
[IEEE] 2025-12-23 | Modeling Brain-Heart Interaction: A Review of Mechanistic Dynamical Models
[IEEE] 2025-12-23 | WLRT-DR: Dual-Stage Wavelet Low-Rank Tensor Completion With Deep Networks for Cloud Removal in Satellite Imagery
[IEEE] 2025-12-23 | A Markov Chain Monte Carlo Method for Efficient Finite-Length LDPC Code Design
[IEEE] 2025-12-23 | Redundancy 2025 TOC
[IEEE] 2025-12-23 | Title Page iii
[IEEE] 2025-12-23 | Electromagnetic Radiation, Scattering, and Diffraction [Book Review]
[IEEE] 2025-12-23 | Multipath Exploitation-Based 3D Environmental Perception and NLOS Moving Target Reconstruction for Mmwave MIMO Imaging Radar
[IEEE] 2025-12-23 | False Target Jamming Suppression in Distributed Coherent Aperture Radar
[IEEE] 2025-12-23 | A Cosine Network for Image Super-Resolution
[IEEE] 2025-12-23 | A Variable Frequency Technique for EMI and Efficiency Improvements in High-Level Count Flying Capacitor Multilevel Converters
[ACM] 2025-12-23 | Representation-Enhanced Cascading Multi-Level Interest Learning for Multi-Behavior Recommendation
[IEEE] 2025-12-23 | Optimization of Receiver Coil with Minimized Coupling Coefficient Variation and High Coil Inductance for High Efficiency 2-Stage WPT System of EVs Based on SAE-J2954
[IEEE] 2025-12-23 | 2025 International Conference on New Power System Technology (PowerCon)
[IEEE] 2025-12-23 | Title Page iii
[IEEE] 2025-12-23 | Conference Committee
[IEEE] 2025-12-23 | Authors Index
[IEEE] 2025-12-23 | Probabilistic Shaping and Residual Carrier Modulation for FSO Turbulent Channels
[IEEE] 2025-12-23 | Decoupled Precoder and Receiver Design for Massive MIMO Multiple LEO Satellite Communication
[ACM] 2025-12-23 | Session Summary Podcast: Session 8: Paper Session 4B: Learner Experiences
[ACM] 2025-12-23 | Session Summary Podcast: Session 1: Session 1: Interfaces I: Design for Driving Performance
[ACM] 2025-12-24 | DQTP: A Robot Autonomous Task Planner in Open Environments Based on Qwen2-VL model
[IEEE] 2025-12-23 | An Analytical Study on Security and Privacy of Personal Data with Special Reference to Artificial Intelligence and Cybersecurity
[IEEE] 2025-12-23 | A Deep Learning Approach for Recognizing Characters in Thai Ancient Inscriptions
[IEEE] 2025-12-23 | RF Antenna Design and Integration for Neuromorphic Devices
[IEEE] 2025-12-23 | Evaluation and Identification of Weak Link in Power System Under Extreme Storm Condition
[IEEE] 2025-12-23 | A Coordinated Control Method of PEM Electrolyzers Based on Dynamic Response to PV Fluctuations
[IEEE] 2025-12-23 | Active Distribution Network Coordination Optimization Strategy Integrating Controllable Loads and Energy Storage Resources
[IEEE] 2025-12-23 | The Node Type of Grid-Forming Converter from the Perspective of Small-Signal Stability of Grid-Following Converters
[IEEE] 2025-12-23 | Learning Robust and Diverse Humanoid Jumping via Curriculum-Guided Whole-Body Coordination
[IEEE] 2025-12-23 | A Reconfigurable Converter-Based Centralized Equalization System for Battery Energy Storage Systems
[IEEE] 2025-12-23 | Hourly Estimation of Irradiation on Tilted Planes Using Meteorological Data
[IEEE] 2025-12-23 | Weak Link Identification and Security Assessment Method Based on Critical Line
[IEEE] 2025-12-23 | Ad-hoc network management using mixed reality hand-tracking manipulation
[IEEE] 2025-12-23 | Analysis of one chain of McEliece system’s modifications
[IEEE] 2025-12-23 | Analysis of Human Factors Contributing to Outages in the Operation of Electrical Power Systems
[IEEE] 2025-12-23 | STN-MRI: A Spatial Transformer Network-Based Pipeline for ROI-Aware Brain MRI Preprocessing and Alignment
[IEEE] 2025-12-23 | The Impact of Allocating Weights and Biases in SRAM Parity Checking Areas on the Soft Error Reliability of CNN Inference Models
[IEEE] 2025-12-23 | Operating Principle and Experimental Study of Hybrid Commutation Converter Valve
[IEEE] 2025-12-23 | Efficient Dynamic Zoned Capacitor Voltage Balancing Algorithm for MMC with Full-Bridge and Half-Bridge Hybrid-Submodules
[IEEE] 2025-12-23 | Mobile-Based Location-Based Service (LBS) Attendance System for Operational Efficiency and Environmental Sustainability in Automotive Services
[IEEE] 2025-12-23 | Studying Joint Evolution of Urban Growth, Land Surface Temperature, and Nightlight
[IEEE] 2025-12-23 | Thai Tune: Enhancing Communication for Deaf through Technological Integration
[IEEE] 2025-12-23 | Towards AI-Driven Water Quality Assessment: A Computer Vision and Machine Learning Approach
[IEEE] 2025-12-23 | Agentic AI for Severity Extraction in Clinical Notes: Enhancing Disease Diagnosis Beyond Rule-Based and Traditional ML Models
[IEEE] 2025-12-23 | AI Text Analytics for Identifying Trends in IT Job Demands
[IEEE] 2025-12-23 | Comprehensive Credit Risk Evaluation in Supply Chain Enterprises using Machine Learning Techniques
[IEEE] 2025-12-23 | Semantic-Aware Channel Access for Virtual Power Plants Considering Jamming Attacks
[IEEE] 2025-12-23 | Research on Power Grid Data Storage Fault Prediction Technology Based on LightGBM
[IEEE] 2025-12-23 | A Novel Hierarchical Optimal Scheduling and Control Method Based on Prediction–Tracking–Correction for Advanced Distribution Systems
[IEEE] 2025-12-23 | Online Mtpa for Synrm Drives Considering Magnetic Saturation With Rls-Based Commissioning and Smc Current Control
[IEEE] 2025-12-23 | Examining Intelligent Tutoring Systems and Their AI Underpinnings in the Design of the Future of Learning
[IEEE] 2025-12-23 | Electric Field Optimization of Basin Insulator in 550 kV Gas Insulated Switchgear Using Functionally Graded Insulation Structure
[IEEE] 2025-12-23 | A Risk-Guided Deep Reinforcement Learning Framework for Collision-Free Navigation in Narrow Environments
[IEEE] 2025-12-23 | An Interactive Visualization System for Historical and Forecast Weather Data in Sugarcane Fields
[IEEE] 2025-12-23 | Virtual Reality as a Tool for Mechanical Workshop Training in TVET Institutions
[IEEE] 2025-12-23 | AI in Satellite Image Processing and Earth Observation-A Systematic Review of Methods, Applications, and Challenges
[IEEE] 2025-12-23 | Multilingual Lie Detection via Emotion and Multimodal Cues
[IEEE] 2025-12-23 | Attitude Control of Quadrotor UAV Based on Parallel LADRC
[IEEE] 2025-12-23 | Reliability Assessment of Power Conversion System Considering Lifetime Damage of Key Components
[IEEE] 2025-12-23 | Decomposition Products of CF
                    <sub>3</sub>
                    SO
                    <sub>2</sub>
                    F/N
                    <sub>2</sub>
                    Mixed Gas under Local Overheating Defect
[IEEE] 2025-12-23 | Distributed Time-Varying Optimization of Networked Heterogeneous Systems
[IEEE] 2025-12-23 | Movable Antenna-Enhanced Near-Field Beamforming: Impact of Antenna Position Errors
[IEEE] 2025-12-23 | An ISO-certified high-dose γ-ray irradiation facility with applications for space technology
[IEEE] 2025-12-23 | Development of a Vision-Transformer Based Web Platform for Bean Leaf Disease Detection
[IEEE] 2025-12-23 | Multi-Parameter Identification Method for Wide-Frequency Oscillation in New Power System
[IEEE] 2025-12-23 | Decomposition Method for Medium- and Long-Term Trading Electricity of Renewable Energy Based on Lagrange-Soft Actor Critic
[IEEE] 2025-12-23 | Indet-Yolo: an Optimized Yolo-Based Framework for Accurate Insulator Defect Detection
[IEEE] 2025-12-23 | A Robust Co-Design Method for Ensuring Stability in Observer-Integrated Microgrids Under Sensor Attacks
[IEEE] 2025-12-23 | A Multiple Switching Processing Method for Electromagnetic Transient Simulation
[IEEE] 2025-12-23 | Attention-Driven Transformer Architectures for 1D Thyroid Disease Classification
[IEEE] 2025-12-23 | A Collaborative Virtual Reality Platform for Medical 3D Data Interaction and Training
[IEEE] 2025-12-23 | Find My Meow: A Platform for Locating Lost Cats
[IEEE] 2025-12-23 | Parallel Restoration of Transmission System Based on Breadth-First Search Assisted Partitioning and Skeleton Path Selection
[IEEE] 2025-12-23 | Bayesian Curriculum Learning for Semi-Supervised Remote Sensing Image Classification
[IEEE] 2025-12-23 | The Study of New Characteristics of Hysteresis Current Control for Parallel Inverters
[IEEE] 2025-12-23 | Synthesis of Isotropic Impedance Plane
[IEEE] 2025-12-23 | Reinforcement Strategy for Distribution Networks with Distributed Generation under Typhoon Disasters
[IEEE] 2025-12-23 | Assessing Urban Emergency Response Based on Historical Ambulance Calls: A Case Study in Brazil
[IEEE] 2025-12-23 | Analyzing the Impact of Phase-Locked Loops on Voltage Support Grid Code from Grid-Following Inverter-Based Resources Under Fault Conditions
[IEEE] 2025-12-23 | Reinforcement Learning to Reduce Papr in Communication Systems
[IEEE] 2025-12-23 | Lightning Observatory in Rzeszów including a new system for lightning current measurement mounted on a 220 m high residential skyscraper
[IEEE] 2025-12-23 | Lithium Batteries Scrap - A Valuable Raw Material For Recycling Or An Environmental Threat For EU
[IEEE] 2025-12-23 | Research on Cross-Regional Negative Reserve Market Clearing Model Considering the Regulation Capability of External Power
[ACM] 2025-12-24 | Verifiability and Privacy in Federated Learning through Context-Hiding Multi-Key Homomorphic Authenticators
[ACM] 2025-12-24 | Mitigating Configuration Differences Between Development and Production Environments: A Catalog of Strategies
[ACM] 2025-12-24 | How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?
[ACM] 2025-12-24 | Quality Assessment of Python Tests Generated by Large Language Models
[ACM] 2025-12-23 | A Systematic Literature Review on Static Application Security Testing (SAST) Tools: Evaluation, Benchmarks, Challenges, and Future Directions
[IEEE] 2025-12-23 | Synthesis of Nano Sensing Film of Stannic Oxide and use of Split IDT for SAW Gas Sensor for Dichloromethane Gas Detection
[IEEE] 2025-12-23 | A Dual-Branch Deep Learning Approach for Passive Sonar Underwater Target Classification
[IEEE] 2025-12-23 | IEEE App
[IEEE] 2025-12-23 | RADIO 2025 Scientific Committee
[IEEE] 2025-12-23 | An LDO With 4.8-NA Quiescent Current and Improved Transient Response Within a 50-MA Load Current Range
[IEEE] 2025-12-23 | Obstacle-Avoidance and Anti-Swing Trajectory Planning for Aerial Transportation Systems With Double-Pendulum Swing Effects
[IEEE] 2025-12-23 | A Transferable Topology-Aware Graph Pooling Network for Remaining Useful Life Prediction Under Cross-Domain Conditions
[IEEE] 2025-12-23 | A Weakly-Hybrid Decoding Algorithm for Staircase Codes via Multi-Level Bit Marking
[IEEE] 2025-12-23 | Virtual Self-Excited Induction Generator-Based Grid-Forming Inverter Control for Robust Voltage Regulation Under Nonideal Loading
[IEEE] 2025-12-23 | DePerio: Innovative Deep Learning-based Framework for Periodontal Disease Diagnosis and Severity Evaluation Using Saliva Samples
[IEEE] 2025-12-23 | A Self-Driven Energy Recovery Snubber for a Single-Switch Resonant Pulsed Power Converter
[IEEE] 2025-12-23 | Optimization and Mitigation of Access-Transistor-Induced Reliability Degradation in 28 nm 1T1R RRAM Arrays
[IEEE] 2025-12-23 | Table of Contents
[IEEE] 2025-12-23 | Comités Del Congreso
[IEEE] 2025-12-23 | Hypergraph Foundation Model
[IEEE] 2025-12-23 | Accurate Monocular Road Depth Estimation for Ground Vehicles Using Suspension Feedback
[ACM] 2025-12-23 | A Theoretical Framework for Lightweight Communication Optimization in Federated Learning for Cloud Environments
[ACM] 2025-12-23 | Advances, Evaluation, and Explainability of Large Language Models in Healthcare: A Systematic Review
[IEEE] 2025-12-23 | Dynamic Pricing for On-Demand DNN Inference in the Edge-AI Market
[IEEE] 2025-12-23 | Machine Learning Prediction for Experimental Quench Voltage of HTS Coils Using a Combined Framework With Time-Series Generative Adversarial Network and Long Short-Term Memory Techniques
[IEEE] 2025-12-23 | ICNAS 2025 Cover Page
共写入 1682 条记录，保存到 papers/paper2025-12-23.json。
论文获取成功，文件路径: papers/paper2025-12-23.json
正在筛选、翻译并发送邮件...
[NO] 1/1682 | Avoiding the Price of Adaptivity: Inference in Linear Contextual Bandits via Stability
[NO] 2/1682 | Electrical Drive of a Josephson Junction Array using a Cryogenic BiCMOS Pulse Pattern Generator: Towards a Fully Integrated Josephson Arbitrary Waveform Synthesizer
[NO] 3/1682 | Intercalant-induced Kekule ordering and gap opening in quasi-free-standing graphene
[NO] 4/1682 | From the planar Ising model to quasiconformal mappings
[NO] 5/1682 | Co$_2$MnZ (Z = Al, Si, Ga, Ge, Sn) Heusler alloys as candidate materials for spintronic and microelectronic applications: Electronic structure, transport, and magnetism
[NO] 6/1682 | Allocating Students to Schools: Theory, Methods, and Empirical Insights
[NO] 7/1682 | Implicit-explicit schemes for compressible Cahn-Hilliard-Navier-Stokes equations on staggered grids
[NO] 8/1682 | The devil is in the details: Enhancing Video Virtual Try-On via Keyframe-Driven Details Injection
[NO] 9/1682 | Up-down chains and scaling limits: application to permuton- and graphon-valued diffusions
[NO] 10/1682 | Macroscopic quantum states, quantum phase transition for $N$ three-level atoms in an optical cavity -- Gauge principle and non-Hermitian Hamiltonian
[NO] 11/1682 | Novel Light Dark Matter Detection with Quantum Parity Detector Using Qubit Arrays
[NO] 12/1682 | SpidR: Learning Fast and Stable Linguistic Units for Spoken Language Models Without Supervision
[NO] 13/1682 | From the Two-Capacitor Paradox to Electromagnetic Side-Channel Mitigation in Digital Circuits
[NO] 14/1682 | Ferroelectric FET-based Logic-in-Memory Encoder for Hyperdimensional Computing
[NO] 15/1682 | Characterizations of quasihyperbolic John domains and uniform domains in metric spaces
[NO] 16/1682 | Patterns vs. Patients: Evaluating LLMs against Mental Health Professionals on Personality Disorder Diagnosis through First-Person Narratives
[NO] 17/1682 | Multiple topological phases of magnons induced by Dzyaloshinskii-Moriya and pseudodipolar anisotropic exchange interactions in Kagome ferromagnets
[NO] 18/1682 | Ionization-based search for magnetic monopoles using the NOvA Far Detector
[NO] 19/1682 | SlideTailor: Personalized Presentation Slide Generation for Scientific Papers
[NO] 20/1682 | Spatiotemporal Chaos and Defect Proliferation in Polar-Apolar Active Mixture
[NO] 21/1682 | Krylov complexity in ergodically constrained nonintegrable transverse-field Ising model
[NO] 22/1682 | Dynamics of Marangoni-Driven Elliptical Janus Particles
[NO] 23/1682 | $\mathcal{PT}$-Symmetric Spin--Boson Model with a Continuous Bosonic Spectrum: Exceptional Points and Dynamics
[NO] 24/1682 | Automated Training of Learned Database Components with Generative AI
[NO] 25/1682 | Presence of solar inner F-corona and coronal heating
[NO] 26/1682 | Super-Eddington Accretion through a Multiwavelength Lens: Searching for Counterparts of Ultraluminous X-ray Sources
[NO] 27/1682 | Data-based Moving Horizon Estimation under Irregularly Measured Data
[NO] 28/1682 | Degradation-Aware Metric Prompting for Hyperspectral Image Restoration
[NO] 29/1682 | A Fourier-RKHS approach for characterizing equivalent Gaussian distributions for stationary processes on homogeneous spaces
[YES] 30/1682 | Memory as Resonance: A Biomimetic Architecture for Infinite Context Memory on Ergodic Phonetic Manifolds
[NO] 31/1682 | Post-Quantum Cryptography in the 5G Core
[NO] 32/1682 | Adaptive Multi-task Learning for Probabilistic Load Forecasting
[NO] 33/1682 | A Pick function approach for designing energy-decay preserving schemes of the Maxwell equations in Havriliak-Negami dispersive media
[NO] 34/1682 | Evaluating Moderation in Online Social Network
[NO] 35/1682 | Fractional hypocoercivity in bounded domains in the anomalous diffusion limit
[NO] 36/1682 | Generalisation in Multitask Fitted Q-Iteration and Offline Q-learning
[NO] 37/1682 | Quantitative Financial Modeling for Sri Lankan Markets: Approach Combining NLP, Clustering and Time-Series Forecasting
[NO] 38/1682 | Tree tensor network states represent low-energy states faithfully
[NO] 39/1682 | Deterministic exciton confinement in 2D semiconductors via local dielectric engineering for scalable quantum light sources
[NO] 40/1682 | Network-based prediction of drug combinations with quantum annealing
[NO] 41/1682 | Turing Pattern Engineering Enables Kinetically Ultrastable yet Ductile Metallic Glasses
[NO] 42/1682 | Deep learning-driven atmospheric parameter prediction for hot subdwarf stars with synthetic and observed spectra
[YES] 43/1682 | Reaching Agreement Among Reasoning LLM Agents
[NO] 44/1682 | Products of idempotents in a quaternion ring
[NO] 45/1682 | RESPOND: Risk-Enhanced Structured Pattern for LLM-driven Online Node-level Decision-making
[NO] 46/1682 | Optimistic TEE-Rollups: A Hybrid Architecture for Scalable and Verifiable Generative AI Inference on Blockchain
[NO] 47/1682 | Odysseus: Jailbreaking Commercial Multimodal LLM-integrated Systems via Dual Steganography
[NO] 48/1682 | Spectral or spatial? Leveraging both for speaker extraction in challenging data conditions
[NO] 49/1682 | Concept Generalization in Humans and Large Language Models: Insights from the Number Game
[YES] 50/1682 | AXIOM: Benchmarking LLM-as-a-Judge for Code via Rule-Based Perturbation and Multisource Quality Calibration
[NO] 51/1682 | Target Classification for Integrated Sensing and Communication in Industrial Deployments
[NO] 52/1682 | Multi-hop Reasoning via Early Knowledge Alignment
[NO] 53/1682 | Logarithmic Dieudonné theory and overconvergent extensions
[NO] 54/1682 | Enhancing Zero-Shot Time Series Forecasting in Off-the-Shelf LLMs via Noise Injection
[NO] 55/1682 | M$^3$KG-RAG: Multi-hop Multimodal Knowledge Graph-enhanced Retrieval-Augmented Generation
[NO] 56/1682 | HEART-VIT: Hessian-Guided Efficient Dynamic Attention and Token Pruning in Vision Transformer
[NO] 57/1682 | Active Intelligence in Video Avatars via Closed-loop World Modeling
[NO] 58/1682 | On the near-tightness of $χ\leq 2r$: a general $σ$-ary construction and a binary case via LFSRs
[NO] 59/1682 | Cube Bench: A Benchmark for Spatial Visual Reasoning in MLLMs
[NO] 60/1682 | Quantum Gates from Wolfram Model Multiway Rewriting Systems
[NO] 61/1682 | Integrable perturbation theory for dark solitons of the defocusing nonlinear Schrödinger equation
[NO] 62/1682 | Framing Lattices and Flow Polytopes
[NO] 63/1682 | Fail Fast, Win Big: Rethinking the Drafting Strategy in Speculative Decoding via Diffusion LLMs
[YES] 64/1682 | The Limitations and Power of NP-Oracle-Based Functional Synthesis Techniques
[NO] 65/1682 | Random Gradient-Free Optimization in Infinite Dimensional Spaces
[NO] 66/1682 | Microwave Response of Superconductors with Paramagnetic Impurities
[NO] 67/1682 | Shallow Neural Networks Learn Low-Degree Spherical Polynomials with Learnable Channel Attention
[NO] 68/1682 | A possible solution to the gallium anomaly moving beyond the leptonic wave function factorization
[NO] 69/1682 | Information-theoretic signatures of causality in Bayesian networks and hypergraphs
[NO] 70/1682 | Advancing Multimodal Teacher Sentiment Analysis:The Large-Scale T-MED Dataset & The Effective AAM-TSA Model
[NO] 71/1682 | Behavioral patterns and mean-field games in epidemiological models
[NO] 72/1682 | Normal approximation of stabilizing Poisson pair functionals with column-type dependence
[NO] 73/1682 | AlignPose: Generalizable 6D Pose Estimation via Multi-view Feature-metric Alignment
[NO] 74/1682 | Quantum State Preparation via Schmidt Spectrum Optimisation
[NO] 75/1682 | ScoreMatchingRiesz: Auto-DML with Infinitesimal Classification
[NO] 76/1682 | Modeling Bank Systemic Risk of Emerging Markets under Geopolitical Shocks: Empirical Evidence from BRICS Countries
[NO] 77/1682 | Macroscopically distinguishable superposition in infinitely many degrees of freedom
[NO] 78/1682 | Optimal eigenvalues on a metric graph with densities
[NO] 79/1682 | Magneto-Moiré Excitons in Twisted Bilayer CrSBr
[NO] 80/1682 | $L^2-$posterior contraction rates for Gaussian process and random series priors in Bayesian nonparametric regression models
[NO] 81/1682 | Shear viscosity at finite magnetic field for graphene, non-relativistic and ultra-relativistic cases
[NO] 82/1682 | Herbrand's Theorem: a short statement and a model-theoretic proof
[NO] 83/1682 | Electronic states at twist stacking faults in rhombohedral graphite
[NO] 84/1682 | End-to-end Optimization of Single-Shot Quantum Machine Learning for Bayesian Inference
[NO] 85/1682 | Step-DeepResearch Technical Report
[NO] 86/1682 | Dual optical frequency comb downconversion of D-band mm-wave signals
[NO] 87/1682 | Second Moment of Central Values of Half-Integral Weight Modular Forms and Subconvexity
[NO] 88/1682 | Coherence in the brain unfolds across separable temporal regimes
[NO] 89/1682 | Optoelectronically Directed Self-Assembly of Active and Passive Particles into Programmable and Reconfigurable Colloidal Structures
[NO] 90/1682 | Switching between states and the COVID-19 turbulence
[NO] 91/1682 | Even Small Companies Can Save Lives by Reducing Emissions
[NO] 92/1682 | Cuspidal character sheaves on graded Lie algebras II
[NO] 93/1682 | Tensor-network study of the ground state of maple-leaf Heisenberg antiferromagnet
[NO] 94/1682 | Asymmetric exact controllability for networks of spatial elastic strings, springs and masses
[YES] 95/1682 | Laser: Governing Long-Horizon Agentic Search via Structured Protocol and Context Register
[NO] 96/1682 | An explicit description of the colored mutation class of $\widetilde{\mathbb{A}}_n$-quivers
[NO] 97/1682 | High Dimensional Data Decomposition for Anomaly Detection of Textured Images
[NO] 98/1682 | Resolution and Robustness Bounds for Reconstructive Spectrometers
[NO] 99/1682 | Topic-informed dynamic mixture model for occupational heterogeneity in health risk behaviors
[NO] 100/1682 | Maximal functions, conjugations and multipliers between Toeplitz kernels
[NO] 101/1682 | ChatGPT: Excellent Paper! Accept It. Editor: Imposter Found! Review Rejected
[NO] 102/1682 | Sentiment-Aware Extractive and Abstractive Summarization for Unstructured Text Mining
[NO] 103/1682 | Resilient Packet Forwarding: A Reinforcement Learning Approach to Routing in Gaussian Interconnected Networks with Clustered Faults
[NO] 104/1682 | Disproof of the Odd Hadwiger Conjecture
[NO] 105/1682 | Asymptotics for the number of domino tilings of L-shaped Aztec domains
[NO] 106/1682 | Generalized method of L-moment estimation for stationary and nonstationary extreme value models
[NO] 107/1682 | SmartSplat: Feature-Smart Gaussians for Scalable Compression of Ultra-High-Resolution Images
[NO] 108/1682 | /UnmuteAll: Modeling Verbal Communication Patterns of Collaborative Contexts in MOBA Games
[NO] 109/1682 | Multi Modal Attention Networks with Uncertainty Quantification for Automated Concrete Bridge Deck Delamination Detection
[NO] 110/1682 | Evolutionary Neural Architecture Search with Dual Contrastive Learning
[NO] 111/1682 | From Walking to Tunneling: An Investigation of Generalized Pilot-Wave Dynamics
[NO] 112/1682 | UMAMI: Unifying Masked Autoregressive Models and Deterministic Rendering for View Synthesis
[NO] 113/1682 | Geometric Aspects of $C^*$-Extreme Points
[NO] 114/1682 | Alfvénic solar wind intervals observed by Solar Orbiter: Exploiting the capability of the SWA plasma suite and source region investigation
[NO] 115/1682 | Neural Compression of 360-Degree Equirectangular Videos using Quality Parameter Adaptation
[NO] 116/1682 | Precision Bounds for Characterising Quantum Measurements
[NO] 117/1682 | Spectral radius and size conditions for fractional $(a,b,m)$-covered graphs
[NO] 118/1682 | Item Region-based Style Classification Network (IRSN): A Fashion Style Classifier Based on Domain Knowledge of Fashion Experts
